status,what,detail
PASS,ameld 2021 m1 ,"5,716,978"
PASS,ameld 2021 m2 ,"5,718,783"
PASS,ameld 2021 m3 ,"5,725,259"
PASS,ameld 2021 m4 ,"5,735,874"
PASS,ameld 2021 m5 ,"5,761,148"
PASS,ameld 2021 m6 ,"5,821,781"
PASS,ameld 2021 m7 ,"5,806,918"
PASS,ameld 2021 m8 ,"5,825,719"
PASS,ameld 2021 m9 ,"5,857,390"
PASS,ameld 2021 m10,"5,887,897"
PASS,ameld 2021 m11,"5,891,970"
PASS,ameld 2021 m12,"5,909,240"
PASS,ameld 2022 m1 ,"5,804,591"
PASS,ameld 2022 m2 ,"5,815,902"
PASS,ameld 2022 m3 ,"5,824,223"
PASS,ameld 2022 m4 ,"5,835,755"
PASS,ameld 2022 m5 ,"5,879,078"
PASS,ameld 2022 m6 ,"5,937,326"
PASS,ameld 2022 m7 ,"5,922,360"
PASS,ameld 2022 m8 ,"5,925,497"
PASS,ameld 2022 m9 ,"5,943,591"
PASS,ameld 2022 m10,"5,961,772"
PASS,ameld 2022 m11,"5,968,661"
PASS,ameld 2022 m12,"5,984,643"
PASS,ameld 2023 m1 ,"5,858,636"
PASS,ameld 2023 m2 ,"5,865,014"
PASS,ameld 2023 m3 ,"5,866,281"
PASS,ameld 2023 m4 ,"5,874,249"
PASS,ameld 2023 m5 ,"5,912,695"
PASS,ameld 2023 m6 ,"5,951,821"
PASS,ameld 2023 m7 ,"5,934,875"
PASS,ameld 2023 m8 ,"5,923,586"
PASS,ameld 2023 m9 ,"5,934,717"
PASS,ameld 2023 m10,"5,954,223"
PASS,ameld 2023 m11,"5,956,319"
PASS,ameld 2023 m12,"5,982,237"
PASS,ameld 2024 m1 ,"5,864,664"
PASS,ameld 2024 m2 ,"5,870,859"
PASS,ameld 2024 m3 ,"5,879,649"
PASS,ameld 2024 m4 ,"5,904,711"
PASS,ameld 2024 m5 ,"5,936,544"
PASS,ameld 2024 m6 ,"6,003,254"
PASS,ameld 2024 m7 ,"5,982,023"
PASS,ameld 2024 m8 ,"5,965,481"
PASS,ameld 2024 m9 ,"5,954,732"
PASS,ameld 2024 m10,"5,956,758"
PASS,ameld 2024 m11,"5,956,636"
PASS,ameld 2024 m12,"5,973,874"
PASS,ameld 2025 m1 ,"5,862,720"
PASS,ameld 2025 m2 ,"5,866,046"
PASS,ameld 2025 m3 ,"5,878,024"
PASS,ameld 2025 m4 ,"5,903,390"
PASS,ameld 2025 m5 ,"5,928,439"
PASS,ameld 2025 m6 ,"5,989,458"
PASS,ameld 2025 m7 ,"5,969,053"
PASS,ameld 2025 m8 ,"5,956,266"
PASS,ameld 2025 m9 ,"5,956,264"
PASS,ameld 2025 m10,"5,955,594"
PASS,ameld 2025 m11,"5,958,001"
PASS,ameld 2025 m12,"5,983,417"
PASS,ameld 2026 m1 ,"5,995,135"
PASS,ameld 2026 m2 ,"5,890,653"
PASS,faste_oppl person key,w19_0345_lopenr_person
PASS,faste_oppl columns,"nobs = 10,454,641"
INFO,backup-dir collisions,12 stale same-named file(s) exist (pipeline uses canonical paths): W:/1191/atid/old/ameld_statdata_2023_m10.dta; W:/1191/atid/old/ameld_statdata_2023_m11.dta; W:/1191/atid/old/ameld_statdata_2023_m12.dta ...
INFO,arb_yrke_styrk08,present in ameld 2023-2026 (log-only cross-check of the yrke7 crosswalk)
