filepath,filename,nobs,nvar,varname,vartype,format,varlabel
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"lopenr_person","str10","%10s","Loepenummer person"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"lopenr_virksomhet","str10","%10s","Loepenummer virksomhetens orgnr"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"lopenr_foretak","str10","%10s","Loepenummer foretakets orgnr (nivaaet over virksomhet)"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"lopenr_toppniv","str10","%10s","Loepenummer for organisasjonsnr for oeverste nivaa i VoF i offentlig forvaltning"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"lopenr_toppledd","str10","%10s","Loepenummer for organisasjonsnr oeverste orgledd ved flerleddet struktur i VoF i o"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"frtk_nace1_sn07","str6","%6s","Foretakets hovednaering"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"frtk_komm_nr","str4","%4s","Foretakets kommunenummer"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"frtk_sektor_2014","str4","%4s","Foretakets sektorkode"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"frtk_ant_ansatte","double","%12.0g","Antall ansatte i foretaket fra VoF; dvs. bearbeidede ansatte-tall fra t-1"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"frtk_ant_inntmot","double","%12.0g","Enkel opptelling av antall arbeidsforhold i foretaket kun til kontrollformaal"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"frtk_reg_type","str2","%2s","Foretakets registerenhetstype"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"frtk_org_form","str4","%4s","Foretakets organisasjonsform"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"frtk_status","str2","%2s","Foretakets statuskode"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"virk_nace1_sn07","str6","%6s","Virksomhetens hovednaering"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"virk_komm_nr","str4","%4s","Virksomhetens kommunenummer"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"virk_ant_ansatte","double","%12.0g","Antall ansatte i virksomheten fra VoF; dvs. bearbeidede ansatte-tall fra t-1"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"virk_reg_type","str2","%2s","Virksomhetens registerenhetstype"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"virk_org_form","str4","%4s","Virksomhetens organisasjonsform"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"virk_status","str2","%2s","Virksomhetens statuskode"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"arb_type","str16","%16s","Type arbeidsforhold i a-meldingen"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"arb_start","long","%d","Startdato for arbeidsforholdet"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"arb_slutt","long","%d","Sluttdato for arbeidsforholdet"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"arb_yrke","str8","%8s","Yrkeskode i henhold til arbeidsoppgaver - foelger yrkeskatalogen"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"arb_lonnsendringsdato","long","%d","Dato siste loennsendring"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"arb_lonnsansiennitet","long","%d","Loennsansiennitet"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"arb_komm_nr","str4","%4s","Arbeidsstedskommune"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"lonn_uregtil_arbeidet","double","%12.0g","Uregelmessige tillegg for arbeidet tid"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"lonn_uregtil_uarbeidet","double","%12.0g","Uregelmessige tillegg for ikke-arbeidet tid"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"lonn_helligdagstillegg","double","%12.0g","Helligdagstillegg"
"W:\1191/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5487490,63,"lonn_bonus","double","%12.0g","Bonus"
