filepath,filename,nobs,nvar,varname,vartype,format,varlabel
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"lopenr_person","str10","%10s","Loepenummer person"
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"lopenr_virksomhet","str10","%10s","Loepenummer virksomhetens orgnr"
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"lopenr_foretak","str10","%10s","Loepenummer foretakets orgnr (nivaaet over virksomhet)"
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"lopenr_toppniv","str10","%10s","Loepenummer for organisasjonsnr for oeverste nivaa i VoF i offentlig forvaltning"
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"lopenr_toppledd","str10","%10s","Loepenummer for organisasjonsnr oeverste orgledd ved flerleddet struktur i VoF i o"
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"frtk_nace1_sn07","str6","%6s","Foretakets hovednaering"
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"frtk_fkommune","str4","%4s","Foretakets kommunenummer"
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"frtk_sektor_2014","str4","%4s","Foretakets sektorkode"
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"frtk_ant_ansatte","double","%12.0g","Antall ansatte i foretaket fra VoF; dvs. bearbeidede ansatte-tall fra t-1"
"W:\P4117/atid/ameld_statdata_2015_m1.dta","ameld_statdata_2015_m1.dta",5414840,58,"frtk_ant_inntmot","double","%12.0g","Enkel opptelling av antall arbeidsforhold i foretaket kun til kontrollformaal"
