variabelnavn_ssb,beskrivelse,definisjon,kodeliste,fra_aar,til_aar,kilde_fil,varname_normalized
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,lnr
REGDATO,Registreringsdato,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
KODE,Hendelseskode,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,kode
AVGDATO,Avgangsdato,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,avgdato
TOMDATO,Til og med dato,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,tomdato
MRK_FNR,Merking av fødselsnummer,,,2010,2024,SSB_variabelliste_FD-Trygd.xlsm,mrk_fnr
wXX_XXXX_lnr,Løpenummer (avidentifisert fødselsnummer),,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,lnr
KODE,Hendelseskode for arbeidssøkere,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,kode
HOVED,Hovedgruppering av arbeidssøkere,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,hoved
REGDATO,Registreringsdato for arbeidssøkeropplysninger,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,regdato
TILGDATO,Tilgangsdato for arbeidssøkere,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,tilgdato
AVGDATO,Avgangsdato for arbeidssøkere,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,avgdato
ASOKTILG,Arbeidssøkergruppens tilgangsdato,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,asoktilg
ASOKAVG,Arbeidssøkergruppens avgangsdato,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,asokavg
HOVEDARBSTAT,Hovedarbeidssøkerstatus,,,2001,2023,SSB_variabelliste_FD-Trygd.xlsm,hovedarbstat
