age_bin,outcome,ai_q,spec,coef,se,p_value,n_obs,n_units
1,employment,2,7b_firm,0.0610727983197862,0.0275725217178297,0.0267609041625854,2223715,21842
1,employment,2,7d_cell_restricted,0.0612424834167893,0.0363094308074389,0.0916644088361692,24180,390
1,employment,2,7d_cell_unrestr,0.0512506687301566,0.0361720502256967,0.156524367386253,24366,393
1,employment,2,cell_microdata,0.0428043797782131,0.0340556230864872,0.208791261606819,24366,393
1,employment,3,7b_firm,0.0481742851717518,0.0184438317691335,0.0090028579353075,2223715,21842
1,employment,3,7d_cell_restricted,0.0482476873144112,0.0228540105922798,0.0347615157226006,24180,390
1,employment,3,7d_cell_unrestr,0.0487750876393319,0.0197644971375433,0.0135941225835513,24366,393
1,employment,3,cell_microdata,0.0448902183521231,0.0203752951648379,0.0275828404859701,24366,393
1,employment,4,7b_firm,0.0280232305291761,0.0161293948666705,0.0823163737713599,2223715,21842
1,employment,4,7d_cell_restricted,0.0245689129843626,0.0211692526920202,0.245806944254391,24180,390
1,employment,4,7d_cell_unrestr,0.026138388631776,0.0215955234185199,0.226140234731337,24366,393
1,employment,4,cell_microdata,0.0193070857540054,0.0203037126189626,0.341648004974652,24366,393
1,employment,5,7b_firm,0.0131620579287592,0.0210331944532835,0.53146219903695,2223715,21842
1,employment,5,7d_cell_restricted,0.010378972664054,0.0240674436907127,0.666289997998236,24180,390
1,employment,5,7d_cell_unrestr,0.0203501486052705,0.0214024048371796,0.341688308288002,24366,393
1,employment,5,cell_microdata,0.021515094176543,0.0219940858772577,0.327964638951786,24366,393
2,employment,2,7b_firm,0.0402626820797591,0.0204744314325365,0.0492425018376445,2420213,21893
2,employment,2,7d_cell_restricted,0.0247210876990522,0.0425712829449523,0.561443553310822,23932,386
2,employment,2,7d_cell_unrestr,0.0222721339562957,0.0372654106697085,0.550065233485521,24366,393
2,employment,2,cell_microdata,0.018064196165365,0.0356759985839885,0.612617769965301,24242,391
2,employment,3,7b_firm,0.0252242139329452,0.0124662642161464,0.043032131467635,2420213,21893
2,employment,3,7d_cell_restricted,0.0453484945981223,0.0187628044908756,0.0156517758001801,23932,386
2,employment,3,7d_cell_unrestr,0.0433460168276844,0.0165499550905856,0.0088161639111291,24366,393
2,employment,3,cell_microdata,0.043230218359714,0.0167321178358991,0.009775616756627,24242,391
2,employment,4,7b_firm,0.0505618234229917,0.0107591478121179,2.60893204798735e-06,2420213,21893
2,employment,4,7d_cell_restricted,0.0813409360635669,0.0173504579582196,2.75733542474464e-06,23932,386
2,employment,4,7d_cell_unrestr,0.0785152940862467,0.0195788060833255,6.06625357900502e-05,24366,393
2,employment,4,cell_microdata,0.0707450468581857,0.0168572008552198,2.70801667421194e-05,24242,391
2,employment,5,7b_firm,0.0511001809346269,0.0122117420144341,2.85779358325343e-05,2420213,21893
2,employment,5,7d_cell_restricted,0.0847456167121654,0.0197181130052666,1.72457884289956e-05,23932,386
2,employment,5,7d_cell_unrestr,0.0755141696283188,0.0181456187942549,3.16074189445106e-05,24366,393
2,employment,5,cell_microdata,0.0783279909853047,0.0185818923984694,2.49461840432278e-05,24242,391
3,employment,2,7b_firm,-0.0190272237519451,0.019402970998439,0.326772989659478,2439062,21769
3,employment,2,7d_cell_restricted,-0.0328009209712888,0.0416844633508559,0.431348598871916,24056,388
3,employment,2,7d_cell_unrestr,-0.0159814993860223,0.0357042209171995,0.654436038153917,24428,394
3,employment,2,cell_microdata,-0.0205775122971373,0.0339055636758453,0.543912860156977,24366,393
3,employment,3,7b_firm,-0.0121865298741996,0.0113429403549659,0.282656288521931,2439062,21769
3,employment,3,7d_cell_restricted,-0.00151357822015,0.0165711104565215,0.927223730451112,24056,388
3,employment,3,7d_cell_unrestr,-0.0015365828234249,0.015779139610499,0.922424113180803,24428,394
3,employment,3,cell_microdata,-0.0049423624482169,0.0153325112920382,0.747191143473744,24366,393
3,employment,4,7b_firm,-0.0126301109566428,0.0095098033345999,0.18414017090339,2439062,21769
3,employment,4,7d_cell_restricted,0.0059885795036946,0.0153272996976172,0.696009183275965,24056,388
3,employment,4,7d_cell_unrestr,0.0119556638263178,0.0193562275697753,0.536796204139177,24428,394
3,employment,4,cell_microdata,3.74802992245127e-05,0.0154099429287203,0.99805937486341,24366,393
3,employment,5,7b_firm,-0.0206787565219554,0.0108186074595068,0.0559523631914595,2439062,21769
3,employment,5,7d_cell_restricted,-0.0154581849115754,0.0186006692082302,0.405942384478141,24056,388
3,employment,5,7d_cell_unrestr,-0.0158692714439133,0.016899459246086,0.347710109503069,24428,394
3,employment,5,cell_microdata,-0.0145643332987628,0.0169214386488344,0.389401630977916,24366,393
4,employment,2,7b_firm,-0.0125315198306968,0.0169146621931727,0.458773914178773,2313478,21246
4,employment,2,7d_cell_restricted,-0.005953238511347,0.0335088051702828,0.858988496412391,23932,386
4,employment,2,7d_cell_unrestr,0.0089328087384996,0.0272810531905024,0.743337869889933,24366,393
4,employment,2,cell_microdata,0.0080457289552312,0.0268350857056645,0.764313504991956,24304,392
4,employment,3,7b_firm,0.0089564055046144,0.0106888393503153,0.402074939821618,2313478,21246
4,employment,3,7d_cell_restricted,0.010700031986633,0.0156607529395061,0.494456041952225,23932,386
4,employment,3,7d_cell_unrestr,0.0107979941593419,0.0135544820327823,0.425662214195423,24366,393
4,employment,3,cell_microdata,0.0101828985291997,0.013482614135367,0.450092131962129,24304,392
4,employment,4,7b_firm,0.0248402971236032,0.0089198657418964,0.0053556026609753,2313478,21246
4,employment,4,7d_cell_restricted,0.0319694228517974,0.0157580598306776,0.0424820856392081,23932,386
4,employment,4,7d_cell_unrestr,0.03900690983921,0.0214514415729201,0.069005805952493,24366,393
4,employment,4,cell_microdata,0.0215690432737418,0.0133853205256374,0.107093579764996,24304,392
4,employment,5,7b_firm,0.0071302252884361,0.0096444110797543,0.459717788063326,2313478,21246
4,employment,5,7d_cell_restricted,0.0092768473127954,0.0193049851909641,0.630842372943535,23932,386
4,employment,5,7d_cell_unrestr,0.0079260017597539,0.0160895167273058,0.622281815175826,24366,393
4,employment,5,cell_microdata,0.0102792406761245,0.0165723925248805,0.535084699090622,24304,392
1,log_wage,2,7b_firm,-0.0140431067017295,0.0084877937661966,0.0980391400791154,1583569,21767
1,log_wage,2,7d_cell_restricted,-0.0208345517105905,0.0123184329037736,0.0915744549689627,23073,390
1,log_wage,2,7d_cell_unrestr,-0.0146293089204325,0.0096894183603683,0.131894136922086,23904,393
1,log_wage,2,cell_microdata,-0.0046217784875927,0.0082824997324823,0.577151089255584,23070,393
1,log_wage,3,7b_firm,-0.0039879071474437,0.0072491106002366,0.582240214790847,1583569,21767
1,log_wage,3,7d_cell_restricted,-0.006704990026416,0.0074526370797963,0.368847053992029,23073,390
1,log_wage,3,7d_cell_unrestr,-0.0059318690692018,0.0066102381865099,0.370069116005362,23904,393
1,log_wage,3,cell_microdata,-0.0022481283725634,0.0060443970964548,0.710141536240281,23070,393
1,log_wage,4,7b_firm,-0.0059658894860928,0.0072466935011352,0.410371011114638,1583569,21767
1,log_wage,4,7d_cell_restricted,-0.027213003176978,0.0124224716427238,0.0290716093486226,23073,390
1,log_wage,4,7d_cell_unrestr,-0.0207277653831793,0.0118445356276688,0.0809032339057,23904,393
1,log_wage,4,cell_microdata,-0.0195786507438203,0.0106926723802357,0.0678542923423037,23070,393
1,log_wage,5,7b_firm,0.0020399304669463,0.0081216943968956,0.801684621835618,1583569,21767
1,log_wage,5,7d_cell_restricted,-0.0332654714905423,0.0084923314118058,0.0001058342385678,23073,390
1,log_wage,5,7d_cell_unrestr,-0.02473977043379,0.0076956439359816,0.0014136346991175,23904,393
1,log_wage,5,cell_microdata,-0.0245517708377342,0.0067475254613433,0.0003107551807254,23070,393
2,log_wage,2,7b_firm,0.0003132484140485,0.0057750145379601,0.956742844114675,1898250,21857
2,log_wage,2,7d_cell_restricted,-0.0130418963186078,0.0096431510883415,0.177026730029929,23123,385
2,log_wage,2,7d_cell_unrestr,-0.0068612613528074,0.0070316581077957,0.329781602563907,23871,393
2,log_wage,2,cell_microdata,-0.0036897500697089,0.0061018429515611,0.545733732293094,23195,391
2,log_wage,3,7b_firm,0.0074498762761572,0.0048029477326042,0.120891000620218,1898250,21857
2,log_wage,3,7d_cell_restricted,-0.0048359601585023,0.0068142955596153,0.478334125839085,23123,385
2,log_wage,3,7d_cell_unrestr,-0.0047435996901801,0.0050910394029617,0.352036823365136,23871,393
2,log_wage,3,cell_microdata,-0.0058239303003074,0.0045915151034598,0.205407663164035,23195,391
2,log_wage,4,7b_firm,0.0097685819070174,0.0049077157229058,0.0465533910547325,1898250,21857
2,log_wage,4,7d_cell_restricted,-0.0066324793547692,0.0078932888408816,0.401280915056573,23123,385
2,log_wage,4,7d_cell_unrestr,-0.0022606258994205,0.00879118353503,0.797200267357908,23871,393
2,log_wage,4,cell_microdata,-0.0089817229420402,0.0053236269570089,0.0923753447956154,23195,391
2,log_wage,5,7b_firm,0.0162323307664707,0.0052679250525536,0.0020631907487775,1898250,21857
2,log_wage,5,7d_cell_restricted,-0.0010446318595316,0.0069112381922459,0.879936966854218,23123,385
2,log_wage,5,7d_cell_unrestr,0.0026620091479873,0.0060103605161066,0.658079908941917,23871,393
2,log_wage,5,cell_microdata,-0.0078400472920529,0.0052724948459848,0.137830448819282,23195,391
3,log_wage,2,7b_firm,-0.0010516178293445,0.0055770466888602,0.850438062437992,1937725,21632
3,log_wage,2,7d_cell_restricted,-0.0066084811165825,0.0092518383657493,0.47548055798013,23149,387
3,log_wage,2,7d_cell_unrestr,-0.005770308834786,0.0069408775422111,0.406279914513212,23851,394
3,log_wage,2,cell_microdata,-0.0025882362644308,0.0066871119962294,0.698930385163327,23102,393
3,log_wage,3,7b_firm,0.0064791581113129,0.0045462432665542,0.154123219361162,1937725,21632
3,log_wage,3,7d_cell_restricted,-0.0013856733375956,0.0087060392963165,0.873624240489758,23149,387
3,log_wage,3,7d_cell_unrestr,-0.0028242744637015,0.0060910882942891,0.643138591419409,23851,394
3,log_wage,3,cell_microdata,-0.0042282517220239,0.0048724668249429,0.386043175883323,23102,393
