outcome,age_bin,ai_q,7b_firm_coef,7d_cell_restricted_coef,7d_cell_unrestr_coef,cell_microdata_coef,7b_firm_p_value,7d_cell_restricted_p_value,7d_cell_unrestr_p_value,cell_microdata_p_value,7b_firm_se,7d_cell_restricted_se,7d_cell_unrestr_se,cell_microdata_se
employment,1,2,0.0610727983197862,0.0612424834167893,0.0512506687301566,0.0428043797782131,0.0267609041625854,0.0916644088361692,0.156524367386253,0.208791261606819,0.0275725217178297,0.0363094308074389,0.0361720502256967,0.0340556230864872
employment,1,3,0.0481742851717518,0.0482476873144112,0.0487750876393319,0.0448902183521231,0.0090028579353075,0.0347615157226006,0.0135941225835513,0.0275828404859701,0.0184438317691335,0.0228540105922798,0.0197644971375433,0.0203752951648379
employment,1,4,0.0280232305291761,0.0245689129843626,0.026138388631776,0.0193070857540054,0.0823163737713599,0.245806944254391,0.226140234731337,0.341648004974652,0.0161293948666705,0.0211692526920202,0.0215955234185199,0.0203037126189626
employment,1,5,0.0131620579287592,0.010378972664054,0.0203501486052705,0.021515094176543,0.53146219903695,0.666289997998236,0.341688308288002,0.327964638951786,0.0210331944532835,0.0240674436907127,0.0214024048371796,0.0219940858772577
employment,2,2,0.0402626820797591,0.0247210876990522,0.0222721339562957,0.018064196165365,0.0492425018376445,0.561443553310822,0.550065233485521,0.612617769965301,0.0204744314325365,0.0425712829449523,0.0372654106697085,0.0356759985839885
employment,2,3,0.0252242139329452,0.0453484945981223,0.0433460168276844,0.043230218359714,0.043032131467635,0.0156517758001801,0.0088161639111291,0.009775616756627,0.0124662642161464,0.0187628044908756,0.0165499550905856,0.0167321178358991
employment,2,4,0.0505618234229917,0.0813409360635669,0.0785152940862467,0.0707450468581857,2.60893204798735e-06,2.75733542474464e-06,6.06625357900502e-05,2.70801667421194e-05,0.0107591478121179,0.0173504579582196,0.0195788060833255,0.0168572008552198
employment,2,5,0.0511001809346269,0.0847456167121654,0.0755141696283188,0.0783279909853047,2.85779358325343e-05,1.72457884289956e-05,3.16074189445106e-05,2.49461840432278e-05,0.0122117420144341,0.0197181130052666,0.0181456187942549,0.0185818923984694
employment,3,2,-0.0190272237519451,-0.0328009209712888,-0.0159814993860223,-0.0205775122971373,0.326772989659478,0.431348598871916,0.654436038153917,0.543912860156977,0.019402970998439,0.0416844633508559,0.0357042209171995,0.0339055636758453
employment,3,3,-0.0121865298741996,-0.00151357822015,-0.0015365828234249,-0.0049423624482169,0.282656288521931,0.927223730451112,0.922424113180803,0.747191143473744,0.0113429403549659,0.0165711104565215,0.015779139610499,0.0153325112920382
