timing,age_group,model,term,coef,se,n_obs,n_occ
chatgpt,1,m1,exp,0.0104008634588745,0.00701508955471309,20176,388
chatgpt,1,m2,wage,0.0115974744596081,0.00852031717052098,20176,388
chatgpt,1,m3,exp,0.009006504327675,0.00796978694699627,20176,388
chatgpt,1,m3,wage,0.00681630008244809,0.0100522272641175,20176,388
chatgpt,1,m3,exp_x_wage,-0.0104486796775904,0.0105555395039107,20176,388
chatgpt,2,m1,exp,0.0291097863347791,0.00605277138438128,20072,386
chatgpt,2,m2,wage,0.0255872417306376,0.00527052247483947,20072,386
chatgpt,2,m3,exp,0.0225033014204053,0.00722187838395731,20072,386
chatgpt,2,m3,wage,0.0141807144120052,0.00557041807858484,20072,386
chatgpt,2,m3,exp_x_wage,-0.00604338997821582,0.00712891085988676,20072,386
chatgpt,3,m1,exp,0.00409207942970843,0.00604563921877509,20124,387
chatgpt,3,m2,wage,0.00698455993227574,0.00570780755603959,20124,387
chatgpt,3,m3,exp,3.73242401527051e-05,0.0072050301357063,20124,387
chatgpt,3,m3,wage,0.00701404510736387,0.00669970952209568,20124,387
chatgpt,3,m3,exp_x_wage,-0.000811306178369886,0.00855719850125622,20124,387
chatgpt,4,m1,exp,0.00755482888278215,0.00536075743525345,20176,388
chatgpt,4,m2,wage,0.010846623774531,0.00528708002637341,20176,388
chatgpt,4,m3,exp,0.00300980707025828,0.00595218000081401,20176,388
chatgpt,4,m3,wage,0.0091808581972735,0.00596930118135544,20176,388
chatgpt,4,m3,exp_x_wage,0.000480510688831148,0.00878290278245349,20176,388
agentic,1,m1,exp,-0.0153712963997529,0.00530331607866677,12320,385
agentic,1,m2,wage,-0.000443836919329539,0.00835456117584941,12320,385
agentic,1,m3,exp,-0.0165052144802251,0.00543573692667305,12320,385
agentic,1,m3,wage,0.0047952211187175,0.00828576281755702,12320,385
agentic,1,m3,exp_x_wage,0.00184044663302618,0.00584576138661895,12320,385
agentic,2,m1,exp,-0.00536868442609455,0.00311980124026375,12320,385
agentic,2,m2,wage,-0.00263554207118979,0.00361936643874727,12320,385
agentic,2,m3,exp,-0.00587661338531765,0.00339309972084598,12320,385
agentic,2,m3,wage,-6.21715591499962e-05,0.00393079411810853,12320,385
agentic,2,m3,exp_x_wage,0.00457605248617552,0.00351896504047341,12320,385
agentic,3,m1,exp,-0.0096001241070983,0.00232101428763134,12320,385
agentic,3,m2,wage,-0.00896831841380936,0.00285739267336417,12320,385
agentic,3,m3,exp,-0.00600385691096755,0.00260640809587621,12320,385
agentic,3,m3,wage,-0.00614363835088648,0.00330935434881457,12320,385
agentic,3,m3,exp_x_wage,0.00582585432226521,0.00297406585728622,12320,385
agentic,4,m1,exp,-0.00948558142994457,0.00189322594355132,12352,386
agentic,4,m2,wage,-0.00735011247144398,0.00214098038797813,12352,386
agentic,4,m3,exp,-0.00671646099712768,0.00191925012731116,12352,386
agentic,4,m3,wage,-0.00497110698391218,0.0022417117537098,12352,386
agentic,4,m3,exp_x_wage,0.00914406556773524,0.00233094484240933,12352,386
