timing,age_group,model,nobs,n_clusters,pr2
chatgpt,1,m1,20176,388,0.993267111695925
chatgpt,1,m2,20176,388,0.993351072894376
chatgpt,1,m3,20176,388,0.993479146339376
chatgpt,2,m1,20072,386,0.99383578426274
chatgpt,2,m2,20072,386,0.993844873110541
chatgpt,2,m3,20072,386,0.9939233590458
chatgpt,3,m1,20124,387,0.993912963710894
chatgpt,3,m2,20124,387,0.993894509613226
chatgpt,3,m3,20124,387,0.993995909518948
chatgpt,4,m1,20176,388,0.994118184764379
chatgpt,4,m2,20176,388,0.99411471326211
chatgpt,4,m3,20176,388,0.994175284135355
agentic,1,m1,12320,385,0.995122154983057
agentic,1,m2,12320,385,0.995123377094548
agentic,1,m3,12320,385,0.995176740423526
agentic,2,m1,12320,385,0.994959905711455
agentic,2,m2,12320,385,0.994961940319861
agentic,2,m3,12320,385,0.99499002780667
agentic,3,m1,12320,385,0.994862568929449
agentic,3,m2,12320,385,0.994850692613807
agentic,3,m3,12320,385,0.994878243874588
agentic,4,m1,12352,386,0.994989207307407
agentic,4,m2,12352,386,0.994981786661583
agentic,4,m3,12352,386,0.995011470250794
