timing,age_group,model,term,coef,se,n_obs,n_occ
chatgpt,1,m1,exp,-0.0263871669950329,0.0264240284615066,19396,373
chatgpt,1,m2,wage,-0.0165952749446078,0.0232851445817072,19396,373
chatgpt,1,m3,exp,-0.024014360050479,0.0281889914090695,19396,373
chatgpt,1,m3,wage,-0.00892890987622236,0.0260521595686498,19396,373
chatgpt,1,m3,exp_x_wage,-0.000694928808273987,0.0370980106129673,19396,373
chatgpt,2,m1,exp,-0.00737645119636166,0.035853476377201,19344,372
chatgpt,2,m2,wage,-0.0293241144394494,0.0361925467937735,19344,372
chatgpt,2,m3,exp,0.0121457518870683,0.0322815312837809,19344,372
chatgpt,2,m3,wage,-0.0352190357967256,0.03289689047915,19344,372
chatgpt,2,m3,exp_x_wage,-0.0977686738124828,0.0562116861603123,19344,372
chatgpt,3,m1,exp,-0.0126279535281693,0.0365350981831885,19292,371
chatgpt,3,m2,wage,-0.0295452372842602,0.0392471775050903,19292,371
chatgpt,3,m3,exp,-0.0012571054294718,0.0280000036916309,19292,371
chatgpt,3,m3,wage,-0.0292273040549899,0.0386029151396724,19292,371
chatgpt,3,m3,exp_x_wage,-0.0802023642494226,0.0661028780601342,19292,371
chatgpt,4,m1,exp,-0.00694642909884063,0.0371040338061148,19240,370
chatgpt,4,m2,wage,-0.0372942812770402,0.0466761018882995,19240,370
chatgpt,4,m3,exp,0.00773637087580492,0.0290009199059778,19240,370
chatgpt,4,m3,wage,-0.0394655711357941,0.0508516989600606,19240,370
chatgpt,4,m3,exp_x_wage,-0.0652525920147947,0.0742295631176246,19240,370
agentic,1,m1,exp,0.101360479846763,0.0266144060082442,11936,373
agentic,1,m2,wage,0.0494120388261287,0.0329468331756285,11936,373
agentic,1,m3,exp,0.0971303075487349,0.0289245716413024,11936,373
agentic,1,m3,wage,0.0230262264414969,0.0327182787275489,11936,373
agentic,1,m3,exp_x_wage,0.0150615236541603,0.0257065693029816,11936,373
agentic,2,m1,exp,0.0885250809643695,0.0231808932289393,11840,370
agentic,2,m2,wage,0.0186123183199493,0.0264702335934191,11840,370
agentic,2,m3,exp,0.107055527382368,0.026868515124545,11840,370
agentic,2,m3,wage,-0.036822393696142,0.0277821954456209,11840,370
agentic,2,m3,exp_x_wage,-0.0284126187158716,0.0228701172818177,11840,370
agentic,3,m1,exp,0.055804852602876,0.0213948584816793,11872,371
agentic,3,m2,wage,-0.00744293505754318,0.0293879993100284,11872,371
agentic,3,m3,exp,0.0873679474282404,0.0342706351455341,11872,371
agentic,3,m3,wage,-0.0552607467626711,0.0385373450319269,11872,371
agentic,3,m3,exp_x_wage,-0.0116641934144281,0.0338764611530841,11872,371
agentic,4,m1,exp,0.0437878500882596,0.0284088887256911,11712,366
agentic,4,m2,wage,-0.0490451363134265,0.0401788226839665,11712,366
agentic,4,m3,exp,0.101095510338267,0.0411316857171548,11712,366
agentic,4,m3,wage,-0.100515313695936,0.0481214647422099,11712,366
agentic,4,m3,exp_x_wage,0.009362314100576,0.0485340251362891,11712,366
