timing,age_group,model,nobs,n_clusters,pr2
chatgpt,1,m1,19136,368,0.91192119599277
chatgpt,1,m2,19136,368,0.912311474478211
chatgpt,1,m3,19136,368,0.913658429947814
chatgpt,2,m1,19188,369,0.860244997741985
chatgpt,2,m2,19188,369,0.860996270881162
chatgpt,2,m3,19188,369,0.862082096384776
chatgpt,3,m1,18980,365,0.828516650767562
chatgpt,3,m2,18980,365,0.829079841893835
chatgpt,3,m3,18980,365,0.830411190451926
chatgpt,4,m1,18980,365,0.793993003330249
chatgpt,4,m2,18980,365,0.795005357379874
chatgpt,4,m3,18980,365,0.795979446136792
agentic,1,m1,11744,367,0.91085435039128
agentic,1,m2,11744,367,0.911274936038513
agentic,1,m3,11744,367,0.913019844915973
agentic,2,m1,11648,364,0.856925256003085
agentic,2,m2,11648,364,0.857777440413658
agentic,2,m3,11648,364,0.859035315872775
agentic,3,m1,11616,363,0.82795255804587
agentic,3,m2,11616,363,0.82891440571853
agentic,3,m3,11616,363,0.8301610194124
agentic,4,m1,11392,356,0.790580043938538
agentic,4,m2,11392,356,0.791284716090728
agentic,4,m3,11392,356,0.793009572030873
