timing,age_group,model,term,coef,se,n_obs,n_occ
chatgpt,1,m1,exp,-0.0464682641465305,0.0250754901485179,19396,373
chatgpt,1,m2,wage,-0.0353275094008449,0.0215365440651503,19396,373
chatgpt,1,m3,exp,-0.0409947395801288,0.0263515174595051,19396,373
chatgpt,1,m3,wage,-0.0234577423491317,0.0230334425468935,19396,373
chatgpt,1,m3,exp_x_wage,-0.0154961457563159,0.0311048278001982,19396,373
chatgpt,2,m1,exp,-0.0278674218370357,0.02489534611804,19344,372
chatgpt,2,m2,wage,-0.0539846277824678,0.0207482227921817,19344,372
chatgpt,2,m3,exp,-0.00107267183877745,0.0249433304399571,19344,372
chatgpt,2,m3,wage,-0.053205701923186,0.0198301820750695,19344,372
chatgpt,2,m3,exp_x_wage,-0.0636487987224306,0.0310516520530761,19344,372
chatgpt,3,m1,exp,-0.0387753486105646,0.0246759780030278,19292,371
chatgpt,3,m2,wage,-0.0717234231212434,0.0219692209598584,19292,371
chatgpt,3,m3,exp,0.000961464364257848,0.0244170351381983,19292,371
chatgpt,3,m3,wage,-0.0722559445616688,0.0236727312753018,19292,371
chatgpt,3,m3,exp_x_wage,-0.0320138083151722,0.0346532570420047,19292,371
chatgpt,4,m1,exp,-0.0404960042068134,0.0257936378899826,19240,370
chatgpt,4,m2,wage,-0.0768018016343735,0.0276056837526698,19240,370
chatgpt,4,m3,exp,7.7266684026904e-05,0.0271603105920654,19240,370
chatgpt,4,m3,wage,-0.0766513010205995,0.0316388608918169,19240,370
chatgpt,4,m3,exp_x_wage,-0.00606086639207717,0.03167149565959,19240,370
agentic,1,m1,exp,0.0940700811986411,0.0231419356014253,11936,373
agentic,1,m2,wage,0.061333871971335,0.0270330186079005,11936,373
agentic,1,m3,exp,0.0849592159188762,0.0242107657673256,11936,373
agentic,1,m3,wage,0.0375868139671975,0.0270518623573278,11936,373
agentic,1,m3,exp_x_wage,0.0180631845682186,0.0253593309629799,11936,373
agentic,2,m1,exp,0.0596210513846485,0.0207478804887099,11840,370
agentic,2,m2,wage,0.015697740791256,0.0235612597226121,11840,370
agentic,2,m3,exp,0.0703349745283251,0.0235046393044831,11840,370
agentic,2,m3,wage,-0.0201085220540497,0.0251420128512573,11840,370
agentic,2,m3,exp_x_wage,-0.0232397866064165,0.0215745313681963,11840,370
agentic,3,m1,exp,0.0320560644624398,0.0204378822834483,11872,371
agentic,3,m2,wage,-0.0187767053402219,0.0248468127436262,11872,371
agentic,3,m3,exp,0.0618245880281309,0.029371105916766,11872,371
agentic,3,m3,wage,-0.0522193923086421,0.0315022799989133,11872,371
agentic,3,m3,exp_x_wage,-0.0165941160304574,0.0285392515609858,11872,371
agentic,4,m1,exp,0.0056821418387466,0.026408413410573,11712,366
agentic,4,m2,wage,-0.0637273907812609,0.0353064509148109,11712,366
agentic,4,m3,exp,0.0564268114372044,0.034059651543144,11712,366
agentic,4,m3,wage,-0.0922556893369944,0.0412868078592804,11712,366
agentic,4,m3,exp_x_wage,0.0065221281511384,0.0396704507652401,11712,366
