timing,age_group,model,nobs,n_clusters,pr2
chatgpt,1,m1,16781,363,0.945762673070498
chatgpt,1,m2,16781,363,0.946937896213726
chatgpt,1,m3,16781,363,0.948140403520427
chatgpt,2,m1,16618,367,0.913887637661978
chatgpt,2,m2,16618,367,0.915226692842191
chatgpt,2,m3,16618,367,0.916532712144431
chatgpt,3,m1,15847,364,0.897918594676452
chatgpt,3,m2,15847,364,0.898829597287889
chatgpt,3,m3,15847,364,0.900534435690468
chatgpt,4,m1,14525,361,0.878623343571894
chatgpt,4,m2,14525,361,0.879902826796593
chatgpt,4,m3,14525,361,0.881237571033814
agentic,1,m1,10229,360,0.946303797291874
agentic,1,m2,10229,360,0.946909495496963
agentic,1,m3,10229,360,0.948406429962658
agentic,2,m1,10097,359,0.911960398693061
agentic,2,m2,10097,359,0.912672423998768
agentic,2,m3,10097,359,0.914357842268171
agentic,3,m1,9653,359,0.894735185507515
agentic,3,m2,9653,359,0.895519075914294
agentic,3,m3,9653,359,0.897178577980455
agentic,4,m1,8910,352,0.870240576768585
agentic,4,m2,8910,352,0.87092885749005
agentic,4,m3,8910,352,0.872788548161299
