timing,age_group,model,term,coef,se,n_obs,n_occ
chatgpt,1,m1,exp,0.0112695665122562,0.00720799772975008,20280,390
chatgpt,1,m2,wage,0.0120225811635126,0.00942450838661239,20280,390
chatgpt,1,m3,exp,0.00981216305927202,0.00811084348488842,20280,390
chatgpt,1,m3,wage,0.00726057804545331,0.0107698108012333,20280,390
chatgpt,1,m3,exp_x_wage,-0.0099822501263046,0.0108607034690146,20280,390
chatgpt,2,m1,exp,0.0303209442382301,0.00621037066290655,20176,388
chatgpt,2,m2,wage,0.0269864154061247,0.00550564447465557,20176,388
chatgpt,2,m3,exp,0.0236129906495327,0.00744809822218864,20176,388
chatgpt,2,m3,wage,0.0151432922770323,0.00573286152964288,20176,388
chatgpt,2,m3,exp_x_wage,-0.00695683934267902,0.00754988732816371,20176,388
chatgpt,3,m1,exp,0.00454027285841205,0.00615552858434057,20176,388
chatgpt,3,m2,wage,0.00795381352298537,0.00575204886758738,20176,388
chatgpt,3,m3,exp,-4.78955851692525e-06,0.00716740865538153,20176,388
chatgpt,3,m3,wage,0.00803142063212453,0.00659836327557699,20176,388
chatgpt,3,m3,exp_x_wage,-0.00072114836678655,0.00868351959237767,20176,388
chatgpt,4,m1,exp,0.00782861786216547,0.00548055469972576,20228,389
chatgpt,4,m2,wage,0.0117924054446366,0.00525041474632559,20228,389
chatgpt,4,m3,exp,0.0028453428663521,0.00600914744931689,20228,389
chatgpt,4,m3,wage,0.0103154121931285,0.00588287929572889,20228,389
chatgpt,4,m3,exp_x_wage,9.98818488834874e-05,0.00914039957140073,20228,389
agentic,1,m1,exp,-0.015601270494596,0.00515583928091882,12384,387
agentic,1,m2,wage,-0.000485682935630255,0.00862787601550757,12384,387
agentic,1,m3,exp,-0.0168280510810373,0.00531652982000097,12384,387
agentic,1,m3,wage,0.00510509769956882,0.00855063644005668,12384,387
agentic,1,m3,exp_x_wage,0.00166134005207662,0.00601098611509363,12384,387
agentic,2,m1,exp,-0.00495606419769036,0.00300551888635869,12384,387
agentic,2,m2,wage,-0.00197618711957898,0.00352456714281186,12384,387
agentic,2,m3,exp,-0.00585849207745938,0.00340679405426543,12384,387
agentic,2,m3,wage,0.000558094215209966,0.00395209925207958,12384,387
agentic,2,m3,exp_x_wage,0.00507764357751645,0.00357646400101834,12384,387
agentic,3,m1,exp,-0.0092704803365657,0.00224865908415827,12288,384
agentic,3,m2,wage,-0.00802688023051768,0.00271947631871104,12288,384
agentic,3,m3,exp,-0.00618610228704519,0.00258428018328189,12288,384
agentic,3,m3,wage,-0.00519383497104827,0.00320680362994625,12288,384
agentic,3,m3,exp_x_wage,0.00588503133203192,0.00290371003535808,12288,384
agentic,4,m1,exp,-0.00924115771329061,0.00188798764315812,12384,387
agentic,4,m2,wage,-0.00675421875369024,0.00211209928028833,12384,387
agentic,4,m3,exp,-0.00679256171002568,0.0018909075213792,12384,387
agentic,4,m3,wage,-0.0044604200781998,0.00220376154142424,12384,387
agentic,4,m3,exp_x_wage,0.00918436338108153,0.00229675622081062,12384,387
