timing,age_group,model,nobs,n_clusters,pr2
chatgpt,1,m1,19332,390,0.994945276289007
chatgpt,1,m2,19332,390,0.995068113028674
chatgpt,1,m3,19332,390,0.99523784044982
chatgpt,2,m1,19427,387,0.996028901347236
chatgpt,2,m2,19427,387,0.996055539738963
chatgpt,2,m3,19427,387,0.996175280768403
chatgpt,3,m1,19360,387,0.996685785768518
chatgpt,3,m2,19360,387,0.996666286172748
chatgpt,3,m3,19360,387,0.996821663900303
chatgpt,4,m1,19309,389,0.997398435258321
chatgpt,4,m2,19309,389,0.997397599772115
chatgpt,4,m3,19309,389,0.997492163350459
agentic,1,m1,11955,387,0.997402207645103
agentic,1,m2,11955,387,0.997401547578206
agentic,1,m3,11955,387,0.997466689625753
agentic,2,m1,11962,386,0.997822083176223
agentic,2,m2,11962,386,0.997825315929707
agentic,2,m3,11962,386,0.997866718676242
agentic,3,m1,11896,382,0.998183623845276
agentic,3,m2,11896,382,0.998166482763998
agentic,3,m3,11896,382,0.998207122561875
agentic,4,m1,11908,386,0.99857702525144
agentic,4,m2,11908,386,0.99856682879584
agentic,4,m3,11908,386,0.998609216917439
