outcome,timing,age_group,model,term,coef,se,n_obs,n_occ
count,agentic,1,m1,exp,-0.0153817449289996,0.00527475569760681,12320,385
count,agentic,1,m2,wage,-0.000497016342833962,0.00832141442810064,12320,385
count,agentic,1,m3,exp,-0.0165177944522445,0.00541050343112057,12320,385
count,agentic,1,m3,exp_x_wage,0.00189251350131749,0.00582946230520437,12320,385
count,agentic,1,m3,wage,0.00480502338633906,0.00824214161510403,12320,385
count,agentic,2,m1,exp,-0.0053967844474308,0.00313232567162083,12288,384
count,agentic,2,m2,wage,-0.00263521778929687,0.00362508863558997,12288,384
count,agentic,2,m3,exp,-0.00588218192255763,0.00340325658139916,12288,384
count,agentic,2,m3,exp_x_wage,0.00453327418600701,0.00352736646037463,12288,384
count,agentic,2,m3,wage,-2.98965970857546e-05,0.00393886464610186,12288,384
count,agentic,3,m1,exp,-0.00963930129445394,0.00233395827516435,12256,383
count,agentic,3,m2,wage,-0.00899891253666329,0.0028727481649246,12256,383
count,agentic,3,m3,exp,-0.00602924471335127,0.00260966404430574,12256,383
count,agentic,3,m3,exp_x_wage,0.00588331544124901,0.00298901571561404,12256,383
count,agentic,3,m3,wage,-0.00619661766554697,0.00332270417199913,12256,383
count,agentic,4,m1,exp,-0.00958141516291591,0.00191295598346003,12288,384
count,agentic,4,m2,wage,-0.00741568408742926,0.00216266216632768,12288,384
count,agentic,4,m3,exp,-0.00679333096343734,0.00192751327308525,12288,384
count,agentic,4,m3,exp_x_wage,0.00925206076955537,0.00235190266201925,12288,384
count,agentic,4,m3,wage,-0.00506810699649139,0.00225974879851524,12288,384
count,chatgpt,1,m1,exp,0.0101121325814778,0.00695098234878731,20124,387
count,chatgpt,1,m2,wage,0.0110431060979092,0.00855432698276849,20124,387
count,chatgpt,1,m3,exp,0.00869319786954103,0.00779224330568685,20124,387
count,chatgpt,1,m3,exp_x_wage,-0.0102889291760283,0.0103610774394095,20124,387
count,chatgpt,1,m3,wage,0.00637360234188222,0.010060488343061,20124,387
count,chatgpt,2,m1,exp,0.0298782105783379,0.00615196395943103,19968,384
count,chatgpt,2,m2,wage,0.0263082844848849,0.00538982863191907,19968,384
count,chatgpt,2,m3,exp,0.0230565889988248,0.00734742911446569,19968,384
count,chatgpt,2,m3,exp_x_wage,-0.00548185250558872,0.00730872398646129,19968,384
count,chatgpt,2,m3,wage,0.0146224887285323,0.0057214677575487,19968,384
count,chatgpt,3,m1,exp,0.00429975349891434,0.00607877857665877,20020,385
count,chatgpt,3,m2,wage,0.00711376684169601,0.00576583210388055,20020,385
count,chatgpt,3,m3,exp,0.000289694106397665,0.00718360224319428,20020,385
count,chatgpt,3,m3,exp_x_wage,-0.0010952094968022,0.00868877819390771,20020,385
count,chatgpt,3,m3,wage,0.00706222832367758,0.00671646999767209,20020,385
count,chatgpt,4,m1,exp,0.0077586539020312,0.00556153757447962,20176,388
count,chatgpt,4,m2,wage,0.0113185058657332,0.00553082502320924,20176,388
count,chatgpt,4,m3,exp,0.00308764285413347,0.00609722618641737,20176,388
count,chatgpt,4,m3,exp_x_wage,0.000589125806907231,0.0091859801167951,20176,388
count,chatgpt,4,m3,wage,0.00963697888918974,0.00619204997944809,20176,388
nyjobb,agentic,1,m1,exp,0.0893998218800076,0.0236924924093239,11392,356
nyjobb,agentic,1,m2,wage,0.0450021823764499,0.0305078558933334,11392,356
nyjobb,agentic,1,m3,exp,0.0852575810678641,0.0256854426023465,11392,356
nyjobb,agentic,1,m3,exp_x_wage,0.0112899088910784,0.0233746445027942,11392,356
nyjobb,agentic,1,m3,wage,0.0205018789913962,0.0301839364973676,11392,356
nyjobb,agentic,2,m1,exp,0.0833352819950395,0.0223577962010108,11392,356
nyjobb,agentic,2,m2,wage,0.0206916490026302,0.0249055783629777,11392,356
nyjobb,agentic,2,m3,exp,0.096244366099791,0.0250782297692533,11392,356
nyjobb,agentic,2,m3,exp_x_wage,-0.0296326496823304,0.0211437622016693,11392,356
nyjobb,agentic,2,m3,wage,-0.026535163292244,0.0254712981443131,11392,356
nyjobb,agentic,3,m1,exp,0.0503967523739022,0.0196091621785663,11488,359
nyjobb,agentic,3,m2,wage,-0.0035300966301321,0.0268434953450538,11488,359
nyjobb,agentic,3,m3,exp,0.0737057126570606,0.0300782956233237,11488,359
nyjobb,agentic,3,m3,exp_x_wage,-0.016611769074185,0.0307625376518603,11488,359
nyjobb,agentic,3,m3,wage,-0.0432245153350462,0.0343672553012637,11488,359
nyjobb,agentic,4,m1,exp,0.0380073839944716,0.0253263570805349,11104,347
nyjobb,agentic,4,m2,wage,-0.0400931191953105,0.0348964545224819,11104,347
nyjobb,agentic,4,m3,exp,0.0788806212691494,0.0346243106308878,11104,347
nyjobb,agentic,4,m3,exp_x_wage,0.00252721038919132,0.040857938972124,11104,347
nyjobb,agentic,4,m3,wage,-0.0779168858074822,0.0405935238291784,11104,347
nyjobb,chatgpt,1,m1,exp,-0.0213205395856648,0.023331106990278,18668,359
nyjobb,chatgpt,1,m2,wage,-0.0131341158059421,0.0218680952453393,18668,359
nyjobb,chatgpt,1,m3,exp,-0.0195130618140119,0.0255742514700487,18668,359
nyjobb,chatgpt,1,m3,exp_x_wage,0.00220152853961891,0.0342610446743158,18668,359
nyjobb,chatgpt,1,m3,wage,-0.00554590736831429,0.0251032743997063,18668,359
nyjobb,chatgpt,2,m1,exp,-0.00356148060659067,0.0349820345739002,18980,365
nyjobb,chatgpt,2,m2,wage,-0.0287582825614296,0.0366291952928065,18980,365
nyjobb,chatgpt,2,m3,exp,0.0123285787954845,0.030658372492501,18980,365
nyjobb,chatgpt,2,m3,exp_x_wage,-0.0937482723440191,0.0573219845797791,18980,365
nyjobb,chatgpt,2,m3,wage,-0.0353617347266029,0.0345144727356939,18980,365
nyjobb,chatgpt,3,m1,exp,-0.00853564919399519,0.0358542980939386,18772,361
nyjobb,chatgpt,3,m2,wage,-0.02997625736075,0.0394364445758588,18772,361
nyjobb,chatgpt,3,m3,exp,0.0016683746728893,0.0266837691900697,18772,361
nyjobb,chatgpt,3,m3,exp_x_wage,-0.0746476025450659,0.0663614230977649,18772,361
nyjobb,chatgpt,3,m3,wage,-0.0309897761128391,0.0408881929036671,18772,361
nyjobb,chatgpt,4,m1,exp,-0.0060267108164677,0.0376418155496645,18564,357
nyjobb,chatgpt,4,m2,wage,-0.0371531413623183,0.0483298892933785,18564,357
nyjobb,chatgpt,4,m3,exp,0.00512513244911718,0.029561678405996,18564,357
nyjobb,chatgpt,4,m3,exp_x_wage,-0.067793659178188,0.0764466742107141,18564,357
nyjobb,chatgpt,4,m3,wage,-0.0386600423772535,0.0545094870099768,18564,357
