outcome,timing,age_group,model,nobs,n_clusters,r2
count,agentic,1,m1,12320,385,0.177741095210843
count,agentic,1,m2,12320,385,0.178388511869766
count,agentic,1,m3,12320,385,0.196562449198288
count,agentic,2,m1,12288,384,0.200765034485217
count,agentic,2,m2,12288,384,0.201640320039489
count,agentic,2,m3,12288,384,0.21470275383669
count,agentic,3,m1,12256,383,0.191596254338636
count,agentic,3,m2,12256,383,0.184884794493999
count,agentic,3,m3,12256,383,0.200398072402643
count,agentic,4,m1,12288,384,0.181896038571942
count,agentic,4,m2,12288,384,0.17639844189569
count,agentic,4,m3,12288,384,0.19822913356932
count,chatgpt,1,m1,20124,387,0.316285972120025
count,chatgpt,1,m2,20124,387,0.330065150785765
count,chatgpt,1,m3,20124,387,0.350198255330566
count,chatgpt,2,m1,19968,384,0.435833777110581
count,chatgpt,2,m2,19968,384,0.436982419817783
count,chatgpt,2,m3,19968,384,0.453120974157336
count,chatgpt,3,m1,20020,385,0.343677844852805
count,chatgpt,3,m2,20020,385,0.338516572921736
count,chatgpt,3,m3,20020,385,0.36585573121918
count,chatgpt,4,m1,20176,388,0.436449214719785
count,chatgpt,4,m2,20176,388,0.435690128010697
count,chatgpt,4,m3,20176,388,0.451687936502023
nyjobb,agentic,1,m1,11392,356,0.203079792547353
nyjobb,agentic,1,m2,11392,356,0.206106375921124
nyjobb,agentic,1,m3,11392,356,0.23121440551596
nyjobb,agentic,2,m1,11392,356,0.199756892438313
nyjobb,agentic,2,m2,11392,356,0.206325446476421
nyjobb,agentic,2,m3,11392,356,0.216035608192039
nyjobb,agentic,3,m1,11488,359,0.206040225957413
nyjobb,agentic,3,m2,11488,359,0.211585198939967
nyjobb,agentic,3,m3,11488,359,0.220123343042148
nyjobb,agentic,4,m1,11104,347,0.210404142811115
nyjobb,agentic,4,m2,11104,347,0.212180930676258
nyjobb,agentic,4,m3,11104,347,0.221410630567529
nyjobb,chatgpt,1,m1,18668,359,0.220794743931492
nyjobb,chatgpt,1,m2,18668,359,0.22539887319485
nyjobb,chatgpt,1,m3,18668,359,0.241548393043732
nyjobb,chatgpt,2,m1,18980,365,0.175903527880117
nyjobb,chatgpt,2,m2,18980,365,0.181621629614377
nyjobb,chatgpt,2,m3,18980,365,0.187562391404251
nyjobb,chatgpt,3,m1,18772,361,0.173399043867775
nyjobb,chatgpt,3,m2,18772,361,0.177043132141551
nyjobb,chatgpt,3,m3,18772,361,0.182634299353117
nyjobb,chatgpt,4,m1,18564,357,0.191290275257793
nyjobb,chatgpt,4,m2,18564,357,0.195777994788139
nyjobb,chatgpt,4,m3,18564,357,0.199640794291902
