outcome,timing,age_group,model,term,coef,se,n_obs,n_occ
count,agentic,1,m1,exp,-0.0127815103124403,0.00619233659352407,11954,385
count,agentic,1,m2,wage,-0.00408976772852662,0.00585027981403962,11954,385
count,agentic,1,m3,exp,-0.0124193193429267,0.00611110997451605,11954,385
count,agentic,1,m3,exp_x_wage,-0.00502349740505419,0.00681111388809175,11954,385
count,agentic,1,m3,wage,-0.00128878919608386,0.00529182204043828,11954,385
count,agentic,2,m1,exp,0.00721131226741605,0.00402656694347008,11950,384
count,agentic,2,m2,wage,0.00918814504798912,0.00354924937078745,11950,384
count,agentic,2,m3,exp,0.00353694806111035,0.00439353048079602,11950,384
count,agentic,2,m3,exp_x_wage,-7.22509829080796e-05,0.00376294177075093,11950,384
count,agentic,2,m3,wage,0.0073420551504441,0.00372857673872342,11950,384
count,agentic,3,m1,exp,-0.00746813675385123,0.00320466553477182,11885,383
count,agentic,3,m2,wage,-0.00539511940037486,0.00327744359798323,11885,383
count,agentic,3,m3,exp,-0.00608657501301457,0.00335455290459348,11885,383
count,agentic,3,m3,exp_x_wage,0.00363643095921195,0.00292562765556025,11885,383
count,agentic,3,m3,wage,-0.00236218397175462,0.00343000036666296,11885,383
count,agentic,4,m1,exp,-0.00586934247226081,0.0029263925532567,11875,384
count,agentic,4,m2,wage,-0.00345892591045672,0.0030264810442422,11875,384
count,agentic,4,m3,exp,-0.00423365884462907,0.00297023326803713,11875,384
count,agentic,4,m3,exp_x_wage,0.0111759507808204,0.00335875652616384,11875,384
count,agentic,4,m3,wage,-0.0026746015417935,0.00312984921737843,11875,384
count,chatgpt,1,m1,exp,0.0198984670857368,0.00789144070505683,19288,387
count,chatgpt,1,m2,wage,0.0428534057748287,0.0116562084549962,19288,387
count,chatgpt,1,m3,exp,0.0105081108259303,0.00810579642742427,19288,387
count,chatgpt,1,m3,exp_x_wage,0.0154079380250028,0.0118698897846731,19288,387
count,chatgpt,1,m3,wage,0.0422470312108248,0.0130734538755656,19288,387
count,chatgpt,2,m1,exp,0.028828420304862,0.00699415416757014,19410,384
count,chatgpt,2,m2,wage,0.0304179256636575,0.00671110428076301,19410,384
count,chatgpt,2,m3,exp,0.0182908109922859,0.00692591366384922,19410,384
count,chatgpt,2,m3,exp_x_wage,0.00539453392470574,0.00731842871747655,19410,384
count,chatgpt,2,m3,wage,0.020440733946396,0.00642670182577952,19410,384
count,chatgpt,3,m1,exp,-0.00839414135531152,0.00616259362505102,19404,385
count,chatgpt,3,m2,wage,0.002405898584246,0.00659912565820781,19404,385
count,chatgpt,3,m3,exp,-0.0133161741493748,0.00638481047260716,19404,385
count,chatgpt,3,m3,exp_x_wage,0.012612477555142,0.00632589807464727,19404,385
count,chatgpt,3,m3,wage,0.00850876945356294,0.00695951576247193,19404,385
count,chatgpt,4,m1,exp,-0.0008858055193154,0.00614519371006884,19289,388
count,chatgpt,4,m2,wage,0.0079810991328055,0.00624896491603756,19289,388
count,chatgpt,4,m3,exp,-0.00461347698764815,0.00638004361963448,19289,388
count,chatgpt,4,m3,exp_x_wage,0.0147132225306407,0.00704943227038167,19289,388
count,chatgpt,4,m3,wage,0.00849317274349977,0.00681602280437284,19289,388
nyjobb,agentic,1,m1,exp,0.00319679467288728,0.0104358172630675,10262,356
nyjobb,agentic,1,m2,wage,-0.0159995036497644,0.0125902260408762,10262,356
nyjobb,agentic,1,m3,exp,0.00831953449756986,0.0112345249420486,10262,356
nyjobb,agentic,1,m3,exp_x_wage,0.00498893139287842,0.0127724630803199,10262,356
nyjobb,agentic,1,m3,wage,-0.0162570640292318,0.0137477277691921,10262,356
nyjobb,agentic,2,m1,exp,0.0217221969533844,0.0120146410520773,10119,356
nyjobb,agentic,2,m2,wage,-0.0057670317686928,0.0154297501244711,10119,356
nyjobb,agentic,2,m3,exp,0.0331281085715918,0.0130679082216526,10119,356
nyjobb,agentic,2,m3,exp_x_wage,0.0169327515343151,0.0136785878201475,10119,356
nyjobb,agentic,2,m3,wage,-0.0210289239426039,0.0160459014898238,10119,356
nyjobb,agentic,3,m1,exp,0.00717579618316292,0.0121820183948224,9707,359
nyjobb,agentic,3,m2,wage,-0.0328025767109455,0.0177858644745698,9707,359
nyjobb,agentic,3,m3,exp,0.0396768021509635,0.0154037719713834,9707,359
nyjobb,agentic,3,m3,exp_x_wage,0.00839599836827043,0.0147773862554081,9707,359
nyjobb,agentic,3,m3,wage,-0.05352979667018,0.0200201689235633,9707,359
nyjobb,agentic,4,m1,exp,-0.00201995197668905,0.0134727905905193,8938,347
nyjobb,agentic,4,m2,wage,-0.0333648349538811,0.0192511791190925,8938,347
nyjobb,agentic,4,m3,exp,0.0285586991626795,0.017671295981968,8938,347
nyjobb,agentic,4,m3,exp_x_wage,0.0349384908689142,0.0234793912355908,8938,347
nyjobb,agentic,4,m3,wage,-0.0460794108535731,0.0225280795940434,8938,347
nyjobb,chatgpt,1,m1,exp,-0.023817363601199,0.0125587302039003,17015,359
nyjobb,chatgpt,1,m2,wage,0.0120608816378114,0.0141626883675361,17015,359
nyjobb,chatgpt,1,m3,exp,-0.0313733443734371,0.0125315492826638,17015,359
nyjobb,chatgpt,1,m3,exp_x_wage,-0.0310892355744345,0.0125713684406834,17015,359
nyjobb,chatgpt,1,m3,wage,0.0176738888306327,0.013997997460424,17015,359
nyjobb,chatgpt,2,m1,exp,-0.0170318494233737,0.0167976289609089,16785,365
nyjobb,chatgpt,2,m2,wage,0.0203173963442163,0.0173725003168919,16785,365
nyjobb,chatgpt,2,m3,exp,-0.039746572820406,0.0160977239554039,16785,365
nyjobb,chatgpt,2,m3,exp_x_wage,-0.0657532221351396,0.0181602292117641,16785,365
nyjobb,chatgpt,2,m3,wage,0.0421565214365347,0.0167154338258286,16785,365
nyjobb,chatgpt,3,m1,exp,-0.0264740943487299,0.0187465177971874,16000,361
nyjobb,chatgpt,3,m2,wage,0.0235041171313288,0.0200064201432903,16000,361
nyjobb,chatgpt,3,m3,exp,-0.0678867782054851,0.0160659453572527,16000,361
nyjobb,chatgpt,3,m3,exp_x_wage,-0.0752731152722254,0.0216039610234489,16000,361
nyjobb,chatgpt,3,m3,wage,0.0603503032771822,0.0182273300302602,16000,361
nyjobb,chatgpt,4,m1,exp,-0.0104690624089138,0.0207277154285824,14746,357
nyjobb,chatgpt,4,m2,wage,0.0396058210978299,0.0243407787692737,14746,357
nyjobb,chatgpt,4,m3,exp,-0.0617715438732993,0.0177029392205914,14746,357
nyjobb,chatgpt,4,m3,exp_x_wage,-0.0895343060887606,0.0263205406912649,14746,357
nyjobb,chatgpt,4,m3,wage,0.0713721658479926,0.0229827456142641,14746,357
