outcome,timing,age_group,model,nobs,n_clusters,r2
count,agentic,1,m1,11954,385,0.171100490883041
count,agentic,1,m2,11954,385,0.160954265254986
count,agentic,1,m3,11954,385,0.179154663752838
count,agentic,2,m1,11950,384,0.19044834550706
count,agentic,2,m2,11950,384,0.19375940797034
count,agentic,2,m3,11950,384,0.200683345695449
count,agentic,3,m1,11885,383,0.168828296108664
count,agentic,3,m2,11885,383,0.158317441517911
count,agentic,3,m3,11885,383,0.17347798686288
count,agentic,4,m1,11875,384,0.159299105117138
count,agentic,4,m2,11875,384,0.152335488587303
count,agentic,4,m3,11875,384,0.177940418298802
count,chatgpt,1,m1,19288,387,0.314564169842336
count,chatgpt,1,m2,19288,387,0.328607975429757
count,chatgpt,1,m3,19288,387,0.348333704262816
count,chatgpt,2,m1,19410,384,0.42975516858904
count,chatgpt,2,m2,19410,384,0.428024654057284
count,chatgpt,2,m3,19410,384,0.443883707981846
count,chatgpt,3,m1,19404,385,0.320172750534022
count,chatgpt,3,m2,19404,385,0.313734148115363
count,chatgpt,3,m3,19404,385,0.342176665554711
count,chatgpt,4,m1,19289,388,0.439009738529242
count,chatgpt,4,m2,19289,388,0.439326917493848
count,chatgpt,4,m3,19289,388,0.45497831364981
nyjobb,agentic,1,m1,10262,356,0.103784773321061
nyjobb,agentic,1,m2,10262,356,0.102969132320472
nyjobb,agentic,1,m3,10262,356,0.107609613112482
nyjobb,agentic,2,m1,10119,356,0.0987066606392295
nyjobb,agentic,2,m2,10119,356,0.0983615284844682
nyjobb,agentic,2,m3,10119,356,0.102187080115931
nyjobb,agentic,3,m1,9707,359,0.0837549775106948
nyjobb,agentic,3,m2,9707,359,0.0851807585835132
nyjobb,agentic,3,m3,9707,359,0.0874205066521199
nyjobb,agentic,4,m1,8938,347,0.0695571029464286
nyjobb,agentic,4,m2,8938,347,0.0711084723431481
nyjobb,agentic,4,m3,8938,347,0.0731383329735387
nyjobb,chatgpt,1,m1,17015,359,0.127732324283126
nyjobb,chatgpt,1,m2,17015,359,0.131121656306399
nyjobb,chatgpt,1,m3,17015,359,0.135390019867613
nyjobb,chatgpt,2,m1,16785,365,0.0849040462310852
nyjobb,chatgpt,2,m2,16785,365,0.0851130584298234
nyjobb,chatgpt,2,m3,16785,365,0.0888613438474335
nyjobb,chatgpt,3,m1,16000,361,0.0744939788598611
nyjobb,chatgpt,3,m2,16000,361,0.0742926286978611
nyjobb,chatgpt,3,m3,16000,361,0.0784113331738798
nyjobb,chatgpt,4,m1,14746,357,0.0731283463965692
nyjobb,chatgpt,4,m2,14746,357,0.0737976786045784
nyjobb,chatgpt,4,m3,14746,357,0.0765342387783821
