timing,age_group,term,k,coef,se
agentic,1,exp,-22,-0.00114348716622612,0.0113954865083524
agentic,1,exp,-21,-0.0113472855965221,0.0119497446055504
agentic,1,exp,-20,-0.00340005180472499,0.00990690141097499
agentic,1,exp,-19,0.000545337986241037,0.00897265134341288
agentic,1,exp,-18,0.00312066371499218,0.00842812306169937
agentic,1,exp,-17,0.00292253321783785,0.00804364857592741
agentic,1,exp,-16,0.0202395342323045,0.00628234880052677
agentic,1,exp,-15,0.0135964258457476,0.00631734527123347
agentic,1,exp,-14,0.0127997036866785,0.00565785007902969
agentic,1,exp,-13,0.00824899465562032,0.00481359314543204
agentic,1,exp,-12,-0.00044058343911874,0.00650672773223098
agentic,1,exp,-11,-0.00812888332228999,0.00622173135908769
agentic,1,exp,-10,-0.00983758618456626,0.00867502241620704
agentic,1,exp,-9,-0.0168600575502311,0.00909876725570872
agentic,1,exp,-8,-0.0129615402842392,0.00656510185661412
agentic,1,exp,-7,-0.00793086463644897,0.0049849765885886
agentic,1,exp,-6,-0.00380316047708197,0.00430010566955536
agentic,1,exp,-5,-0.000482098207299329,0.0046014648444488
agentic,1,exp,-4,0.0129453163102365,0.00385626382079609
agentic,1,exp,-3,0.00826692105743379,0.00221695178180134
agentic,1,exp,-2,0.00384601296078614,0.00167737089722561
agentic,1,exp,-1,0,0
agentic,1,exp,0,-0.00717822061395595,0.00461773294113442
agentic,1,exp,1,-0.019558817999097,0.00624377132630424
agentic,1,exp,2,-0.0189421104852389,0.0089889722661574
agentic,1,exp,3,-0.0271873501612904,0.00994163418114445
agentic,1,exp,4,-0.019076584105805,0.00683495448805387
agentic,1,exp,5,-0.019702743246713,0.00552813859063896
agentic,1,exp,6,-0.0187636375478871,0.00565715083698936
agentic,1,exp,7,-0.0207926527422987,0.00651506180066317
agentic,1,exp,8,-0.00372596363312377,0.0073962150887724
agentic,1,exp,9,-0.00925782107043145,0.00529454431266127
agentic,1,exp_only,-22,-0.00843378624569579,0.0108536043995821
agentic,1,exp_only,-21,-0.0104639339009449,0.0108118371012381
agentic,1,exp_only,-20,-0.000799840305369444,0.0094726433736721
agentic,1,exp_only,-19,0.00444599161519341,0.00869953553045318
agentic,1,exp_only,-18,0.00612398650654911,0.00799806205593738
agentic,1,exp_only,-17,0.00340613795337749,0.00775156308187347
agentic,1,exp_only,-16,0.0240223632107687,0.00556066418609089
agentic,1,exp_only,-15,0.0176996879645479,0.0061551031237692
agentic,1,exp_only,-14,0.0150346142875976,0.00544653165935325
agentic,1,exp_only,-13,0.00811253360231565,0.00451289462120195
agentic,1,exp_only,-12,-0.000929930219033088,0.00549050623189316
agentic,1,exp_only,-11,-0.0153006287134175,0.0060604737817904
agentic,1,exp_only,-10,-0.0144101155296144,0.00830631086681182
agentic,1,exp_only,-9,-0.0141735394580442,0.00782510322054864
agentic,1,exp_only,-8,-0.00929301894238534,0.00646933204221935
agentic,1,exp_only,-7,-0.0023716973034778,0.0048917968285347
agentic,1,exp_only,-6,0.00123322043164235,0.00420005661238801
agentic,1,exp_only,-5,0.00140652079562662,0.00454579917265321
agentic,1,exp_only,-4,0.0177378055127039,0.00303904795883797
agentic,1,exp_only,-3,0.012263728551492,0.00260098918787362
agentic,1,exp_only,-2,0.00617985618689035,0.00172560835266273
agentic,1,exp_only,-1,0,0
agentic,1,exp_only,0,-0.00808981695224062,0.0047119949019462
agentic,1,exp_only,1,-0.0255199118129261,0.00665759520119007
agentic,1,exp_only,2,-0.0233430412646637,0.00872141230085699
agentic,1,exp_only,3,-0.0225721068099661,0.00831162384627309
agentic,1,exp_only,4,-0.0151859114721654,0.00634867324493007
agentic,1,exp_only,5,-0.0150274739913111,0.0055574089299206
agentic,1,exp_only,6,-0.0152076384435161,0.00563730048115763
agentic,1,exp_only,7,-0.020213693077545,0.00634896935965147
agentic,1,exp_only,8,-0.00077904873426494,0.00650014615834862
agentic,1,exp_only,9,-0.00660702864822235,0.00525071009120151
agentic,1,exp_x_wage,-22,0.0123365838954887,0.0148172281085126
agentic,1,exp_x_wage,-21,0.0305293119602058,0.0163668889677792
agentic,1,exp_x_wage,-20,0.0306208767159018,0.0129291207560671
agentic,1,exp_x_wage,-19,0.0208150460020167,0.0112617339170995
agentic,1,exp_x_wage,-18,0.0159415394575802,0.0106313873632808
agentic,1,exp_x_wage,-17,0.0157747061092107,0.0103979593158046
agentic,1,exp_x_wage,-16,0.0124885936028215,0.00928459539374118
agentic,1,exp_x_wage,-15,0.00715236221609616,0.00770802983713228
agentic,1,exp_x_wage,-14,0.00449562913933514,0.00725528310526508
agentic,1,exp_x_wage,-13,0.00733965572914162,0.00572401785346945
agentic,1,exp_x_wage,-12,0.0172632339764904,0.0114434219162849
