timing,age_group,term,k,coef,se
agentic,1,exp,-22,0.0497334417993678,0.0523342341343114
agentic,1,exp,-21,0.214183117433317,0.0531872203158714
agentic,1,exp,-20,0.19692583266261,0.0523353197081041
agentic,1,exp,-19,0.0241272360202584,0.036252416454991
agentic,1,exp,-18,0.0859896854924956,0.0428714886587997
agentic,1,exp,-17,0.0325580780774916,0.0378814480826405
agentic,1,exp,-16,0.138012365424886,0.0336177803957608
agentic,1,exp,-15,0.0735277179721145,0.0334492661955945
agentic,1,exp,-14,0.0702895426127168,0.0319800033443314
agentic,1,exp,-13,0.0424631611414723,0.024662104721727
agentic,1,exp,-12,-0.00874573004777157,0.0336842615218801
agentic,1,exp,-11,0.0311569042101969,0.0414242381056478
agentic,1,exp,-10,0.0848544675182458,0.0537196884358347
agentic,1,exp,-9,0.149244256055457,0.048910365661452
agentic,1,exp,-8,0.202674284017758,0.0529705412367926
agentic,1,exp,-7,0.0639153150892444,0.0318430402124597
agentic,1,exp,-6,0.058952636511066,0.0338844936090422
agentic,1,exp,-5,0.0451604623071233,0.047043185561088
agentic,1,exp,-4,0.105599943747003,0.0422394197356482
agentic,1,exp,-3,0.0659677457274089,0.0435456553268671
agentic,1,exp,-2,0.045808940002165,0.0342476076069985
agentic,1,exp,-1,0,0
agentic,1,exp,0,0.0128425430425627,0.0261480490276093
agentic,1,exp,1,0.0247934156114604,0.0440690118653465
agentic,1,exp,2,-0.0238515058850608,0.0537862127714147
agentic,1,exp,3,0.134207482668386,0.0485197869985546
agentic,1,exp,4,0.20379270777744,0.0496484558188175
agentic,1,exp,5,0.0750679461827326,0.0359601607508897
agentic,1,exp,6,0.0645177130819075,0.042398389246293
agentic,1,exp,7,0.101528348007208,0.0577342408645944
agentic,1,exp,8,0.187406566688024,0.040044257736035
agentic,1,exp,9,0.119648044938929,0.0331146027174799
agentic,1,exp_only,-22,0.0431812975723065,0.0482107618661767
agentic,1,exp_only,-21,0.278661512238942,0.0671627425365614
agentic,1,exp_only,-20,0.219955526221538,0.0543913860265037
agentic,1,exp_only,-19,0.0467416924365816,0.0314505088728943
agentic,1,exp_only,-18,0.0945406777865318,0.0398416418848478
agentic,1,exp_only,-17,0.00977271800703739,0.0377070326413009
agentic,1,exp_only,-16,0.183770381565515,0.0366210335543796
agentic,1,exp_only,-15,0.0699536933927007,0.0335124605748204
agentic,1,exp_only,-14,0.0843943902764463,0.0315928148602519
agentic,1,exp_only,-13,0.0524217320981816,0.0235121857441916
agentic,1,exp_only,-12,-0.0220381609280859,0.0292197091105134
agentic,1,exp_only,-11,0.0127933082705229,0.0384776973966515
agentic,1,exp_only,-10,0.0758298455780365,0.050467770880898
agentic,1,exp_only,-9,0.194989184276201,0.0578085904893511
agentic,1,exp_only,-8,0.235586309841077,0.0538533266458705
agentic,1,exp_only,-7,0.0840768764276252,0.029552930985914
agentic,1,exp_only,-6,0.0603433373124777,0.0312089083455908
agentic,1,exp_only,-5,0.0224719773464204,0.0461877999698366
agentic,1,exp_only,-4,0.155323662040802,0.0438985719465138
agentic,1,exp_only,-3,0.0743747888757613,0.0410204386390272
agentic,1,exp_only,-2,0.0646556962854236,0.0335550045072022
agentic,1,exp_only,-1,0,0
agentic,1,exp_only,0,0.0157101111548241,0.0230150404840794
agentic,1,exp_only,1,0.0161519779698953,0.0395445184948005
agentic,1,exp_only,2,-0.0348663039728586,0.0483046617447568
agentic,1,exp_only,3,0.173782745874144,0.0563515138988737
agentic,1,exp_only,4,0.231456390956744,0.0492296375012239
agentic,1,exp_only,5,0.0740236743688746,0.0337640163070701
agentic,1,exp_only,6,0.0480941041352523,0.0379512436554485
agentic,1,exp_only,7,0.0732407065648474,0.0542979367933614
agentic,1,exp_only,8,0.233729663707363,0.0421514369257961
agentic,1,exp_only,9,0.120697559373557,0.0328246440081872
agentic,1,exp_x_wage,-22,0.0400531024600348,0.0537870441584651
agentic,1,exp_x_wage,-21,0.213254719862693,0.0636408618673278
agentic,1,exp_x_wage,-20,0.109124115975557,0.049822873928595
agentic,1,exp_x_wage,-19,-0.0492974860859125,0.0441901819814913
agentic,1,exp_x_wage,-18,-0.104367674669648,0.0537110605868405
agentic,1,exp_x_wage,-17,-0.0285493533751816,0.0376978304119336
agentic,1,exp_x_wage,-16,0.041830814816876,0.0397341582369634
agentic,1,exp_x_wage,-15,-0.0201084140358938,0.0372433489507672
agentic,1,exp_x_wage,-14,-0.00931382088441535,0.039761526939853
agentic,1,exp_x_wage,-13,0.0235234004940376,0.0223294592415816
agentic,1,exp_x_wage,-12,-0.012360040242811,0.0334683329436864
agentic,1,exp_x_wage,-11,-0.0180814295871259,0.0415111478202571
agentic,1,exp_x_wage,-10,-0.00838092248609514,0.0592613229580828
agentic,1,exp_x_wage,-9,0.162711719514957,0.0574245776342598
agentic,1,exp_x_wage,-8,0.0400507453178276,0.0394308124186496
agentic,1,exp_x_wage,-7,-0.0923128552430896,0.059496619125179
agentic,1,exp_x_wage,-6,-0.0321589410504841,0.0316107260901263
agentic,1,exp_x_wage,-5,-0.0174078219277521,0.0382273937598848
agentic,1,exp_x_wage,-4,-0.0138036054540541,0.045461783840119
agentic,1,exp_x_wage,-3,-0.0472700663547806,0.0341527338155286
agentic,1,exp_x_wage,-2,-0.041522312151775,0.0349572514825029
agentic,1,exp_x_wage,-1,0,0
agentic,1,exp_x_wage,0,0.0267754075274284,0.0343590520792057
agentic,1,exp_x_wage,1,-0.0219283194453636,0.0477890594208598
agentic,1,exp_x_wage,2,-0.0102080468801334,0.057487160619088
agentic,1,exp_x_wage,3,0.141123553478415,0.0559330266002555
agentic,1,exp_x_wage,4,0.0477903469570629,0.0364595449085828
agentic,1,exp_x_wage,5,-0.00927661308281137,0.0345038647764279
agentic,1,exp_x_wage,6,-0.0928020611883119,0.0460094495155335
agentic,1,exp_x_wage,7,0.0202929481872688,0.0370502980427356
agentic,1,exp_x_wage,8,-0.0282011533295456,0.0538916854782835
agentic,1,exp_x_wage,9,-0.0167106086550515,0.035969466557498
agentic,1,wage,-22,-0.00504193084223403,0.0601933996277306
agentic,1,wage,-21,0.208246352105747,0.0641119438053617
agentic,1,wage,-20,0.0979532730289592,0.0451040458534011
agentic,1,wage,-19,0.0715670486568291,0.0544657839356457
agentic,1,wage,-18,-0.0110622440684244,0.0490028382024285
agentic,1,wage,-17,-0.103460584083338,0.043235931239808
agentic,1,wage,-16,0.170395326832566,0.0449890121856578
agentic,1,wage,-15,-0.0207052091140688,0.0517270601703406
agentic,1,wage,-14,0.0508744822579348,0.0478966262302201
agentic,1,wage,-13,0.0460571357093853,0.0313752015525328
agentic,1,wage,-12,-0.0581560026238716,0.0426330662659391
agentic,1,wage,-11,-0.0789938931347442,0.0540658590359012
