timing,age_group,term,k,coef,se
agentic,1,exp,-22,0.0352726387928393,0.0515692456710501
agentic,1,exp,-21,0.207654901854243,0.0459799352689251
agentic,1,exp,-20,0.171744480015356,0.0410183609624156
agentic,1,exp,-19,0.0374596936257321,0.032012775945163
agentic,1,exp,-18,0.0871511100214078,0.0380925396829906
agentic,1,exp,-17,0.0420369177962271,0.0331558017761312
agentic,1,exp,-16,0.140680930069285,0.0323567658379193
agentic,1,exp,-15,0.060523438696314,0.0301023529353789
agentic,1,exp,-14,0.0687553673598519,0.0302948841245802
agentic,1,exp,-13,0.0319031577587348,0.0217377889918167
agentic,1,exp,-12,-0.0148867023576585,0.0309447624692293
agentic,1,exp,-11,0.0196231191366725,0.040129421779935
agentic,1,exp,-10,0.0642533351047468,0.0523259997352931
agentic,1,exp,-9,0.147193643597189,0.0428027983595513
agentic,1,exp,-8,0.178141948213256,0.0413322264198357
agentic,1,exp,-7,0.0593809400903197,0.0279405135898583
agentic,1,exp,-6,0.0554896563827936,0.0302395781373655
agentic,1,exp,-5,0.0312113137534411,0.0402923209595084
agentic,1,exp,-4,0.122667995378624,0.0368308221559366
agentic,1,exp,-3,0.0650093530648973,0.0373155733790866
agentic,1,exp,-2,0.0484687260952618,0.0297599347102266
agentic,1,exp,-1,0,0
agentic,1,exp,0,0.0129811461171107,0.0257396611670718
agentic,1,exp,1,0.023384302968962,0.0400788382321883
agentic,1,exp,2,-0.0440867342857915,0.0503192211518991
agentic,1,exp,3,0.138137215768737,0.0419954486226952
agentic,1,exp,4,0.177460467739915,0.0420107150197123
agentic,1,exp,5,0.0799583737069205,0.0333566636266248
agentic,1,exp,6,0.062526108805199,0.0370873050789019
agentic,1,exp,7,0.0792593823913702,0.0392799215404114
agentic,1,exp,8,0.201571764802068,0.0360654283464954
agentic,1,exp,9,0.11799627636995,0.0297389773836002
agentic,1,exp_only,-22,0.036801468696901,0.0485054164486765
agentic,1,exp_only,-21,0.254106004849042,0.0543840111645237
agentic,1,exp_only,-20,0.194129481312401,0.0432896927755536
agentic,1,exp_only,-19,0.0609676925549624,0.0301533180194746
agentic,1,exp_only,-18,0.0918988769008691,0.0361172854638823
agentic,1,exp_only,-17,0.0206544324588262,0.0329673516361741
agentic,1,exp_only,-16,0.19289402481613,0.0372840846546316
agentic,1,exp_only,-15,0.0660803111224608,0.0311802876270216
agentic,1,exp_only,-14,0.0846738033204263,0.0311236231898871
agentic,1,exp_only,-13,0.0502044973439543,0.0214272437734446
agentic,1,exp_only,-12,-0.0243544762891965,0.0281574815144307
agentic,1,exp_only,-11,0.011798846336087,0.0373564615099382
agentic,1,exp_only,-10,0.0628877125174733,0.0494377626200406
agentic,1,exp_only,-9,0.185886484142268,0.0496159735854826
agentic,1,exp_only,-8,0.215248882554089,0.0423363989186748
agentic,1,exp_only,-7,0.0846957943885287,0.0256742787063933
agentic,1,exp_only,-6,0.0591925876480328,0.0288457122008405
agentic,1,exp_only,-5,0.0113368240303332,0.040265875635621
agentic,1,exp_only,-4,0.181714938790902,0.0389588489465542
agentic,1,exp_only,-3,0.0793535949408724,0.0359033950622608
agentic,1,exp_only,-2,0.0713546934149525,0.0301152987107546
agentic,1,exp_only,-1,0,0
agentic,1,exp_only,0,0.02299957184932,0.0221908899230017
agentic,1,exp_only,1,0.0240191090973695,0.0357258700233775
agentic,1,exp_only,2,-0.0506309418331798,0.0463107766113383
agentic,1,exp_only,3,0.175493193620977,0.049077239670026
agentic,1,exp_only,4,0.211053787908447,0.0417358081491652
agentic,1,exp_only,5,0.0838416321681442,0.0324307864458756
agentic,1,exp_only,6,0.0359680609545285,0.0319848176621583
agentic,1,exp_only,7,0.0561099587132582,0.0390490917079824
agentic,1,exp_only,8,0.25520682768388,0.0388391302468157
agentic,1,exp_only,9,0.126070774661223,0.0305784442788446
agentic,1,exp_x_wage,-22,0.0461166645256165,0.0559202603178627
agentic,1,exp_x_wage,-21,0.193410883159871,0.052671573514192
agentic,1,exp_x_wage,-20,0.10403482402946,0.0432614460166735
agentic,1,exp_x_wage,-19,-0.0284924537846902,0.0408847699578568
agentic,1,exp_x_wage,-18,-0.0830525096876441,0.048375915613122
agentic,1,exp_x_wage,-17,-0.0339950370765576,0.0376370037799696
agentic,1,exp_x_wage,-16,0.0588194215525745,0.0397445243731715
agentic,1,exp_x_wage,-15,-0.0117886274675809,0.0374829705377571
agentic,1,exp_x_wage,-14,0.00827069704786835,0.04018910540465
agentic,1,exp_x_wage,-13,0.0345393438809295,0.0197522310018506
agentic,1,exp_x_wage,-12,-0.0126396317061312,0.0338532764609026
agentic,1,exp_x_wage,-11,-0.0252080328809063,0.0425367787526872
agentic,1,exp_x_wage,-10,0.00045010672722514,0.0586975023554476
agentic,1,exp_x_wage,-9,0.161909322635608,0.0525862219993305
agentic,1,exp_x_wage,-8,0.0341374250197602,0.0356026226020077
agentic,1,exp_x_wage,-7,-0.0620365503232079,0.0403410877185138
agentic,1,exp_x_wage,-6,-0.00486091957752159,0.035138739054802
agentic,1,exp_x_wage,-5,-0.0234131528340135,0.0371218197848056
agentic,1,exp_x_wage,-4,0.016339224104821,0.0426162958841982
agentic,1,exp_x_wage,-3,-0.0303766816726321,0.0304999347088585
agentic,1,exp_x_wage,-2,-0.03088787001678,0.0328315182090404
agentic,1,exp_x_wage,-1,0,0
agentic,1,exp_x_wage,0,0.0255284691414388,0.03134865898697
agentic,1,exp_x_wage,1,-0.000768649092059167,0.0454693672088364
agentic,1,exp_x_wage,2,0.0151983980260889,0.0558250235259652
agentic,1,exp_x_wage,3,0.143971898008417,0.0498593734812906
agentic,1,exp_x_wage,4,0.0348236112288495,0.0340661680586799
agentic,1,exp_x_wage,5,0.00121672071984898,0.0320486030466109
agentic,1,exp_x_wage,6,-0.070369818693516,0.0487321470543136
agentic,1,exp_x_wage,7,0.0270957762974635,0.0313014620428914
agentic,1,exp_x_wage,8,-0.00283136075300315,0.0547492514025906
agentic,1,exp_x_wage,9,0.00516556321655868,0.0368097805767364
agentic,1,wage,-22,0.0184577986707485,0.0639920973128669
agentic,1,wage,-21,0.220055303305989,0.057667919349709
agentic,1,wage,-20,0.109593258543048,0.0386065762427388
agentic,1,wage,-19,0.0756660049408011,0.0409184699886263
agentic,1,wage,-18,-0.00651819644947784,0.0414894820440769
agentic,1,wage,-17,-0.0864911164344135,0.0375894498920124
agentic,1,wage,-16,0.203214446843538,0.0418783527624119
agentic,1,wage,-15,0.0166228905243808,0.0449885955760485
agentic,1,wage,-14,0.059258415129587,0.0404655812768392
agentic,1,wage,-13,0.0751357485705254,0.0229788352719613
agentic,1,wage,-12,-0.0377111315537875,0.0354020189610371
agentic,1,wage,-11,-0.0352493774090535,0.0531866909728973
agentic,1,wage,-10,-0.0049050341629478,0.0601732291152731
agentic,1,wage,-9,0.184266914502796,0.0567159726054832
agentic,1,wage,-8,0.142225302910459,0.0349549517750318
agentic,1,wage,-7,0.0727075659029515,0.0368907633130474
agentic,1,wage,-6,0.0117668492064153,0.034476895711069
agentic,1,wage,-5,-0.0784649404445029,0.0381422542042607
agentic,1,wage,-4,0.217025236050334,0.042904670377205
agentic,1,wage,-3,0.042367920719725,0.0361324805044884
agentic,1,wage,-2,0.0727608147771418,0.0358484398595171
agentic,1,wage,-1,0,0
agentic,1,wage,0,0.0429610212134462,0.0367666455730825
agentic,1,wage,1,0.00205505426633287,0.05414817691532
agentic,1,wage,2,-0.0189920504154475,0.0622364690172196
agentic,1,wage,3,0.174377910380775,0.0526662844502565
agentic,1,wage,4,0.129823264215062,0.0351773260751766
agentic,1,wage,5,0.0141082345689356,0.032340841064237
agentic,1,wage,6,-0.115701028598411,0.0492618328272286
agentic,1,wage,7,-0.0751800106847151,0.030381694219254
agentic,1,wage,8,0.191463369167752,0.0588828919316516
agentic,1,wage,9,0.030197062762855,0.0464241048733794
agentic,2,exp,-22,-0.0743207167206984,0.0449952605004276
agentic,2,exp,-21,0.15136906756048,0.0357014536746701
agentic,2,exp,-20,0.109900189861544,0.0313777322407104
agentic,2,exp,-19,0.014497914863814,0.0349922644852743
agentic,2,exp,-18,0.0554117981748277,0.0406843001169816
agentic,2,exp,-17,0.0508112181550172,0.0351055974429972
agentic,2,exp,-16,0.153204394782228,0.034734769280536
agentic,2,exp,-15,0.0657529373747265,0.0322501799802423
agentic,2,exp,-14,0.0183503625128452,0.0280379998395457
agentic,2,exp,-13,0.0451382882287407,0.0292876708432478
agentic,2,exp,-12,0.0285614778226879,0.0326512874190445
agentic,2,exp,-11,-0.0383885353614832,0.0362417838774572
agentic,2,exp,-10,-0.0619395936037946,0.03797754075112
agentic,2,exp,-9,0.118409223906683,0.0336863150274895
agentic,2,exp,-8,0.084879417276313,0.0306666570339556
agentic,2,exp,-7,0.0378355185916832,0.0306467528261529
agentic,2,exp,-6,0.0387937939254576,0.0340162836734545
agentic,2,exp,-5,0.0401889502377179,0.0385765630584351
agentic,2,exp,-4,0.163784160712804,0.038968972810813
agentic,2,exp,-3,0.0973567367582749,0.0424308002346944
agentic,2,exp,-2,0.0450482052532861,0.0297758303498314
agentic,2,exp,-1,0,0
agentic,2,exp,0,0.0417306163912309,0.0306789411414576
agentic,2,exp,1,-0.0330715771931009,0.0376271065025941
agentic,2,exp,2,-0.163978478615096,0.0383690373703627
agentic,2,exp,3,0.134349562459928,0.043538763952739
agentic,2,exp,4,0.0879189498810281,0.0322173516282082
agentic,2,exp,5,0.128104932071597,0.0302554243256856
agentic,2,exp,6,0.0103936198137261,0.0435499053104832
agentic,2,exp,7,0.114186417353764,0.0409914658023534
agentic,2,exp,8,0.265530189401829,0.0446622451873271
agentic,2,exp,9,0.116387756791859,0.0328038551512579
agentic,2,exp_only,-22,-0.117191385594962,0.0396902730795686
agentic,2,exp_only,-21,0.146346518274119,0.032154385307573
agentic,2,exp_only,-20,0.109306349782559,0.0291938261970234
agentic,2,exp_only,-19,0.0397596748257248,0.0309512430985162
agentic,2,exp_only,-18,0.0433843207557653,0.0358622914125919
agentic,2,exp_only,-17,-0.00909685368182948,0.0354719431409317
agentic,2,exp_only,-16,0.227807524069296,0.033590130105154
agentic,2,exp_only,-15,0.0622166143819754,0.0283520292424386
agentic,2,exp_only,-14,0.0519026914055732,0.0276397357540933
agentic,2,exp_only,-13,0.0649738546691539,0.0274116572774251
agentic,2,exp_only,-12,0.0151591597862966,0.0266886535506152
agentic,2,exp_only,-11,-0.0947275427374175,0.0307631780339596
agentic,2,exp_only,-10,-0.129106432004372,0.0352357211143348
agentic,2,exp_only,-9,0.117787657209933,0.029545088835062
agentic,2,exp_only,-8,0.0843352006275098,0.0260637834547473
agentic,2,exp_only,-7,0.0803935877758683,0.0290381163981446
agentic,2,exp_only,-6,0.0226143008097351,0.0325235984442272
agentic,2,exp_only,-5,0.00643736743258934,0.038947431292058
agentic,2,exp_only,-4,0.262874396649706,0.0374526566250867
agentic,2,exp_only,-3,0.103768341932896,0.0394893034372148
agentic,2,exp_only,-2,0.071355421682413,0.0273891698525722
agentic,2,exp_only,-1,0,0
agentic,2,exp_only,0,0.0381094584825311,0.0285510101724883
