timing,age_group,term,k,coef,se
agentic,1,exp,-22,-0.00194696091516432,0.0115382786642794
agentic,1,exp,-21,-0.0129999534469546,0.0123323516865943
agentic,1,exp,-20,-0.00432928922687557,0.00996942661760171
agentic,1,exp,-19,-0.000136279585201113,0.0089885570082738
agentic,1,exp,-18,0.00227343026057463,0.00848839257777072
agentic,1,exp,-17,0.00304309665386389,0.00800520815066613
agentic,1,exp,-16,0.0197788160324962,0.00643938329551795
agentic,1,exp,-15,0.0133661828254145,0.00639824332750637
agentic,1,exp,-14,0.0127145355567187,0.00571813503322871
agentic,1,exp,-13,0.00790468892769899,0.0048246684687744
agentic,1,exp,-12,-0.00301811742654256,0.00774634293985059
agentic,1,exp,-11,-0.00799237457011516,0.00637233594717819
agentic,1,exp,-10,-0.0104350714829863,0.00882521178586307
agentic,1,exp,-9,-0.0182414321652527,0.00930314005342508
agentic,1,exp,-8,-0.0137506732944251,0.00661267554544232
agentic,1,exp,-7,-0.00859608201985809,0.00502263774723229
agentic,1,exp,-6,-0.00453093410492759,0.00432294487270122
agentic,1,exp,-5,-0.000442774995219203,0.00444576325981638
agentic,1,exp,-4,0.0131923154495095,0.00400496733805247
agentic,1,exp,-3,0.0084385564763876,0.00225483058762885
agentic,1,exp,-2,0.0038529847553155,0.00172914658218515
agentic,1,exp,-1,0,0
agentic,1,exp,0,-0.00759883732432906,0.00458020217643849
agentic,1,exp,1,-0.0197310345499487,0.00631318170913617
agentic,1,exp,2,-0.0195012659420593,0.00920496310277172
agentic,1,exp,3,-0.0296507858072747,0.0103922536343801
agentic,1,exp,4,-0.019799196350488,0.00662230070464472
agentic,1,exp,5,-0.0201237121366009,0.00522409174296086
agentic,1,exp,6,-0.0190618683092216,0.00538139240037512
agentic,1,exp,7,-0.0214373091684651,0.0066401293305677
agentic,1,exp,8,-0.00269595541973022,0.00742556886772902
agentic,1,exp,9,-0.00866092511490302,0.00508585100546989
agentic,1,exp_only,-22,-0.00867404537247675,0.0107591146361874
agentic,1,exp_only,-21,-0.0100329503350537,0.010805105669394
agentic,1,exp_only,-20,-0.000981692641617789,0.00941406721993434
agentic,1,exp_only,-19,0.00419261953779519,0.00863335926172872
agentic,1,exp_only,-18,0.00574088230281282,0.00795648458631098
agentic,1,exp_only,-17,0.00385071620378676,0.00760995662113177
agentic,1,exp_only,-16,0.0241152609092533,0.00563152135049224
agentic,1,exp_only,-15,0.0178831893959574,0.00619301051738018
agentic,1,exp_only,-14,0.0152587317233021,0.00546960136658125
agentic,1,exp_only,-13,0.00793924795112127,0.0045021455546694
agentic,1,exp_only,-12,-0.0023107446333664,0.00596205383528277
agentic,1,exp_only,-11,-0.0153215274628765,0.00617193866374013
agentic,1,exp_only,-10,-0.0146316505624275,0.00829621521080451
agentic,1,exp_only,-9,-0.0141692370384716,0.00780021543061202
agentic,1,exp_only,-8,-0.00984009260442553,0.00659024865673623
agentic,1,exp_only,-7,-0.00275650217996456,0.00489663510653703
agentic,1,exp_only,-6,0.000723373247724152,0.00421696510310923
agentic,1,exp_only,-5,0.00151770102115251,0.00434949126805268
agentic,1,exp_only,-4,0.0182899989363083,0.00315731777645554
agentic,1,exp_only,-3,0.0125968778093714,0.0026511424529914
agentic,1,exp_only,-2,0.00635363287200371,0.00174938700552032
agentic,1,exp_only,-1,0,0
agentic,1,exp_only,0,-0.00878499696704922,0.00471692064489736
agentic,1,exp_only,1,-0.0261856004585914,0.00669975646607851
agentic,1,exp_only,2,-0.023972336283421,0.00881820097454919
agentic,1,exp_only,3,-0.0231695360458698,0.0084980141161274
agentic,1,exp_only,4,-0.0157539735654359,0.00615256751880595
agentic,1,exp_only,5,-0.0155967720220308,0.00528243937563185
agentic,1,exp_only,6,-0.0157972801625804,0.00537081697325307
agentic,1,exp_only,7,-0.0207347717472622,0.00614902913098121
agentic,1,exp_only,8,0.000121264650848929,0.00638099588011543
agentic,1,exp_only,9,-0.00613855973055727,0.00499251849884363
agentic,1,exp_x_wage,-22,0.0141004154243827,0.0152040210051549
agentic,1,exp_x_wage,-21,0.0321441956759569,0.0170426287328062
agentic,1,exp_x_wage,-20,0.0316808025557018,0.0130754604073521
agentic,1,exp_x_wage,-19,0.0218078687420809,0.011487128946953
agentic,1,exp_x_wage,-18,0.0170639276329217,0.0109413678261132
agentic,1,exp_x_wage,-17,0.0172263828611054,0.010790640825735
agentic,1,exp_x_wage,-16,0.0122293726973132,0.00952075840411233
agentic,1,exp_x_wage,-15,0.00657794972944797,0.0079769386940557
agentic,1,exp_x_wage,-14,0.00390519953942635,0.00749326353565758
agentic,1,exp_x_wage,-13,0.00739775509060078,0.00585131526773718
agentic,1,exp_x_wage,-12,0.0222470258945015,0.0149480515070485
agentic,1,exp_x_wage,-11,0.00467207167873181,0.00725829991061718
agentic,1,exp_x_wage,-10,0.00991603377152494,0.011056264444697
agentic,1,exp_x_wage,-9,0.0176882867810215,0.0124299528272351
agentic,1,exp_x_wage,-8,0.00992366429632641,0.0100220563166252
agentic,1,exp_x_wage,-7,0.0101730720355454,0.0065383848419114
agentic,1,exp_x_wage,-6,0.00494882666062784,0.00584411444899981
agentic,1,exp_x_wage,-5,0.00354300593839661,0.00573676126815288
agentic,1,exp_x_wage,-4,0.000545000343615043,0.00612990760082529
agentic,1,exp_x_wage,-3,-0.00405566630833192,0.0028661397163976
agentic,1,exp_x_wage,-2,-0.000985158862721016,0.00226194382832054
agentic,1,exp_x_wage,-1,0,0
agentic,1,exp_x_wage,0,-0.00158495346275781,0.00381729535263448
agentic,1,exp_x_wage,1,-0.0017428611796579,0.00699065563424315
agentic,1,exp_x_wage,2,0.00046138103392133,0.0114446844089633
agentic,1,exp_x_wage,3,0.0088618967678493,0.0149270546447032
agentic,1,exp_x_wage,4,0.00756032407638055,0.00802262750381931
agentic,1,exp_x_wage,5,0.00307346757621988,0.00512390636763046
agentic,1,exp_x_wage,6,9.35016431146927e-05,0.00489821311124481
agentic,1,exp_x_wage,7,0.010586749119328,0.0104767690824299
agentic,1,exp_x_wage,8,-0.00566923432617506,0.0103146284817731
agentic,1,exp_x_wage,9,-0.00510547458184983,0.00613789233951492
agentic,1,wage,-22,-0.0313299705587466,0.0190383647316235
agentic,1,wage,-21,0.00825633583262879,0.0243192271672605
agentic,1,wage,-20,0.00997183534738787,0.015619419901444
agentic,1,wage,-19,0.0156730370483009,0.0123053899431755
agentic,1,wage,-18,0.0126054657749592,0.0103588453728882
agentic,1,wage,-17,0.00101315021384503,0.00973992906532764
agentic,1,wage,-16,0.0170894579356519,0.0110011558459015
agentic,1,wage,-15,0.0187009458345764,0.00716819082601824
agentic,1,wage,-14,0.0105097699625262,0.00670288808874317
agentic,1,wage,-13,-0.000922623562928172,0.00564658619337523
agentic,1,wage,-12,-0.000154176163527954,0.00992803521113219
agentic,1,wage,-11,-0.0325532692589822,0.00815599528826707
agentic,1,wage,-10,-0.0197056346715948,0.0144817917915234
agentic,1,wage,-9,0.0151547108452426,0.0182924422198896
agentic,1,wage,-8,0.0155808001335361,0.0145825865147683
agentic,1,wage,-7,0.0239432715529625,0.00820527136994584
agentic,1,wage,-6,0.0221479538917765,0.00593350595700841
agentic,1,wage,-5,0.00802312640874957,0.00620413667573265
agentic,1,wage,-4,0.0221142899734332,0.00857783162545574
agentic,1,wage,-3,0.0186956629835679,0.00257192202994085
agentic,1,wage,-2,0.0110254464620215,0.00183928272331033
agentic,1,wage,-1,0,0
agentic,1,wage,0,-0.00491445946478641,0.00425178829006368
agentic,1,wage,1,-0.0277930062368576,0.00818214179970506
agentic,1,wage,2,-0.0195187577739983,0.0137711400346905
agentic,1,wage,3,0.026914727171726,0.0242492677891689
agentic,1,wage,4,0.0165126809426777,0.0131443749719137
agentic,1,wage,5,0.019260491356335,0.00861472959898067
agentic,1,wage,6,0.0142037198499784,0.00672763076408891
agentic,1,wage,7,0.00152483167318596,0.00913363578715055
agentic,1,wage,8,0.0131002266975886,0.011077040979426
