outcome,timing,age_group,term,k,coef,se,n_obs
count,agentic,1,exp,-22,-0.0012905768724369,0.0117995261267911,12320
count,agentic,1,exp,-21,-0.0117622929456331,0.0121505279467222,12320
count,agentic,1,exp,-20,-0.00339207376752538,0.0100412608731176,12320
count,agentic,1,exp,-19,0.000672986808221319,0.00900947889067507,12320
count,agentic,1,exp,-18,0.00325805010588369,0.00847954026512818,12320
count,agentic,1,exp,-17,0.00303279315619437,0.00814917898835596,12320
count,agentic,1,exp,-16,0.0196921510172272,0.00620467504280246,12320
count,agentic,1,exp,-15,0.0134028483619578,0.00622700866087679,12320
count,agentic,1,exp,-14,0.0126106027584696,0.00559233937864739,12320
count,agentic,1,exp,-13,0.00819220638835744,0.00478459968564984,12320
count,agentic,1,exp,-12,-0.000541496862247266,0.00647057399449797,12320
count,agentic,1,exp,-11,-0.00808208675955746,0.00617986685827289,12320
count,agentic,1,exp,-10,-0.0101785086634924,0.00890292001997125,12320
count,agentic,1,exp,-9,-0.017192955845716,0.00916492786751053,12320
count,agentic,1,exp,-8,-0.0130354062549148,0.00655704931960816,12320
count,agentic,1,exp,-7,-0.00790670006139687,0.00496060349981624,12320
count,agentic,1,exp,-6,-0.00380219395188498,0.00427246342740071,12320
count,agentic,1,exp,-5,-0.000452779785470646,0.00459968073783993,12320
count,agentic,1,exp,-4,0.0124413806374542,0.0038095952066368,12320
count,agentic,1,exp,-3,0.00801183392329599,0.00219020108308021,12320
count,agentic,1,exp,-2,0.00371571141904991,0.00166281950445255,12320
count,agentic,1,exp,-1,0,0,12320
count,agentic,1,exp,0,-0.00711595204195648,0.00456868164520807,12320
count,agentic,1,exp,1,-0.0193621158161901,0.00617317659021492,12320
count,agentic,1,exp,2,-0.0194589649503435,0.00928070994423536,12320
count,agentic,1,exp,3,-0.0275637391011899,0.00992089648706918,12320
count,agentic,1,exp,4,-0.0192428989975997,0.0068514136794452,12320
count,agentic,1,exp,5,-0.0197645186975688,0.00551309359642893,12320
count,agentic,1,exp,6,-0.0188081332337046,0.0056402667948652,12320
count,agentic,1,exp,7,-0.0210221890918328,0.00658108467726657,12320
count,agentic,1,exp,8,-0.0037187944362142,0.00714817271364453,12320
count,agentic,1,exp,9,-0.00912063815579841,0.00513999601658414,12320
count,agentic,1,exp_only,-22,-0.00874866881575203,0.0112083791647441,12320
count,agentic,1,exp_only,-21,-0.0107982007560303,0.0110968138200712,12320
count,agentic,1,exp_only,-20,-0.000761302873279999,0.00965712153685656,12320
count,agentic,1,exp_only,-19,0.00454696459142205,0.00875929902848798,12320
count,agentic,1,exp_only,-18,0.00626941841738462,0.00806221037231744,12320
count,agentic,1,exp_only,-17,0.00355519178926735,0.00785715881713596,12320
count,agentic,1,exp_only,-16,0.0233841214114417,0.00551079858395998,12320
count,agentic,1,exp_only,-15,0.0174505177356266,0.00607717067789138,12320
count,agentic,1,exp_only,-14,0.014844235901239,0.0053808985114928,12320
count,agentic,1,exp_only,-13,0.00810086401535927,0.00448561241085884,12320
count,agentic,1,exp_only,-12,-0.000920765534934261,0.00545904572343199,12320
count,agentic,1,exp_only,-11,-0.0151963619120389,0.00602176066743973,12320
count,agentic,1,exp_only,-10,-0.0149298865859068,0.00851726759756616,12320
count,agentic,1,exp_only,-9,-0.0144727530271299,0.00792046342301464,12320
count,agentic,1,exp_only,-8,-0.00935109045881794,0.00647559016923195,12320
count,agentic,1,exp_only,-7,-0.00236161175133673,0.00487426916298627,12320
count,agentic,1,exp_only,-6,0.00124831951428906,0.00418102097354273,12320
count,agentic,1,exp_only,-5,0.00144479591680699,0.00454076459046642,12320
