outcome,timing,age_group,term,k,coef,se,n_obs
count,agentic,1,exp,-22,0.00867372303939457,0.00558551336564775,11954
count,agentic,1,exp,-21,0.00541736149111093,0.00548422421958142,11954
count,agentic,1,exp,-20,0.00977100111249637,0.00600406577300328,11954
count,agentic,1,exp,-19,0.00847580935553993,0.00522622300192535,11954
count,agentic,1,exp,-18,0.00700430605126298,0.00535942802207377,11954
count,agentic,1,exp,-17,0.00346062544834405,0.00501669344180849,11954
count,agentic,1,exp,-16,0.00733336236740389,0.00484817206028894,11954
count,agentic,1,exp,-15,0.00534757754671199,0.00497628198790391,11954
count,agentic,1,exp,-14,0.00897723579617957,0.00484670480958301,11954
count,agentic,1,exp,-13,0.00828506440383915,0.00486905045092621,11954
count,agentic,1,exp,-12,-0.000217052389557146,0.000257193786214915,11954
count,agentic,1,exp,-11,3.80824503654326e-05,0.000114892053700305,11954
count,agentic,1,exp,-10,-2.33285480655169e-05,0.000152893050563961,11954
count,agentic,1,exp,-9,-0.00022287390984514,0.000165497588682539,11954
count,agentic,1,exp,-8,8.6419267909985e-05,0.000222774203823136,11954
count,agentic,1,exp,-7,6.16635059241053e-05,0.000143713729709305,11954
count,agentic,1,exp,-6,8.9831189015624e-05,0.00012891843856907,11954
count,agentic,1,exp,-5,-6.53418686178977e-06,8.92378763578112e-05,11954
count,agentic,1,exp,-4,-2.68815619831004e-05,9.48324159690561e-05,11954
count,agentic,1,exp,-3,1.32126918465644e-05,6.07525904073888e-05,11954
count,agentic,1,exp,-2,2.24395506860982e-06,4.76199734735639e-05,11954
count,agentic,1,exp,-1,0,0,11954
count,agentic,1,exp,0,-0.00654237275188327,0.00751179934087692,11954
count,agentic,1,exp,1,-0.0114150217882014,0.00661420011173654,11954
count,agentic,1,exp,2,-0.00906838167207362,0.00647240866741198,11954
count,agentic,1,exp,3,-0.0105541073758329,0.00643885901597855,11954
count,agentic,1,exp,4,-0.00597942823213722,0.00673858632194481,11954
count,agentic,1,exp,5,-0.0115825073045041,0.00622038197230686,11954
count,agentic,1,exp,6,-0.0148432348267436,0.00626832948709346,11954
count,agentic,1,exp,7,-0.0204732450082189,0.00686359014209052,11954
count,agentic,1,exp,8,-0.0167973434661778,0.00651932783287897,11954
count,agentic,1,exp,9,-0.0175915418419214,0.0061412713911247,11954
count,agentic,1,exp_only,-22,0.00607502568066323,0.00528515297013517,11954
count,agentic,1,exp_only,-21,0.00366179102699093,0.00536306552624575,11954
count,agentic,1,exp_only,-20,0.00866083314400579,0.00589388390396527,11954
count,agentic,1,exp_only,-19,0.00681685352148066,0.00509135324856802,11954
count,agentic,1,exp_only,-18,0.00501319391716074,0.00515947011676468,11954
count,agentic,1,exp_only,-17,0.00206300553206849,0.0049425504672857,11954
count,agentic,1,exp_only,-16,0.00636801575030252,0.00466086004100604,11954
count,agentic,1,exp_only,-15,0.00545331060043384,0.00479892621217796,11954
count,agentic,1,exp_only,-14,0.00885980585825848,0.00454173239255712,11954
count,agentic,1,exp_only,-13,0.00822829187886291,0.00457795572184902,11954
