timing,age_group,variant,term,coef,se,sd_int,n_occ
chatgpt,1,prod,exp,0.009006504327675,0.00796978694699627,0.851762777998122,388
chatgpt,1,prod,wage,0.00681630008244809,0.0100522272641175,0.851762777998122,388
chatgpt,1,prod,int,-0.0104486796775904,0.0105555395039107,0.851762777998122,388
chatgpt,1,rect0,exp,0.0148448153952229,0.0101033420918223,0.443331444007788,388
chatgpt,1,rect0,wage,0.0142437315972755,0.0104676005568595,0.443331444007788,388
chatgpt,1,rect0,int,-0.0330520121584708,0.0215446322691293,0.443331444007788,388
chatgpt,1,rect1,exp,0.0084652088385941,0.00751580577098516,0.0926336789578055,388
chatgpt,1,rect1,wage,0.0090201557108518,0.00922298405566465,0.0926336789578055,388
chatgpt,1,rect1,int,-0.194547668550086,0.0711077775641598,0.0926336789578055,388
chatgpt,1,corner75,exp,0.0102083239657479,0.00798685500080906,0.259094933582283,388
chatgpt,1,corner75,wage,0.0105023472234065,0.00954580100797209,0.259094933582283,388
chatgpt,1,corner75,int,-0.0214202280490789,0.0200614285349481,0.259094933582283,388
chatgpt,1,corner80,exp,0.0106475190296184,0.00795147573800974,0.199094891128074,388
chatgpt,1,corner80,wage,0.0106978448671966,0.00949305618777488,0.199094891128074,388
chatgpt,1,corner80,int,-0.0318033137284459,0.0199668456176999,0.199094891128074,388
chatgpt,2,prod,exp,0.0225033014204053,0.00722187838395731,0.841477419555696,386
chatgpt,2,prod,wage,0.0141807144120052,0.00557041807858484,0.841477419555696,386
chatgpt,2,prod,int,-0.00604338997821582,0.00712891085988676,0.841477419555696,386
chatgpt,2,rect0,exp,0.0222205444374159,0.0082144040311096,0.550371260575726,386
chatgpt,2,rect0,wage,0.0140625729118089,0.00563021904049476,0.550371260575726,386
chatgpt,2,rect0,int,-0.000450655712172399,0.00887989487271356,0.550371260575726,386
chatgpt,2,rect1,exp,0.0212196426099003,0.00738323695267823,0.0311145939450533,386
chatgpt,2,rect1,wage,0.0137223460725893,0.00548675229883419,0.0311145939450533,386
chatgpt,2,rect1,int,0.069686031994185,0.0575801129310966,0.0311145939450533,386
chatgpt,2,corner75,exp,0.0213413008135866,0.00731596992971526,0.305171539071392,386
chatgpt,2,corner75,wage,0.013018287200018,0.00535767079004719,0.305171539071392,386
chatgpt,2,corner75,int,0.00890897813270986,0.0136898236468008,0.305171539071392,386
chatgpt,2,corner80,exp,0.0215100659464957,0.00738100015954289,0.246433410913375,386
chatgpt,2,corner80,wage,0.0135339607965264,0.00554165314921299,0.246433410913375,386
chatgpt,2,corner80,int,0.00746059085752493,0.010589344809926,0.246433410913375,386
