timing,age_group,variant,nobs,n_clusters,pr2
chatgpt,1,prod,20176,388,0.993479146339376
chatgpt,1,rect0,20176,388,0.993442104974918
chatgpt,1,rect1,20176,388,0.993385836956057
chatgpt,1,corner75,20176,388,0.993412021698107
chatgpt,1,corner80,20176,388,0.993415671008772
chatgpt,2,prod,20072,386,0.9939233590458
chatgpt,2,rect0,20072,386,0.993934574002415
chatgpt,2,rect1,20072,386,0.993918749107672
chatgpt,2,corner75,20072,386,0.993919259009051
chatgpt,2,corner80,20072,386,0.993924807132969
chatgpt,3,prod,20124,387,0.993995909518948
chatgpt,3,rect0,20124,387,0.993984204856203
chatgpt,3,rect1,20124,387,0.993962926873473
chatgpt,3,corner75,20124,387,0.99395795807108
chatgpt,3,corner80,20124,387,0.993966089607161
chatgpt,4,prod,20176,388,0.994175284135355
chatgpt,4,rect0,20176,388,0.994175425655872
chatgpt,4,rect1,20176,388,0.994151263831096
chatgpt,4,corner75,20176,388,0.994141496988202
chatgpt,4,corner80,20176,388,0.994161063257525
agentic,1,prod,12320,385,0.995176740423526
agentic,1,rect0,12320,385,0.995191430037597
agentic,1,rect1,12320,385,0.995164674208234
agentic,1,corner75,12320,385,0.995189382551194
agentic,1,corner80,12320,385,0.995191192021826
agentic,2,prod,12320,385,0.99499002780667
agentic,2,rect0,12320,385,0.994987066666003
agentic,2,rect1,12320,385,0.994984499289325
agentic,2,corner75,12320,385,0.994983849628008
agentic,2,corner80,12320,385,0.994985092366734
agentic,3,prod,12320,385,0.994878243874588
agentic,3,rect0,12320,385,0.994874883514821
agentic,3,rect1,12320,385,0.994874916996769
agentic,3,corner75,12320,385,0.994872861889626
agentic,3,corner80,12320,385,0.994873458054936
agentic,4,prod,12352,386,0.995011470250794
agentic,4,rect0,12352,386,0.995011210548071
agentic,4,rect1,12352,386,0.995005166048492
agentic,4,corner75,12352,386,0.995000714514606
agentic,4,corner80,12352,386,0.995006981341369
