timing,age_group,variant,term,coef,se,sd_int,n_occ
chatgpt,1,prod,exp,-0.0229835000903972,0.027633810294748,0.887622709441806,373
chatgpt,1,prod,wage,-0.00613536901296265,0.0265955245071371,0.887622709441806,373
chatgpt,1,prod,int,0.000842693342418821,0.0381128871660318,0.887622709441806,373
chatgpt,1,rect0,exp,-0.00310977252774558,0.0289964466921085,0.477727205284217,373
chatgpt,1,rect0,wage,0.0099094891683254,0.0283577245632991,0.477727205284217,373
chatgpt,1,rect0,int,-0.107638666773946,0.0875971189083946,0.477727205284217,373
chatgpt,1,rect1,exp,-0.0232344699297592,0.0275674674971397,0.105659256797932,373
chatgpt,1,rect1,wage,-0.0069320442940174,0.0251893203264613,0.105659256797932,373
chatgpt,1,rect1,int,2.44363511459101,1.93933725648761,0.105659256797932,373
chatgpt,1,corner75,exp,-0.00918245553263464,0.0260609711519552,0.263853389379572,373
chatgpt,1,corner75,wage,0.00555168540458784,0.0255030840146462,0.263853389379572,373
chatgpt,1,corner75,int,-0.177224397391616,0.0946532225819562,0.263853389379572,373
chatgpt,1,corner80,exp,-0.0166803317150004,0.0286532930435277,0.196725771429891,373
chatgpt,1,corner80,wage,0.000378039931004021,0.0256960018507763,0.196725771429891,373
chatgpt,1,corner80,int,-0.165770241143394,0.076761106896964,0.196725771429891,373
chatgpt,2,prod,exp,0.0192613743007203,0.0318930240031699,0.848566188819498,374
chatgpt,2,prod,wage,-0.0326802180524807,0.0284201117703652,0.848566188819498,374
chatgpt,2,prod,int,-0.0931160791052259,0.0561625918198951,0.848566188819498,374
chatgpt,2,rect0,exp,0.0653090667112284,0.0393414265416366,0.548436453440375,374
chatgpt,2,rect0,wage,0.0215079340011818,0.0438120276978637,0.548436453440375,374
chatgpt,2,rect0,int,-0.207248606834591,0.0834383297364954,0.548436453440375,374
chatgpt,2,rect1,exp,0.0308716795257002,0.0288926662471059,0.0321420794399327,374
chatgpt,2,rect1,wage,-0.0204930469997083,0.030865021066982,0.0321420794399327,374
chatgpt,2,rect1,int,-1.45310043814914,0.699463638557652,0.0321420794399327,374
chatgpt,2,corner75,exp,0.0238056435782976,0.030270578305455,0.302531931415322,374
chatgpt,2,corner75,wage,-0.0141100722837537,0.0341366658419658,0.302531931415322,374
chatgpt,2,corner75,int,-0.127405697545369,0.0902745887824304,0.302531931415322,374
chatgpt,2,corner80,exp,0.0331329302246648,0.0300484550352322,0.240562129319095,374
chatgpt,2,corner80,wage,-0.0120726018852488,0.0323390172762749,0.240562129319095,374
chatgpt,2,corner80,int,-0.260117510673458,0.100867215002735,0.240562129319095,374
chatgpt,3,prod,exp,0.00021744729467305,0.0276332986120221,0.82019435009233,372
chatgpt,3,prod,wage,-0.0178347162096297,0.0311259227587192,0.82019435009233,372
chatgpt,3,prod,int,-0.0727395899555049,0.0601767727009939,0.82019435009233,372
chatgpt,3,rect0,exp,0.0378757632622729,0.0381052069714862,0.563812756800575,372
chatgpt,3,rect0,wage,0.0248289483993227,0.0476613702317681,0.563812756800575,372
chatgpt,3,rect0,int,-0.164352497145971,0.0878801937786646,0.563812756800575,372
