timing,age_group,variant,nobs,n_clusters,pr2
chatgpt,1,prod,19188,369,0.91683395351793
chatgpt,1,rect0,19188,369,0.916842934079971
chatgpt,1,rect1,19188,369,0.916321014608718
chatgpt,1,corner75,19188,369,0.916465954657698
chatgpt,1,corner80,19188,369,0.916341590631395
chatgpt,2,prod,19136,368,0.871186339298636
chatgpt,2,rect0,19136,368,0.871047389736415
chatgpt,2,rect1,19136,368,0.870884704419517
chatgpt,2,corner75,19136,368,0.870934640630001
chatgpt,2,corner80,19136,368,0.870950343234197
chatgpt,3,prod,19084,367,0.848665075550725
chatgpt,3,rect0,19084,367,0.84849192048167
chatgpt,3,rect1,19084,367,0.848338296986084
chatgpt,3,corner75,19084,367,0.848404803960763
chatgpt,3,corner80,19084,367,0.848390676561981
chatgpt,4,prod,18980,365,0.819208393628059
chatgpt,4,rect0,18980,365,0.8190827436674
chatgpt,4,rect1,18980,365,0.819004952806989
chatgpt,4,corner75,18980,365,0.81911291904204
chatgpt,4,corner80,18980,365,0.819047061776322
agentic,1,prod,11744,367,0.915816647004706
agentic,1,rect0,11744,367,0.916015152142788
agentic,1,rect1,11744,367,0.91512194380074
agentic,1,corner75,11744,367,0.915411314619016
agentic,1,corner80,11744,367,0.915264435468329
agentic,2,prod,11712,366,0.867494214610275
agentic,2,rect0,11712,366,0.867377376156844
agentic,2,rect1,11712,366,0.867327411005718
agentic,2,corner75,11712,366,0.867252176279372
agentic,2,corner80,11712,366,0.867320008102606
agentic,3,prod,11648,364,0.847485655617903
agentic,3,rect0,11648,364,0.847123540193528
agentic,3,rect1,11648,364,0.847011749514267
agentic,3,corner75,11648,364,0.847190082085548
agentic,3,corner80,11648,364,0.847052493678256
agentic,4,prod,11552,361,0.817713091136162
agentic,4,rect0,11552,361,0.817523529103615
agentic,4,rect1,11552,361,0.817470884453066
agentic,4,corner75,11552,361,0.817611698655022
agentic,4,corner80,11552,361,0.817415226899708
