timing,age_group,variant,term,k,coef,se,sd_int
agentic,1,corner75,exp,-22,-0.00588294997783375,0.0113818193304938,0.264257925296955
agentic,1,corner75,exp,-21,-0.01618230291313,0.0114614029298112,0.264257925296955
agentic,1,corner75,exp,-20,-0.00919800070596667,0.00968759111761332,0.264257925296955
agentic,1,corner75,exp,-19,-0.00441366423837648,0.00893276338543455,0.264257925296955
agentic,1,corner75,exp,-18,-0.00169425124923101,0.0083598435034088,0.264257925296955
agentic,1,corner75,exp,-17,-0.00134423936196827,0.00808233897694539,0.264257925296955
agentic,1,corner75,exp,-16,0.0169937885350939,0.0063340690752295,0.264257925296955
agentic,1,corner75,exp,-15,0.0105878832656108,0.00644344152757798,0.264257925296955
agentic,1,corner75,exp,-14,0.0102412414412568,0.0057793940921934,0.264257925296955
agentic,1,corner75,exp,-13,0.00559889848256175,0.00489833096884085,0.264257925296955
agentic,1,corner75,exp,-12,-0.00282195450869996,0.0064123316103844,0.264257925296955
agentic,1,corner75,exp,-11,-0.00984987593078948,0.00641354071723741,0.264257925296955
agentic,1,corner75,exp,-10,-0.0129876902558764,0.0089550741683373,0.264257925296955
agentic,1,corner75,exp,-9,-0.0193800921506615,0.00904879464465074,0.264257925296955
agentic,1,corner75,exp,-8,-0.0122629518598613,0.0064712437813025,0.264257925296955
agentic,1,corner75,exp,-7,-0.0103699499032626,0.00506939910298736,0.264257925296955
agentic,1,corner75,exp,-6,-0.00622449640935321,0.00434395484026464,0.264257925296955
agentic,1,corner75,exp,-5,-0.00234306772017845,0.00478751138443521,0.264257925296955
agentic,1,corner75,exp,-4,0.0120975512708019,0.00402288360187149,0.264257925296955
agentic,1,corner75,exp,-3,0.00745734225699601,0.00238230521555038,0.264257925296955
agentic,1,corner75,exp,-2,0.00357787991365317,0.00174932001937934,0.264257925296955
agentic,1,corner75,exp,-1,0,0,0.264257925296955
agentic,1,corner75,exp,0,-0.00557004513738421,0.00562603705889342,0.264257925296955
agentic,1,corner75,exp,1,-0.0172163892669982,0.00706365948782897,0.264257925296955
agentic,1,corner75,exp,2,-0.0171477470336993,0.00975841941655764,0.264257925296955
agentic,1,corner75,exp,3,-0.0242717647261573,0.0104693617557341,0.264257925296955
agentic,1,corner75,exp,4,-0.0160860418298831,0.0075780380589549,0.264257925296955
agentic,1,corner75,exp,5,-0.0168437001552402,0.00637808235503565,0.264257925296955
agentic,1,corner75,exp,6,-0.0154279914891364,0.00653818354993089,0.264257925296955
agentic,1,corner75,exp,7,-0.0173002882868913,0.00711596820328298,0.264257925296955
agentic,1,corner75,exp,8,-0.000126305437500545,0.00821731071357216,0.264257925296955
agentic,1,corner75,exp,9,-0.00588141183100022,0.00596657551031315,0.264257925296955
agentic,1,corner75,int,-22,0.0645061451218681,0.0353409875024784,0.264257925296955
agentic,1,corner75,int,-21,0.0776842645208275,0.0359458305057308,0.264257925296955
agentic,1,corner75,int,-20,0.0893026480184554,0.0275915816925926,0.264257925296955
agentic,1,corner75,int,-19,0.0729378187892841,0.0238566523792578,0.264257925296955
agentic,1,corner75,int,-18,0.0675776020560714,0.021094778860933,0.264257925296955
agentic,1,corner75,int,-17,0.0609907055293346,0.0199699567742724,0.264257925296955
agentic,1,corner75,int,-16,0.0468269123244052,0.0178708713011539,0.264257925296955
agentic,1,corner75,int,-15,0.0400891866218442,0.0159259548305585,0.264257925296955
agentic,1,corner75,int,-14,0.033116131074269,0.0150708798214292,0.264257925296955
agentic,1,corner75,int,-13,0.0364561809712167,0.012840401881526,0.264257925296955
agentic,1,corner75,int,-12,0.0397935460212438,0.0146957871673138,0.264257925296955
agentic,1,corner75,int,-11,0.0240304528402972,0.013942606803648,0.264257925296955
agentic,1,corner75,int,-10,0.0433466354155692,0.0221462221117408,0.264257925296955
agentic,1,corner75,int,-9,0.0410240554757919,0.0231430674979312,0.264257925296955
agentic,1,corner75,int,-8,-0.00117324284975069,0.0354152889950323,0.264257925296955
agentic,1,corner75,int,-7,0.0352888758547965,0.0117611119409579,0.264257925296955
agentic,1,corner75,int,-6,0.0308709516403598,0.00938103719108941,0.264257925296955
agentic,1,corner75,int,-5,0.0237986969831975,0.0101902231758182,0.264257925296955
agentic,1,corner75,int,-4,0.00999219398982324,0.00948286575451243,0.264257925296955
agentic,1,corner75,int,-3,0.00648973811636101,0.00484391950855673,0.264257925296955
agentic,1,corner75,int,-2,0.00244940846837922,0.00382981127678476,0.264257925296955
agentic,1,corner75,int,-1,0,0,0.264257925296955
agentic,1,corner75,int,0,-0.0202496975699777,0.0162074239959261,0.264257925296955
agentic,1,corner75,int,1,-0.028950954135103,0.0195161018763544,0.264257925296955
agentic,1,corner75,int,2,-0.0220158615097445,0.0251773606234197,0.264257925296955
agentic,1,corner75,int,3,-0.0304677564598332,0.0270583705481337,0.264257925296955
agentic,1,corner75,int,4,-0.03085310260328,0.0199111664561735,0.264257925296955
agentic,1,corner75,int,5,-0.032558776893392,0.0176411545282587,0.264257925296955
agentic,1,corner75,int,6,-0.0405537564636721,0.017459678690417,0.264257925296955
agentic,1,corner75,int,7,-0.0367194998576681,0.0184921299073765,0.264257925296955
agentic,1,corner75,int,8,-0.0471877690244758,0.021419734358711,0.264257925296955
agentic,1,corner75,int,9,-0.0441934316984711,0.0175309694046326,0.264257925296955
agentic,1,corner75,wage,-22,-0.03830349472108,0.0183325117791041,0.264257925296955
agentic,1,corner75,wage,-21,-0.00901908869092851,0.0224483493869964,0.264257925296955
agentic,1,corner75,wage,-20,-0.00290963046190248,0.0158362394932458,0.264257925296955
agentic,1,corner75,wage,-19,0.00621281606905831,0.012660275213586,0.264257925296955
agentic,1,corner75,wage,-18,0.00413951082220726,0.0106784720702873,0.264257925296955
agentic,1,corner75,wage,-17,-0.00595814248990469,0.01035355764098,0.264257925296955
agentic,1,corner75,wage,-16,0.00973256259099234,0.010340244253705,0.264257925296955
agentic,1,corner75,wage,-15,0.0131208797103127,0.00752713291450947,0.264257925296955
agentic,1,corner75,wage,-14,0.00630365589820808,0.0072200674353205,0.264257925296955
agentic,1,corner75,wage,-13,-0.00483983888639605,0.00606805063394,0.264257925296955
agentic,1,corner75,wage,-12,-0.00891608718785794,0.00674183054884548,0.264257925296955
agentic,1,corner75,wage,-11,-0.0336758476319547,0.00819770082112669,0.264257925296955
agentic,1,corner75,wage,-10,-0.0245965847322473,0.0143851012110276,0.264257925296955
agentic,1,corner75,wage,-9,0.00481684953505247,0.0172280900073866,0.264257925296955
agentic,1,corner75,wage,-8,0.0133684352493243,0.0137327856189338,0.264257925296955
agentic,1,corner75,wage,-7,0.0192623524076899,0.00830158429356479,0.264257925296955
agentic,1,corner75,wage,-6,0.0188336326602035,0.00601376412883134,0.264257925296955
agentic,1,corner75,wage,-5,0.0059416557066978,0.00648733536917619,0.264257925296955
agentic,1,corner75,wage,-4,0.0200187629611156,0.00797933240194048,0.264257925296955
