timing,age_group,variant,term,k,coef,se,sd_int
agentic,1,corner75,exp,-22,0.0466969169076326,0.05224570934829,0.259796325888445
agentic,1,corner75,exp,-21,0.181606778335233,0.0481369398852176,0.259796325888445
agentic,1,corner75,exp,-20,0.175175969634646,0.060762298900259,0.259796325888445
agentic,1,corner75,exp,-19,0.0225436279521658,0.0368807709257357,0.259796325888445
agentic,1,corner75,exp,-18,0.0879050192170504,0.0444401370209498,0.259796325888445
agentic,1,corner75,exp,-17,0.0372644895452042,0.0386794516083417,0.259796325888445
agentic,1,corner75,exp,-16,0.132283118623779,0.0355198347951881,0.259796325888445
agentic,1,corner75,exp,-15,0.0807954667987609,0.0342103782249743,0.259796325888445
agentic,1,corner75,exp,-14,0.0660148427053852,0.0296215357783592,0.259796325888445
agentic,1,corner75,exp,-13,0.0395028489273234,0.025529086067218,0.259796325888445
agentic,1,corner75,exp,-12,-0.00583692067767114,0.0317909568365773,0.259796325888445
agentic,1,corner75,exp,-11,0.0453282865823861,0.0412573649346754,0.259796325888445
agentic,1,corner75,exp,-10,0.0805821232726856,0.055398807374462,0.259796325888445
agentic,1,corner75,exp,-9,0.117393093191039,0.0442163767147769,0.259796325888445
agentic,1,corner75,exp,-8,0.200655811020166,0.0588756395363169,0.259796325888445
agentic,1,corner75,exp,-7,0.0650759157609479,0.0342442355876683,0.259796325888445
agentic,1,corner75,exp,-6,0.0580132904224096,0.0333164922101815,0.259796325888445
agentic,1,corner75,exp,-5,0.0413729395454165,0.0492555395142635,0.259796325888445
agentic,1,corner75,exp,-4,0.0999450951777293,0.0421678627897142,0.259796325888445
agentic,1,corner75,exp,-3,0.0732956197470971,0.0464656871571789,0.259796325888445
agentic,1,corner75,exp,-2,0.0408579843947423,0.0355307173844757,0.259796325888445
agentic,1,corner75,exp,-1,0,0,0.259796325888445
agentic,1,corner75,exp,0,0.0092075230997727,0.0244500936141375,0.259796325888445
agentic,1,corner75,exp,1,0.0408670638715343,0.0453318598143062,0.259796325888445
agentic,1,corner75,exp,2,0.00108446532110918,0.0551824620305034,0.259796325888445
agentic,1,corner75,exp,3,0.107265564750139,0.0436604549403413,0.259796325888445
agentic,1,corner75,exp,4,0.202563971149959,0.0540816271877034,0.259796325888445
agentic,1,corner75,exp,5,0.0785745705285221,0.0361445082790069,0.259796325888445
agentic,1,corner75,exp,6,0.0896492839580085,0.0454667482752479,0.259796325888445
agentic,1,corner75,exp,7,0.0864435104521953,0.0593750804382156,0.259796325888445
agentic,1,corner75,exp,8,0.185655431161828,0.0439022705914432,0.259796325888445
agentic,1,corner75,exp,9,0.129946395520521,0.0359907279436685,0.259796325888445
agentic,1,corner75,int,-22,0.114625229953197,0.195303254797253,0.259796325888445
agentic,1,corner75,int,-21,0.619322891333551,0.23722736686809,0.259796325888445
agentic,1,corner75,int,-20,0.405350740986749,0.211391815859876,0.259796325888445
agentic,1,corner75,int,-19,0.131007087956859,0.132672327998803,0.259796325888445
agentic,1,corner75,int,-18,0.123262251720725,0.148319675486274,0.259796325888445
agentic,1,corner75,int,-17,-0.118187826462227,0.0920531511857205,0.259796325888445
agentic,1,corner75,int,-16,0.161545532705946,0.113030277906693,0.259796325888445
agentic,1,corner75,int,-15,-0.0527924212943167,0.120514911859645,0.259796325888445
agentic,1,corner75,int,-14,0.160776083433946,0.177189294620104,0.259796325888445
agentic,1,corner75,int,-13,0.0443782001900826,0.101577254992952,0.259796325888445
agentic,1,corner75,int,-12,0.104058926527895,0.131671900699057,0.259796325888445
agentic,1,corner75,int,-11,-0.0265184845929219,0.130414572950097,0.259796325888445
agentic,1,corner75,int,-10,0.176358372972261,0.196115949229862,0.259796325888445
agentic,1,corner75,int,-9,0.486466136229485,0.222173894723282,0.259796325888445
agentic,1,corner75,int,-8,0.0846428159952663,0.168511684116188,0.259796325888445
agentic,1,corner75,int,-7,-0.0172280028623364,0.155541903587982,0.259796325888445
agentic,1,corner75,int,-6,0.00511508457120771,0.117823834952148,0.259796325888445
agentic,1,corner75,int,-5,0.0119553719045289,0.196606263678128,0.259796325888445
agentic,1,corner75,int,-4,0.131792360391073,0.118436732539024,0.259796325888445
agentic,1,corner75,int,-3,0.0557604647781294,0.11945172587464,0.259796325888445
agentic,1,corner75,int,-2,0.2003847517493,0.152515659963177,0.259796325888445
agentic,1,corner75,int,-1,0,0,0.259796325888445
agentic,1,corner75,int,0,0.11710635094813,0.10829232977467,0.259796325888445
agentic,1,corner75,int,1,-0.00527110456159199,0.137830997188327,0.259796325888445
agentic,1,corner75,int,2,-0.0199252422143504,0.207583060949628,0.259796325888445
agentic,1,corner75,int,3,0.466941120682079,0.214356993080559,0.259796325888445
agentic,1,corner75,int,4,0.0371210182466551,0.170748114283594,0.259796325888445
agentic,1,corner75,int,5,-0.0938500402832964,0.124060557221121,0.259796325888445
agentic,1,corner75,int,6,-0.286974428825814,0.124280255508021,0.259796325888445
agentic,1,corner75,int,7,0.0652389854208705,0.15491455049306,0.259796325888445
agentic,1,corner75,int,8,0.137149826919344,0.170805390406244,0.259796325888445
agentic,1,corner75,int,9,-0.00919482110136,0.113644517199677,0.259796325888445
agentic,1,corner75,wage,-22,-0.0228175119697069,0.055740124533103,0.259796325888445
agentic,1,corner75,wage,-21,0.125211223285303,0.0682012520897116,0.259796325888445
agentic,1,corner75,wage,-20,0.0420041872226289,0.0426438511200954,0.259796325888445
agentic,1,corner75,wage,-19,0.0654712217968222,0.0630210245232275,0.259796325888445
agentic,1,corner75,wage,-18,-0.0101214802660048,0.0566027809367906,0.259796325888445
agentic,1,corner75,wage,-17,-0.0946956203846104,0.0512426601089997,0.259796325888445
agentic,1,corner75,wage,-16,0.138087413775798,0.0508825136488645,0.259796325888445
agentic,1,corner75,wage,-15,-0.0310342111001987,0.0635938879151673,0.259796325888445
