age_group,delta,Mbar,lb,ub
1,SDRM,0,-0.0489949748743719,0.0489949748743719
1,SDRM,0.5,-0.75,0.75
1,SDRM,1,-0.75,0.75
1,original,,-0.050602860017012,-0.000968290426750514
2,SDRM,0,-0.00376884422110557,0.0565326633165829
2,SDRM,0.5,-0.652010050251256,0.704773869346734
2,SDRM,1,-0.75,0.75
2,original,,-0.00723637171389434,0.0220018618596437
3,SDRM,0,-0.0263819095477387,0.0565326633165829
3,SDRM,0.5,-0.621859296482412,0.659547738693467
3,SDRM,1,-0.75,0.75
3,original,,-0.0182349571792126,0.002558012170435
4,SDRM,0,-0.0113065326633166,0.0489949748743719
4,SDRM,0.5,-0.531407035175879,0.576633165829146
4,SDRM,1,-0.75,0.75
4,original,,-0.0104855766335758,0.00800898168189399
