age_group,design,quarter,post_idx,delta,Mbar,lb,ub,coef
1,agentic,2023q3,,path,,-0.00998278586423385,0.104236520589314,0.0471268673625402
1,agentic,2023q4,,path,,0.0214167898267178,0.0865653455256939,0.0539910676762058
1,agentic,2024q1,,path,,0.0130833998561628,0.0748290235645732,0.043956211710368
1,agentic,2024q2,,path,,0.00532085871106881,0.0730142566942151,0.039167557702642
1,agentic,2024q3,,path,,-0.00997463471236786,0.0633393066753389,0.0266823359814855
1,agentic,2024q4,,path,,0.00795259483934254,0.0419790302917529,0.0249658125655477
1,agentic,2025q1,,path,,0.00390408778086951,0.0282492499914384,0.0160766688861539
1,agentic,2025q2,1,SDRM,0,-0.0169172932330828,0.0507518796992481,
1,agentic,2025q2,1,SDRM,1,-0.0582706766917294,0.0695488721804511,
1,agentic,2025q2,1,original,,-0.0295579774141612,0.0300048999450669,
1,agentic,2025q2,1,path,,-0.0295585246651415,0.0300054471960472,0.000223461265452876
1,agentic,2025q3,2,SDRM,0,-0.0244360902255639,0.0657894736842105,
1,agentic,2025q3,2,SDRM,1,-0.167293233082707,0.156015037593985,
1,agentic,2025q3,2,original,,-0.0461409826841781,0.0224472531092592,
1,agentic,2025q3,2,path,,-0.0461416128582218,0.0224478832833029,-0.0118468647874594
1,agentic,2025q4,3,SDRM,0,-0.0169172932330828,0.0582706766917293,
1,agentic,2025q4,3,SDRM,1,-0.306390977443609,0.328947368421053,
1,agentic,2025q4,3,original,,-0.055193825027606,-0.00274768549654028,
1,agentic,2025q4,3,path,,-0.055194306891521,-0.0027472036326253,-0.0289707552620731
1,agentic,2026q1,4,SDRM,0,-0.0357142857142858,0.0808270676691729,
1,agentic,2026q1,4,SDRM,1,-0.520676691729323,0.543233082706767,
1,agentic,2026q1,4,original,,-0.0671203088910487,-0.0167114327354035,
1,agentic,2026q1,4,path,,-0.0671207720370234,-0.0167109695894288,-0.0419158708132261
1,chatgpt,2021q1,,path,,-0.211711350887653,-0.0147229928258248,-0.113217171856739
1,chatgpt,2021q2,,path,,-0.179588107941723,0.000775335014484457,-0.0894063864636193
1,chatgpt,2021q3,,path,,-0.175210527944785,-0.00157399770849986,-0.0883922628266424
1,chatgpt,2021q4,,path,,-0.130527515414673,-0.0194213999209494,-0.0749744576678112
1,chatgpt,2022q1,,path,,-0.128651723053711,0.00291020767652886,-0.0628707576885909
1,chatgpt,2022q2,,path,,-0.0979106967301142,0.0113681289220044,-0.0432712839040549
1,chatgpt,2022q3,,path,,-0.0476360603785009,0.0296353213859681,-0.0090003694962664
1,chatgpt,2022q4,1,SDRM,0,-0.0413533834586466,0.0413533834586466,
1,chatgpt,2022q4,1,original,,-0.00287598849277054,0.0234054686396527,
1,chatgpt,2022q4,1,path,,-0.00287622996117867,0.0234057101080609,0.0102647400734411
1,chatgpt,2023q1,2,SDRM,0,-0.0789473684210527,0.0714285714285714,
1,chatgpt,2023q1,2,original,,-0.00616035764272763,0.0351666628375344,
1,chatgpt,2023q1,2,path,,-0.00616073734655447,0.0351670425413612,0.0145031525974034
1,chatgpt,2023q2,3,SDRM,0,-0.131578947368421,0.101503759398496,
1,chatgpt,2023q2,3,original,,-0.0100191427380072,0.0344991163801833,
1,chatgpt,2023q2,3,path,,-0.0100195517622522,0.0344995254044284,0.0122399868210881
1,chatgpt,2023q3,4,SDRM,0,-0.161654135338346,0.139097744360902,
1,chatgpt,2023q3,4,original,,-0.00611903916198697,0.0529943387641511,
1,chatgpt,2023q3,4,path,,-0.00611958228306261,0.0529948818852267,0.0234376498010821
1,chatgpt,2023q4,5,SDRM,0,-0.169172932330827,0.139097744360902,
1,chatgpt,2023q4,5,original,,-0.0169723995159406,0.077576099745436,
1,chatgpt,2023q4,5,path,,-0.0169732682073337,0.077576968436829,0.0303018501147477
1,chatgpt,2024q1,6,SDRM,0,-0.236842105263158,0.169172932330827,
1,chatgpt,2024q1,6,original,,-0.0284011073282433,0.068935095626063,
1,chatgpt,2024q1,6,path,,-0.0284020016324618,0.0689359899302814,0.0202669941489098
