age_group,design,target,delta,Mbar,lb,ub
1,agentic,post,RM,0.5,-0.0789473684210527,0.0263157894736842
1,agentic,post,RM,1,-0.1265664160401,0.0664160401002506
1,agentic,post,RM,2,-0.219298245614035,0.159147869674185
1,agentic,post,SDRM,0,-0.0213032581453634,0.0614035087719298
1,agentic,post,SDRM,0.5,-0.129072681704261,0.141604010025063
1,agentic,post,SDRM,1,-0.261904761904762,0.271929824561403
1,agentic,post,SDRM,2,-0.5,0.5
1,agentic,post,original,,-0.0446339848985997,0.00337897009994677
1,chatgpt,mid,RM,0.5,-0.167919799498747,0.208020050125313
1,chatgpt,mid,RM,1,-0.348370927318296,0.388471177944862
1,chatgpt,mid,SDRM,0,-0.253132832080201,0.167919799498747
1,chatgpt,mid,SDRM,0.5,-0.884711779448622,0.869674185463659
1,chatgpt,mid,SDRM,1,-1,1
1,chatgpt,mid,original,,-0.0260527179403586,0.0511383042455203
2,agentic,post,RM,0.5,-0.0213032581453634,0.031328320802005
2,agentic,post,RM,1,-0.0463659147869675,0.0538847117794485
2,agentic,post,RM,2,-0.0939849624060151,0.101503759398496
2,agentic,post,SDRM,0,-0.0137844611528822,0.0288220551378446
2,agentic,post,SDRM,0.5,-0.0689223057644111,0.0764411027568922
2,agentic,post,SDRM,1,-0.136591478696742,0.139097744360902
2,agentic,post,SDRM,2,-0.269423558897243,0.269423558897243
2,agentic,post,original,,-0.00594335886489449,0.0200486106313249
2,chatgpt,mid,RM,0.5,-0.0576441102756893,0.12781954887218
2,chatgpt,mid,RM,1,-0.142857142857143,0.213032581453634
2,chatgpt,mid,SDRM,0,-0.0325814536340853,0.112781954887218
2,chatgpt,mid,SDRM,0.5,-0.353383458646617,0.523809523809524
2,chatgpt,mid,SDRM,1,-0.789473684210526,0.964912280701754
2,chatgpt,mid,original,,0.00188506810745345,0.0563487565260599
3,agentic,post,RM,0.5,-0.0288220551378446,0.0162907268170426
3,agentic,post,RM,1,-0.0488721804511278,0.0363408521303258
3,agentic,post,RM,2,-0.0914786967418547,0.0764411027568922
3,agentic,post,SDRM,0,-0.0162907268170426,0.031328320802005
3,agentic,post,SDRM,0.5,-0.0689223057644111,0.0614035087719298
3,agentic,post,SDRM,1,-0.131578947368421,0.121553884711779
3,agentic,post,SDRM,2,-0.256892230576441,0.246867167919799
3,agentic,post,original,,-0.0149766173766646,0.00418294982303756
3,chatgpt,mid,RM,0.5,-0.0676691729323309,0.06265664160401
3,chatgpt,mid,RM,1,-0.117794486215539,0.112781954887218
3,chatgpt,mid,SDRM,0,-0.0526315789473685,0.102756892230576
3,chatgpt,mid,SDRM,0.5,-0.308270676691729,0.468671679197995
3,chatgpt,mid,SDRM,1,-0.68922305764411,0.849624060150376
3,chatgpt,mid,original,,-0.0369608462214393,0.0209228288055833
4,agentic,post,RM,0.5,-0.018796992481203,0.018796992481203
4,agentic,post,RM,1,-0.0363408521303258,0.0338345864661653
4,agentic,post,RM,2,-0.0714285714285715,0.0689223057644111
4,agentic,post,SDRM,0,-0.0112781954887218,0.0263157894736842
4,agentic,post,SDRM,0.5,-0.0588972431077695,0.0614035087719298
4,agentic,post,SDRM,1,-0.114035087719298,0.116541353383459
4,agentic,post,SDRM,2,-0.226817042606516,0.231829573934837
4,agentic,post,original,,-0.00782805511914663,0.00917033793560449
4,chatgpt,mid,RM,0.5,-0.0626566416040101,0.06265664160401
4,chatgpt,mid,RM,1,-0.117794486215539,0.112781954887218
4,chatgpt,mid,SDRM,0,-0.0426065162907269,0.0827067669172932
4,chatgpt,mid,SDRM,0.5,-0.298245614035088,0.3734335839599
4,chatgpt,mid,SDRM,1,-0.604010025062657,0.679197994987469
4,chatgpt,mid,original,,-0.0276576277384805,0.0280829619008818
