sector,age_group,outcome,ai_q,coef,se,p_value,n_obs,n_occ
1,1,employment,2,0.0364127248698051,0.0179054459171382,0.0419907580970713,21700,350
1,1,employment,3,0.0319473361973255,0.0213588373574193,0.134720582439127,21700,350
1,1,employment,4,-0.106312792385159,0.0876300534997791,0.225053314074667,21700,350
1,1,employment,5,0.0542899287168541,0.0327595919692902,0.0974745250094094,21700,350
1,1,log_wage,2,0.0109926583358043,0.0315262885995607,0.727538098287972,17464,350
1,1,log_wage,3,-0.0412986384189822,0.0160347813713925,0.0104185514510448,17464,350
1,1,log_wage,4,-0.00598805524114393,0.0365993627961783,0.870132155311127,17464,350
1,1,log_wage,5,-0.0595626842913711,0.0169816901206716,0.000511521824587779,17464,350
1,1,new_hires,2,0.0376563883781533,0.0988419864784826,0.70322132945912,21700,350
1,1,new_hires,3,0.178018309015209,0.143634822461568,0.215204333568059,21700,350
1,1,new_hires,4,0.335433416690997,0.24099977785528,0.163970494937817,21700,350
1,1,new_hires,5,-0.0699115705150719,0.102323421509048,0.494454484492701,21700,350
1,2,employment,2,-0.0212073648318184,0.0221173603819221,0.337631267700602,22072,356
1,2,employment,3,0.0175520852301805,0.0187259656214169,0.348597736674848,22072,356
1,2,employment,4,-0.00505019847067323,0.0329984264709456,0.878363880746586,22072,356
1,2,employment,5,0.0402567770205078,0.0220883361474485,0.0683737705409995,22072,356
1,2,log_wage,2,-0.00541720533274663,0.011917564253802,0.649706212218587,18465,356
1,2,log_wage,3,-0.0144913098654712,0.0104295937392377,0.165569373816129,18465,356
1,2,log_wage,4,-0.0234697794393568,0.0108613334347027,0.0313748065492224,18465,356
1,2,log_wage,5,-0.0286034122858898,0.00956783353153964,0.00298879148876383,18465,356
1,2,new_hires,2,-0.0655438689350894,0.0989987206348072,0.507927746664669,22072,356
1,2,new_hires,3,-0.0274594969451575,0.145299204935443,0.850103889774992,22072,356
1,2,new_hires,4,-0.336146484086498,0.12615270100396,0.00770799509181284,22072,356
1,2,new_hires,5,-0.37904124641825,0.073174013080813,2.21888197828919e-07,22072,356
1,3,employment,2,-0.00883279894547939,0.0146245453530531,0.545863029080336,22444,362
1,3,employment,3,-0.0126341999893634,0.0146587825472322,0.388750233675557,22444,362
1,3,employment,4,-0.0119582065568921,0.0141949753809821,0.399549929958742,22444,362
1,3,employment,5,0.00812352919235604,0.0180693274546836,0.653016466703133,22444,362
1,3,log_wage,2,-0.0085759546982165,0.011180568311912,0.44355845981793,18505,362
1,3,log_wage,3,-0.00924818271751453,0.00922155341524632,0.316586781409972,18505,362
1,3,log_wage,4,-0.0122088365180789,0.010237976726177,0.233846609279107,18505,362
1,3,log_wage,5,-0.0271999082589524,0.00773429327846104,0.000492485203583618,18505,362
1,3,new_hires,2,-0.0423422229211399,0.0740155958547657,0.567273444898225,22444,362
1,3,new_hires,3,-0.0868277801179385,0.145164027381887,0.549749423431153,22444,362
1,3,new_hires,4,-0.288841788245234,0.0872071902216011,0.000925876098047873,22444,362
1,3,new_hires,5,-0.539309711793354,0.0711124423054411,3.35317439106417e-14,22444,362
1,4,employment,2,0.0115095389622874,0.0129166040365285,0.372894084846085,21886,353
1,4,employment,3,0.0531547096395845,0.0122340980798343,1.39402596840654e-05,21886,353
1,4,employment,4,0.049552046249802,0.0107037703742702,3.66724838566338e-06,21886,353
1,4,employment,5,0.0367264691448067,0.0201744092550578,0.0686907618264955,21886,353
1,4,log_wage,2,-0.00472856599311337,0.0151204566907411,0.754673727693506,18892,353
1,4,log_wage,3,-0.00473257371899147,0.0136573359478102,0.729157152690382,18892,353
1,4,log_wage,4,-0.0112262516432131,0.013758225316677,0.415071080530031,18892,353
1,4,log_wage,5,-0.0249301894860757,0.0123969712336481,0.0450885209356858,18892,353
1,4,new_hires,2,-0.0303551819809969,0.183697871860998,0.868751030897887,21886,353
1,4,new_hires,3,-0.0157225355235637,0.212308240322126,0.940966438844951,21886,353
1,4,new_hires,4,-0.358335026482301,0.139919193702176,0.0104367123429151,21886,353
1,4,new_hires,5,-0.39907591977256,0.128732379572938,0.00193492511283632,21886,353
2,1,employment,2,0.042804379778202,0.0340556230864816,0.208791261606863,24366,393
2,1,employment,3,0.0449401040200083,0.0203871948758249,0.027501148957389,24366,393
2,1,employment,4,0.0191639630591114,0.0203170307402107,0.345554961643038,24366,393
2,1,employment,5,0.0215150941765377,0.0219940858772607,0.32796463895197,24366,393
2,1,log_wage,2,-0.00462178101045084,0.00828250071015259,0.577150926396207,23070,393
2,1,log_wage,3,-0.00234285634768321,0.00604192367902727,0.698399217474834,23070,393
2,1,log_wage,4,-0.0193620545513253,0.0106964040307518,0.0710387483932878,23070,393
2,1,log_wage,5,-0.024551773080543,0.00674752573767517,0.000310754966769622,23070,393
2,1,new_hires,2,0.124714160775228,0.0809509990353641,0.123411004189745,24366,393
2,1,new_hires,3,0.115114122837281,0.0738931483094933,0.119269831387227,24366,393
2,1,new_hires,4,0.072809926427708,0.0769856522788254,0.344271171292113,24366,393
2,1,new_hires,5,-0.0423566594448408,0.0845330003406314,0.616324282232228,24366,393
2,2,employment,2,0.018064196165358,0.0356759985839818,0.612617769965372,24242,391
2,2,employment,3,0.0433189632320848,0.0167446186739333,0.00968049420493134,24242,391
2,2,employment,4,0.070637833886317,0.0168507157708255,2.76532522048404e-05,24242,391
2,2,employment,5,0.0783279909853005,0.0185818923984665,2.49461840431815e-05,24242,391
2,2,log_wage,2,-0.00368975136602817,0.00610184288907873,0.545733587141334,23195,391
2,2,log_wage,3,-0.00574177609261982,0.0045939461296313,0.21210125079318,23195,391
2,2,log_wage,4,-0.00906260418086929,0.00532282071598104,0.0894408164941441,23195,391
2,2,log_wage,5,-0.00784004864588367,0.00527249488844898,0.13783038418479,23195,391
2,2,new_hires,2,0.247541279323239,0.122308884469198,0.0429801659255086,24242,391
2,2,new_hires,3,0.177791960769649,0.101895555861262,0.0810118368890549,24242,391
2,2,new_hires,4,0.129945397583862,0.102392472660559,0.204408498184798,24242,391
2,2,new_hires,5,0.0159686287493952,0.105408928256021,0.879587475986581,24242,391
2,3,employment,2,-0.0205775122971401,0.0339055636758431,0.543912860156897,24366,393
2,3,employment,3,-0.00504129469603465,0.0153272757702001,0.742223694739858,24366,393
2,3,employment,4,0.000116613403881971,0.015411655724088,0.993962806568511,24366,393
2,3,employment,5,-0.0145643332987636,0.0169214386488324,0.389401630977835,24366,393
2,3,log_wage,2,-0.00258823629728873,0.00668711204050131,0.698930383424159,23102,393
