measure,sector,age_group,outcome,ai_q,coef,se,p_value,n_obs,n_occ
augmentation,1,1,employment,2,0.0410768411666276,0.0435677549158546,0.345769569150025,20352,318
augmentation,1,1,employment,3,0.0581103314453753,0.0419746863809906,0.166231812255015,20352,318
augmentation,1,1,employment,4,-0.0447295323104908,0.0743989468149444,0.547698858244408,20352,318
augmentation,1,1,employment,5,0.0656852182142225,0.0445928624784233,0.14075144826938,20352,318
augmentation,1,1,log_wage,2,0.0363096222680172,0.0216954394081216,0.0952166884267081,16921,318
augmentation,1,1,log_wage,3,-0.0238150062451985,0.0108996651412677,0.0296424587921479,16921,318
augmentation,1,1,log_wage,4,0.00639083252384415,0.0241313677523811,0.791312519619786,16921,318
augmentation,1,1,log_wage,5,-0.0317722801332908,0.0118588902691888,0.00777392832488974,16921,318
augmentation,1,1,new_hires,2,-0.016635143681986,0.128328764747694,0.896859870369903,20352,318
augmentation,1,1,new_hires,3,0.185748973044999,0.216815873032909,0.391603527152887,20352,318
augmentation,1,1,new_hires,4,-0.0288508422686298,0.147126337865011,0.844535261525699,20352,318
augmentation,1,1,new_hires,5,0.159193814946155,0.242993588328837,0.512380281819903,20352,318
augmentation,1,2,employment,2,-0.0362348407254909,0.0204695410702459,0.0766966025518269,20736,324
augmentation,1,2,employment,3,0.0096206500930982,0.0185737227572079,0.604478490161803,20736,324
augmentation,1,2,employment,4,-0.0443259729508938,0.0263552412127488,0.0925949091632421,20736,324
augmentation,1,2,employment,5,0.029861219176031,0.0213777500302523,0.162462776584985,20736,324
augmentation,1,2,log_wage,2,0.00691179201276657,0.0101249896713253,0.495325462854521,17893,324
augmentation,1,2,log_wage,3,0.00179479455699425,0.0100919894773959,0.858958774937469,17893,324
augmentation,1,2,log_wage,4,-0.00752881813680844,0.00822058400976252,0.360437619453073,17893,324
augmentation,1,2,log_wage,5,-0.0130960700045696,0.0092247573209711,0.156681546947979,17893,324
augmentation,1,2,new_hires,2,0.182143795290587,0.169793618938798,0.283389404277057,20736,324
augmentation,1,2,new_hires,3,0.284652006811291,0.293791940682075,0.332600188480489,20736,324
augmentation,1,2,new_hires,4,-0.00652872147363737,0.162959403213525,0.968042513812849,20736,324
augmentation,1,2,new_hires,5,-0.0103248656292809,0.183828417982197,0.955209745411841,20736,324
augmentation,1,3,employment,2,0.0157243426383316,0.0133588655331875,0.239166887244863,20992,328
augmentation,1,3,employment,3,7.4472214507848e-05,0.0210128103997919,0.997172196167995,20992,328
augmentation,1,3,employment,4,-0.0119811610290905,0.0114912919883426,0.297119880328507,20992,328
augmentation,1,3,employment,5,0.0429351051381692,0.0186115230976374,0.0210598487566058,20992,328
augmentation,1,3,log_wage,2,0.00263620225217234,0.011312587596089,0.81588411385683,17860,328
augmentation,1,3,log_wage,3,-0.000272480615325171,0.0129733001681628,0.983256124232591,17860,328
augmentation,1,3,log_wage,4,-0.00608083167666972,0.0108972078054304,0.577220257051052,17860,328
augmentation,1,3,log_wage,5,-0.012002198115253,0.012825528535507,0.350074707716641,17860,328
augmentation,1,3,new_hires,2,0.209633189303963,0.138096148722921,0.129008492299849,20992,328
augmentation,1,3,new_hires,3,0.177770953188378,0.255125757895666,0.485929621891551,20992,328
augmentation,1,3,new_hires,4,-0.0259605442149839,0.135238606613726,0.847772719686112,20992,328
augmentation,1,3,new_hires,5,-0.101864113284958,0.156710971513419,0.515684052887042,20992,328
augmentation,1,4,employment,2,-0.0118962342557144,0.0229832145415312,0.60473366501222,20544,321
augmentation,1,4,employment,3,0.049644131730073,0.0228731275935039,0.0299755786417896,20544,321
augmentation,1,4,employment,4,0.00657364987425946,0.0225539801777752,0.770697266593209,20544,321
augmentation,1,4,employment,5,0.0346548692327309,0.0278029308355287,0.212600473975305,20544,321
augmentation,1,4,log_wage,2,0.00906205198408837,0.0148294716601472,0.54158056099385,18199,321
