outcome,term,ai_q,coef,se,p_value,n_obs,n_occ
employment,older_base,2,0.00184177292412005,0.0327166862070996,0.955107116676213,50368,394
employment,older_base,3,0.0186408610044481,0.0139172646157951,0.180438694434608,50368,394
employment,older_base,4,0.0345067304157544,0.0137738601613911,0.0122370715498666,50368,394
employment,older_base,5,0.0290938505370751,0.0156710593259517,0.0633775170381607,50368,394
employment,young_diff,2,0.0430975813069618,0.0189555878499341,0.0229895497601044,50368,394
employment,young_diff,3,0.0279623203113458,0.0128120348792118,0.0290723394562281,50368,394
employment,young_diff,4,-0.0151035375207197,0.0169400399225927,0.372613766298496,50368,394
employment,young_diff,5,-0.00867239939389553,0.0163967599757636,0.59686834683334,50368,394
employment,joint_wald,,3.52494122425477,,0.00766180941636378,50368,394
new_hires,older_base,2,0.220260619446679,0.123139131021841,0.0736609763013431,50368,394
new_hires,older_base,3,0.130451917961512,0.102648577289109,0.203778642436222,50368,394
new_hires,older_base,4,0.0815392551789978,0.103162872101136,0.429298044448595,50368,394
new_hires,older_base,5,0.0062627286525544,0.102378526352929,0.951221999723117,50368,394
new_hires,young_diff,2,-0.0956557343315392,0.0794173156547847,0.22840816442868,50368,394
new_hires,young_diff,3,-0.0145114765649408,0.0741233871211478,0.844786590546559,50368,394
new_hires,young_diff,4,-0.0117797688744938,0.0801910043741635,0.883213803132527,50368,394
new_hires,young_diff,5,-0.0513778293673717,0.0736615759859635,0.485499450486359,50368,394
new_hires,joint_wald,,0.658810517878153,,0.620968898088994,50368,394
