age_group,ai_q,k,coef,se,n_obs,n_occ
1,2,-22,-0.0687155985368433,0.0840906006637777,24366,393
1,2,-21,-0.0728778390384208,0.0937944963472526,24366,393
1,2,-20,-0.0713686581827481,0.0959023803217347,24366,393
1,2,-19,-0.0742783326040172,0.10034903295977,24366,393
1,2,-18,-0.0673039375183839,0.0938504465105017,24366,393
1,2,-17,-0.0233473296272846,0.0554345296652939,24366,393
1,2,-16,-0.0169626896052005,0.0332577621782919,24366,393
1,2,-15,-0.0267487665970388,0.0263672830669297,24366,393
1,2,-14,-0.00217436051042332,0.0195307426345625,24366,393
1,2,-13,0.00540147573054155,0.0182007572389376,24366,393
1,2,-12,0.0282659555852908,0.0237489281072576,24366,393
1,2,-11,0.0438973177628765,0.0252624723311488,24366,393
1,2,-10,-0.0214787031357652,0.0407837476919695,24366,393
1,2,-9,-0.0125529684374221,0.04289173640619,24366,393
1,2,-8,0.00284115515792564,0.0305643228063841,24366,393
1,2,-7,0.0137596050918467,0.0229891627249197,24366,393
1,2,-6,0.0191451822148636,0.0176568013508538,24366,393
1,2,-5,0.0286302147865097,0.0215607152745468,24366,393
1,2,-4,0.00634528223592195,0.029343973289692,24366,393
1,2,-3,-0.0159576615340088,0.0295036369131974,24366,393
1,2,-2,0.00695337322452425,0.0130945265281979,24366,393
1,2,-1,0,0,24366,393
1,2,0,0.0124692380638563,0.0076465837348708,24366,393
1,2,1,0.0574992095914125,0.0244499178600819,24366,393
1,2,2,0.0159453013010692,0.0278884738989798,24366,393
1,2,3,0.0281664690392795,0.0255997276327174,24366,393
1,2,4,0.0354503358481842,0.0256470509553576,24366,393
1,2,5,0.029090237946988,0.0265215046086703,24366,393
1,2,6,0.0356585030674258,0.0239757848777707,24366,393
1,2,7,0.043344604601944,0.0260979120202367,24366,393
1,2,8,0.0247999560701324,0.0339227389471003,24366,393
1,2,9,-0.0089121071894306,0.0299956225691961,24366,393
1,2,10,0.018417395078111,0.021446535663568,24366,393
1,2,11,0.0123658012491255,0.0183060696622946,24366,393
1,2,12,0.0178805381030675,0.0214248532419213,24366,393
1,2,13,0.0540661021447311,0.0295170806239026,24366,393
1,2,14,0.0291935200802637,0.0402641956294073,24366,393
1,2,15,0.0311016372295023,0.0375408139387114,24366,393
1,2,16,0.043220602984119,0.0405575736350094,24366,393
1,2,17,0.0440604694701396,0.0396437994321232,24366,393
1,2,18,0.0533553953782139,0.039216112714373,24366,393
1,2,19,0.0561784812547573,0.0400696215934817,24366,393
1,2,20,0.0428913231457079,0.046574745330213,24366,393
1,2,21,0.010062471882282,0.0383210542806592,24366,393
1,2,22,0.0326454138526476,0.0374008560214751,24366,393
1,2,23,0.0336860746479036,0.0348014888012034,24366,393
1,2,24,0.0425668130348727,0.0381817724945286,24366,393
1,2,25,0.0663320226034258,0.0424021004321952,24366,393
1,2,26,0.0526893092646642,0.0515678283490097,24366,393
1,2,27,0.0539167363929608,0.0486685816289365,24366,393
1,2,28,0.0589935882995589,0.0490670330089446,24366,393
1,2,29,0.0624124459336442,0.0502313244341873,24366,393
1,2,30,0.0545141780469198,0.0506342426220379,24366,393
1,2,31,0.0799550097862033,0.0529876118592617,24366,393
1,2,32,0.0585538546322268,0.0586102761550338,24366,393
1,2,33,0.0163329472973443,0.0561659739655897,24366,393
1,2,34,0.0588131862367649,0.0523227122072792,24366,393
1,2,35,0.0539974190999626,0.0514802352957035,24366,393
1,2,36,0.0631650922307236,0.05265861274294,24366,393
1,2,37,0.0968244555318184,0.0551096043435193,24366,393
1,2,38,0.0631953832700716,0.066510055969003,24366,393
1,2,39,0.0795542210745401,0.060910014365542,24366,393
1,3,-22,0.14575771088135,0.0595694252699006,24366,393
1,3,-21,0.0738918609005563,0.0479475462235998,24366,393
1,3,-20,0.0588798545929352,0.0406439848788968,24366,393
1,3,-19,0.0620702144735451,0.0388393397056638,24366,393
1,3,-18,0.0546262390652643,0.0411137159920257,24366,393
1,3,-17,0.0749789722217131,0.0489992183271459,24366,393
1,3,-16,0.0713856057943163,0.0499513688333416,24366,393
1,3,-15,0.0515527572524644,0.0444137437632129,24366,393
1,3,-14,0.0248383939330793,0.025760382989353,24366,393
1,3,-13,0.0219552740972923,0.0219348777972369,24366,393
1,3,-12,0.0304910237274205,0.0228703639526354,24366,393
1,3,-11,0.058807396368446,0.0268133587423436,24366,393
1,3,-10,0.110042687762996,0.0483797321750144,24366,393
1,3,-9,0.0513619437489757,0.0298444358802786,24366,393
1,3,-8,0.0408307695126899,0.0218188527493567,24366,393
1,3,-7,0.0394198837025495,0.0227449104133068,24366,393
1,3,-6,0.0310907512662987,0.0220269256168238,24366,393
1,3,-5,0.0328563074613788,0.029788926781561,24366,393
1,3,-4,0.0335493835259248,0.0302068949698433,24366,393
1,3,-3,0.0135386184416459,0.025954385927739,24366,393
1,3,-2,0.00378660977828184,0.00895499147617474,24366,393
1,3,-1,0,0,24366,393
1,3,0,0.0197031688047375,0.00437374883655267,24366,393
1,3,1,0.0360832605006417,0.00804168651182447,24366,393
1,3,2,0.0888014175341688,0.0214234590471841,24366,393
1,3,3,0.0413760201513824,0.0136806710648211,24366,393
1,3,4,0.0353667945696064,0.0138259010048301,24366,393
1,3,5,0.0351211086944741,0.0131492427518626,24366,393
1,3,6,0.0362644379744143,0.0122475496887739,24366,393
1,3,7,0.0485716168220277,0.0154055828509169,24366,393
1,3,8,0.0447297459238097,0.0178388826105243,24366,393
1,3,9,0.0138632760752178,0.0188994824148472,24366,393
1,3,10,0.00456474433340485,0.0237833082816843,24366,393
1,3,11,0.00248972877143559,0.021778761343297,24366,393
1,3,12,0.0146693412998002,0.0219770308638474,24366,393
1,3,13,0.0429511011252183,0.0207639170546346,24366,393
1,3,14,0.0842466386426483,0.0220193546467392,24366,393
1,3,15,0.0387450898150271,0.0273548425707157,24366,393
1,3,16,0.0425866576259553,0.0272624208555079,24366,393
1,3,17,0.041195510985875,0.0243279559459976,24366,393
1,3,18,0.0351839630678198,0.0228306414982965,24366,393
1,3,19,0.0439063797184298,0.018690693441487,24366,393
1,3,20,0.039986540214161,0.0226975652559968,24366,393
1,3,21,0.0222605600863112,0.0250884549719294,24366,393
1,3,22,0.0183480284652694,0.0339569308399397,24366,393
1,3,23,0.0183727344522928,0.0324854584812459,24366,393
1,3,24,0.0340879734507394,0.0316007508460253,24366,393
1,3,25,0.06187366965901,0.028541709288762,24366,393
1,3,26,0.0938131172222011,0.0292211146821342,24366,393
1,3,27,0.0613626740001624,0.0354320344879454,24366,393
1,3,28,0.0559701951031212,0.034780949737746,24366,393
1,3,29,0.0572234783208566,0.0338902561539014,24366,393
1,3,30,0.0526400813993201,0.0287044023058561,24366,393
1,3,31,0.0615619321428008,0.0261968890630938,24366,393
1,3,32,0.0585057720281141,0.029219487923802,24366,393
1,3,33,0.0386719843324166,0.0299823751454512,24366,393
1,3,34,0.0405347347047576,0.0377167446235848,24366,393
1,3,35,0.037110203759823,0.0395510673467833,24366,393
1,3,36,0.0456106923817592,0.0376950274802721,24366,393
1,3,37,0.0711562954795951,0.0344955600786363,24366,393
1,3,38,0.110280595172938,0.0336989531146497,24366,393
1,3,39,0.0775428892284984,0.0392782956768568,24366,393
1,4,-22,-0.0282104295959169,0.0594072227478372,24366,393
1,4,-21,-0.0353843710598687,0.0549653816235457,24366,393
1,4,-20,-0.0485411124501941,0.0547920122475876,24366,393
1,4,-19,-0.0442331254289573,0.0564695778760879,24366,393
1,4,-18,-0.0650075331574166,0.0530033554891507,24366,393
1,4,-17,-0.120519395961517,0.035354703812798,24366,393
1,4,-16,-0.103015572882436,0.028532915443622,24366,393
1,4,-15,-0.0792009353264386,0.0272964170676867,24366,393
1,4,-14,-0.0455583723926431,0.0207259514854043,24366,393
1,4,-13,-0.0452347277227837,0.0238315692454422,24366,393
1,4,-12,-0.0452128461698404,0.0241260855379707,24366,393
1,4,-11,-0.033649233338126,0.0226248837669232,24366,393
1,4,-10,-0.0163717174649046,0.0421139099709493,24366,393
1,4,-9,-0.0190726151176983,0.0316183571388597,24366,393
1,4,-8,-0.0272810670213105,0.0249107124934868,24366,393
1,4,-7,-0.0409156558276552,0.0205690480060949,24366,393
1,4,-6,-0.0481968943956033,0.0172280338701111,24366,393
