age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,-22,0.0129076624031372,0.0392582173669506,12448,389
1,1,-21,0.0436719779485553,0.0337615413849015,12448,389
1,1,-20,0.0529910255616509,0.023289822990323,12448,389
1,1,-19,0.0549285561090206,0.0198559581869813,12448,389
1,1,-18,0.042714243695388,0.0194222146085585,12448,389
1,1,-17,0.0144595811797883,0.0206444397834605,12448,389
1,1,-16,-0.0266478096260484,0.0242284268656985,12448,389
1,1,-15,0.0184928883710643,0.0142054709177604,12448,389
1,1,-14,0.0146048861171828,0.0137487754334385,12448,389
1,1,-13,0.0159759115407976,0.0135948204490607,12448,389
1,1,-12,0.0221200407565648,0.0155926513197563,12448,389
1,1,-11,0.0134426332537838,0.0284712663635657,12448,389
1,1,-10,0.0174711779043216,0.0296510245882533,12448,389
1,1,-9,0.0353089640746948,0.0254733643289796,12448,389
1,1,-8,0.0389809200936956,0.0175175247430231,12448,389
1,1,-7,0.0387510242065675,0.0128322832882512,12448,389
1,1,-6,0.0232563986517523,0.0111287836892917,12448,389
1,1,-5,-0.00466879363017055,0.010684882062789,12448,389
1,1,-4,-0.0362239568448125,0.0167514001684678,12448,389
1,1,-3,-0.00408242810503786,0.00772949729196604,12448,389
1,1,-2,0.00132026139693048,0.00507185030613131,12448,389
1,1,-1,0,0,12448,389
1,1,0,0.00458895493650613,0.00910255621309631,12448,389
1,1,1,-0.0041686462619004,0.0172996349810739,12448,389
1,1,2,-0.00100815678192477,0.0237808413674198,12448,389
1,1,3,0.0188807451146802,0.0210523697251523,12448,389
1,1,4,0.0170594835130608,0.0144059634485135,12448,389
1,1,5,0.0203518289260714,0.013488093605014,12448,389
1,1,6,0.0117780407331629,0.0117055392605118,12448,389
1,1,7,-0.0136679187216833,0.00963684283114597,12448,389
1,1,8,-0.052724106736709,0.0156354229121875,12448,389
1,1,9,-0.0201972642491317,0.0101010444826804,12448,389
1,2,-22,-0.0247048274603748,0.0449753151954037,12448,389
1,2,-21,-0.0276525751745199,0.0488988605065269,12448,389
1,2,-20,0.00899597470611803,0.0363949465532818,12448,389
1,2,-19,0.00488191142450204,0.0340584393041974,12448,389
1,2,-18,-0.00181766413518874,0.0300726362532847,12448,389
1,2,-17,0.00611323739087409,0.0323874490547142,12448,389
1,2,-16,-0.0598667354794279,0.0256829900054383,12448,389
1,2,-15,-0.0128179203330789,0.0242225433608755,12448,389
1,2,-14,-0.00458695683234331,0.0223907241439167,12448,389
1,2,-13,-0.00237606492270939,0.0193001021057439,12448,389
1,2,-12,0.0130629902011336,0.018626464498701,12448,389
1,2,-11,0.00720866857489601,0.0306003667493198,12448,389
1,2,-10,-0.00204994488361617,0.0324488754371589,12448,389
1,2,-9,-0.0170410099766684,0.0348803553741724,12448,389
1,2,-8,0.00921388801269779,0.0312839745097526,12448,389
1,2,-7,0.010024652920826,0.0217179634115032,12448,389
1,2,-6,0.00341076575297963,0.0162946130324903,12448,389
1,2,-5,-0.000749216960389968,0.0218476076137548,12448,389
1,2,-4,-0.0459470935137925,0.0177900738284886,12448,389
1,2,-3,-0.0125781376457236,0.00947004623604952,12448,389
1,2,-2,-0.00209859623715558,0.00597112322404429,12448,389
1,2,-1,0,0,12448,389
1,2,0,-0.00330931295022001,0.0104850638582502,12448,389
1,2,1,0.0133739175906569,0.022983142350275,12448,389
1,2,2,-0.00486674808334232,0.0326779635772143,12448,389
1,2,3,-0.0271987535216213,0.0471573778106279,12448,389
1,2,4,0.0134602238161796,0.0330284467605429,12448,389
1,2,5,0.0119368020923881,0.0286151671985437,12448,389
1,2,6,0.0125306870302414,0.0239491293678078,12448,389
1,2,7,0.0207440908764896,0.027802003759784,12448,389
1,2,8,-0.0519411694002822,0.0283042500388335,12448,389
1,2,9,-0.00305548910823589,0.0203332772415019,12448,389
1,4,-22,-0.0263518690118941,0.0409183836622628,12448,389
1,4,-21,0.018681853383444,0.0356934356902501,12448,389
1,4,-20,0.0536800073409808,0.0198130223792095,12448,389
1,4,-19,0.0536309376322633,0.0156052774908141,12448,389
1,4,-18,0.0422700354146265,0.0159738587342154,12448,389
1,4,-17,0.0129645109057698,0.0184401347208086,12448,389
1,4,-16,0.00269192023118189,0.026189715433415,12448,389
1,4,-15,0.0391829472043333,0.0167981671103473,12448,389
1,4,-14,0.0312749355616147,0.0149100725382975,12448,389
1,4,-13,0.0205535006028255,0.0142163334786686,12448,389
1,4,-12,0.00941226453239618,0.0146273616655117,12448,389
1,4,-11,-0.0307353427480423,0.0295061756493203,12448,389
1,4,-10,-0.0325479883713821,0.0337414895934095,12448,389
1,4,-9,0.00434976882226558,0.0321386753446207,12448,389
1,4,-8,0.0319453122078965,0.0191714474478983,12448,389
1,4,-7,0.0329167425518251,0.0109877614630412,12448,389
1,4,-6,0.0189306715210675,0.00975146743732902,12448,389
1,4,-5,-0.00441648549564977,0.00854290286689388,12448,389
1,4,-4,-0.00776617639753443,0.0176384868504909,12448,389
1,4,-3,0.0159945858966653,0.00729878521189732,12448,389
1,4,-2,0.0149486848076319,0.00503471288589741,12448,389
1,4,-1,0,0,12448,389
1,4,0,-0.00944539514382576,0.0105605425317737,12448,389
1,4,1,-0.0444565094705586,0.0226257142591082,12448,389
