age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,-22,0.0137760261043049,0.0254241763653931,12448,389
1,1,-21,0.0248087082571981,0.0221991376508485,12448,389
1,1,-20,0.0359699903713521,0.0226799639299305,12448,389
1,1,-19,0.0346204749883887,0.0239465471019412,12448,389
1,1,-18,0.030941351081959,0.0231639867977783,12448,389
1,1,-17,0.0282051943543757,0.0236617564687443,12448,389
1,1,-16,0.026033956530288,0.0229754045401389,12448,389
1,1,-15,0.0387977994134724,0.0217425087698686,12448,389
1,1,-14,0.0133835374771659,0.0123288184117686,12448,389
1,1,-13,0.0160279673349826,0.0136242030387456,12448,389
1,1,-12,0.0174561183314999,0.0116731091022809,12448,389
1,1,-11,0.0176555524243682,0.0167780735708285,12448,389
1,1,-10,0.0185192318139549,0.0146819497411369,12448,389
1,1,-9,0.0164114242461051,0.012673709870176,12448,389
1,1,-8,0.0221867062394884,0.012641583519663,12448,389
1,1,-7,0.0187374693075318,0.0125744777439792,12448,389
1,1,-6,0.011522718931021,0.0137330589629872,12448,389
1,1,-5,0.00928262582058344,0.0141178252345282,12448,389
1,1,-4,0.0164674779507361,0.0142906631156678,12448,389
1,1,-3,0.0161802152283386,0.0130589504276412,12448,389
1,1,-1,0,0,12448,389
1,2,-22,-0.0199778724577887,0.0352545488124063,12448,389
1,2,-21,-0.000436346229576025,0.0356190955894052,12448,389
1,2,-20,-0.0044258007873003,0.0349452923357872,12448,389
1,2,-19,-0.00701114286244691,0.0371875612623429,12448,389
1,2,-18,-0.0143432030456965,0.0355162263336395,12448,389
1,2,-17,-0.0145531590327107,0.0339338363018108,12448,389
1,2,-16,-0.00796790665951854,0.0352742739764123,12448,389
1,2,-15,-0.0096547844315667,0.0327906106214326,12448,389
1,2,-14,-0.00238944783827396,0.0208729827953953,12448,389
1,2,-13,-0.00232400912852426,0.0193267433151069,12448,389
1,2,-12,0.0162973356627946,0.0195536745275828,12448,389
1,2,-11,-0.0061209761070767,0.0224089767027076,12448,389
1,2,-10,0.0028567003274351,0.0181346543151313,12448,389
1,2,-9,0.0101409488310421,0.0277600157282629,12448,389
1,2,-8,-0.00398106614462853,0.0176776316085386,12448,389
1,2,-7,-0.0015738751445265,0.0213115002787877,12448,389
1,2,-6,-0.00907556026483038,0.0203051829884032,12448,389
1,2,-5,-0.0212098071078091,0.0205119885104903,12448,389
1,2,-4,0.0059614039453293,0.0228875218842006,12448,389
1,2,-3,-0.00945726945324337,0.0206216290043919,12448,389
1,2,-1,0,0,12448,389
1,4,-22,0.0243672932946347,0.0256391776866779,12448,389
1,4,-21,0.0273150760393412,0.0219195957143278,12448,389
1,4,-20,0.0390720811859581,0.0219033677257553,12448,389
1,4,-19,0.0484330804349355,0.0238199407460421,12448,389
1,4,-18,0.0516436923204571,0.0224697603919753,12448,389
1,4,-17,0.041977653835938,0.0222968956218776,12448,389
1,4,-16,0.0582997828261839,0.0214842899204926,12448,389
1,4,-15,0.0598150574263183,0.0217874810649137,12448,389
1,4,-14,0.0166438743556492,0.013369538946152,12448,389
1,4,-13,0.0207043996188614,0.0142373355585063,12448,389
1,4,-12,0.0185732476243409,0.0121525889716883,12448,389
1,4,-11,0.0138653592901937,0.0162553802175592,12448,389
1,4,-10,0.0188136884516274,0.0157176471101311,12448,389
1,4,-9,0.0128722917701658,0.0140397930131418,12448,389
1,4,-8,0.0181203525607621,0.0143059495351258,12448,389
1,4,-7,0.0287373957212833,0.0153866410374728,12448,389
1,4,-6,0.0284606872564739,0.0149159572942267,12448,389
1,4,-5,0.0253305217584134,0.0144339328137189,12448,389
1,4,-4,0.0478800002959157,0.014306947366966,12448,389
1,4,-3,0.0365110577618776,0.015137888698518,12448,389
1,4,-1,0,0,12448,389
1,5,-22,0.0494037352004585,0.0266988677398245,12448,389
1,5,-21,0.0555169098899878,0.0241434429848428,12448,389
1,5,-20,0.0720005513595486,0.0242479257530879,12448,389
1,5,-19,0.0816475636936705,0.0244110535933624,12448,389
1,5,-18,0.0815928946143402,0.0226357362279815,12448,389
1,5,-17,0.0856450105068278,0.021932938680312,12448,389
1,5,-16,0.0848753376476213,0.0224539208510616,12448,389
1,5,-15,0.0937800362914276,0.0210265258765438,12448,389
