age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,-22,-0.109693656072268,0.130544753596822,11936,373
1,1,-21,-0.194258317568533,0.133156493987693,11936,373
1,1,-20,-0.177679861207132,0.0962701769152778,11936,373
1,1,-19,-0.0507917550338503,0.0777697571208345,11936,373
1,1,-18,-0.167436621804047,0.101963273385342,11936,373
1,1,-17,-0.230406623749943,0.0963124243301608,11936,373
1,1,-16,-0.102599704042977,0.0895794146570478,11936,373
1,1,-15,-0.110115909822056,0.0905279687133217,11936,373
1,1,-14,-0.116155563336354,0.0924908039391605,11936,373
1,1,-13,0.000853933297870484,0.0561625367394208,11936,373
1,1,-12,-0.118176450101495,0.0968194811876481,11936,373
1,1,-11,-0.157105278500575,0.127235963006618,11936,373
1,1,-10,-0.105279940317922,0.124082164466043,11936,373
1,1,-9,-0.22525851634892,0.133676552882637,11936,373
1,1,-8,-0.265995341787893,0.0953176307049877,11936,373
1,1,-7,-0.20115076843118,0.0920304461148477,11936,373
1,1,-6,-0.229816383994699,0.0781068082929431,11936,373
1,1,-5,-0.229265189329291,0.112012075527634,11936,373
1,1,-4,-0.147679687638818,0.141751484507068,11936,373
1,1,-3,-0.155649995840675,0.154718146392236,11936,373
1,1,-2,-0.0289866718911211,0.094947849736075,11936,373
1,1,-1,0,0,11936,373
1,1,0,0.0185907191203683,0.0682979544390477,11936,373
1,1,1,-0.095082422860187,0.126932899555833,11936,373
1,1,2,-0.0745013337661439,0.132587531153214,11936,373
1,1,3,-0.204689836468889,0.145091569673479,11936,373
1,1,4,-0.305814342606643,0.106672338616011,11936,373
1,1,5,-0.239413874958877,0.0870419753101154,11936,373
1,1,6,-0.493345980273381,0.146474114251542,11936,373
1,1,7,-0.201412003166851,0.104754099443912,11936,373
1,1,8,-0.379712353003275,0.146908986143585,11936,373
1,1,9,-0.192871973333466,0.0914069678512986,11936,373
1,2,-22,-0.0994145761736234,0.119524177898034,11936,373
1,2,-21,0.022439148537457,0.201802248862394,11936,373
1,2,-20,-0.135322333473845,0.0960535105648274,11936,373
1,2,-19,0.0017170787470655,0.149865229216069,11936,373
1,2,-18,-0.0622250345662708,0.110101354620166,11936,373
