age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,-22,0.0132490606023381,0.0392582173669509,12448,389
1,1,-21,0.021983258047817,0.0337615413849013,12448,389
1,1,-20,0.0189466663683677,0.023289822990323,12448,389
1,1,-19,0.0188942100931142,0.0198559581869813,12448,389
1,1,-18,0.0206106018278273,0.0194222146085584,12448,389
1,1,-17,0.0175753822040657,0.0206444397834605,12448,389
1,1,-16,0.0306287834311504,0.0242284268656983,12448,389
1,1,-15,0.0249774197760084,0.0142054709177605,12448,389
1,1,-14,0.0143970857244622,0.0137487754334384,12448,389
1,1,-13,0.0159759115407979,0.0135948204490604,12448,389
1,1,-12,0.0143763607732357,0.0155926513197565,12448,389
1,1,-11,0.0165151523380225,0.028471266363566,12448,389
1,1,-10,0.0178125761035232,0.029651024588253,12448,389
1,1,-9,0.0136202441739564,0.0254733643289797,12448,389
1,1,-8,0.00493656090041166,0.0175175247430233,12448,389
1,1,-7,0.00271667819066111,0.0128322832882512,12448,389
1,1,-6,0.00115275678419093,0.0111287836892916,12448,389
1,1,-5,-0.00155299260589328,0.010684882062789,12448,389
1,1,-4,0.0210526362123859,0.0167514001684683,12448,389
1,1,-3,0.00240210329990554,0.00772949729196587,12448,389
1,1,-2,0.0011124610042104,0.00507185030613118,12448,389
1,1,-1,0,0,12448,389
1,1,0,-0.00315472504682226,0.00910255621309583,12448,389
1,1,1,-0.00109612717766148,0.017299634981074,12448,389
1,1,2,-0.000666758582723723,0.02378084136742,12448,389
1,1,3,-0.0028079747860582,0.0210523697251526,12448,389
1,1,4,-0.0169848756802227,0.0144059634485136,12448,389
1,1,5,-0.0156825170898352,0.0134880936050141,12448,389
1,1,6,-0.0103256011343979,0.0117055392605119,12448,389
1,1,7,-0.0105521176974053,0.00963684283114607,12448,389
1,1,8,0.00455248632049006,0.0156354229121875,12448,389
1,1,9,-0.0137127328441878,0.0101010444826803,12448,389
1,2,-22,-0.0217173898152587,0.0449753151954041,12448,389
1,2,-21,-0.0217924107636576,0.0488988605065269,12448,389
1,2,-20,-0.0217358665603008,0.0363949465532817,12448,389
1,2,-19,-0.0266929275256228,0.0340584393041975,12448,389
1,2,-18,-0.0319164985237075,0.0300726362532847,12448,389
1,2,-17,-0.0289058749878437,0.0323874490547142,12448,389
1,2,-16,0.0114323320189238,0.025682990005438,12448,389
1,2,-15,0.00378533907011167,0.0242225433608756,12448,389
1,2,-14,-0.00297724688529763,0.0223907241439167,12448,389
1,2,-13,-0.00237606492270918,0.0193001021057436,12448,389
1,2,-12,0.0101581057732385,0.0186264644987011,12448,389
1,2,-11,0.000386380120947327,0.0306003667493202,12448,389
1,2,-10,0.000937492761500014,0.0324488754371588,12448,389
1,2,-9,-0.0111808455658066,0.0348803553741723,12448,389
1,2,-8,-0.0215179532537213,0.0312839745097528,12448,389
1,2,-7,-0.0215501860292984,0.0217179634115031,12448,389
1,2,-6,-0.0266880686355402,0.0162946130324903,12448,389
1,2,-5,-0.0357683293391081,0.0218476076137547,12448,389
1,2,-4,0.0253519739845592,0.0177900738284889,12448,389
1,2,-3,0.00402512175746553,0.00947004623604932,12448,389
1,2,-2,-0.000488886290109684,0.0059711232240442,12448,389
1,2,-1,0,0,12448,389
1,2,0,-0.00621419737811449,0.0104850638582498,12448,389
1,2,1,0.00655162913670898,0.0229831423502753,12448,389
1,2,2,-0.00187931043822665,0.0326779635772144,12448,389
1,2,3,-0.0213385891107591,0.0471573778106279,12448,389
1,2,4,-0.0172716174502393,0.033028446760543,12448,389
1,2,5,-0.0196380368577366,0.0286151671985437,12448,389
1,2,6,-0.0175681473582778,0.0239491293678078,12448,389
1,2,7,-0.0142750215022277,0.0278020037597842,12448,389
1,2,8,0.0193578980980702,0.0283042500388335,12448,389
1,2,9,0.013547770294954,0.0203332772415017,12448,389
1,4,-22,0.0246896121425738,0.040918383662263,12448,389
