age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,-40,-0.0373602322322716,0.021662465144783,19367,393
1,1,-39,0.0187448350881358,0.0106790167601309,19367,393
1,1,-38,0.0275110155385024,0.0137581360149744,19367,393
1,1,-37,0.0274597376497275,0.0128720754387132,19367,393
1,1,-36,0.0339689786627568,0.0146893311647788,19367,393
1,1,-35,0.0302587072769866,0.0188971974642618,19367,393
1,1,-34,0.0261688711599948,0.0245166024197304,19367,393
1,1,-33,0.0430043167764999,0.0238065081116706,19367,393
1,1,-32,0.0495672657187346,0.0249126797923587,19367,393
1,1,-31,0.0516244050340552,0.0215587966891604,19367,393
1,1,-30,0.0301246726924857,0.0189924811285806,19367,393
1,1,-29,0.0128900043390837,0.0156366347571133,19367,393
1,1,-28,-0.0416718288737083,0.0154803576029488,19367,393
1,1,-27,0.00407978442680164,0.0145511804185964,19367,393
1,1,-26,0.00932965813635354,0.0151689047786519,19367,393
1,1,-25,0.00916774669431466,0.0124668729725788,19367,393
1,1,-24,0.00769974077683137,0.0114086495352027,19367,393
1,1,-23,-0.00415396623052317,0.0152078672704683,19367,393
1,1,-22,0.00100174555731361,0.0216251593038045,19367,393
1,1,-21,0.0328498240297183,0.0224878514804455,19367,393
1,1,-20,0.0422929382081096,0.023350535018501,19367,393
1,1,-19,0.0444737454887846,0.0182634079323515,19367,393
1,1,-18,0.032606121127927,0.0164245793218952,19367,393
1,1,-17,0.00396229838966739,0.0143756953747426,19367,393
1,1,-16,-0.0367316372186478,0.0144287334868547,19367,393
1,1,-15,0.00838466021473395,0.0125639770372987,19367,393
1,1,-14,0.00434592517881966,0.010913051764505,19367,393
1,1,-13,0.00632160650097082,0.00692528650140151,19367,393
1,1,-12,0.0128309297102943,0.00957978012509401,19367,393
1,1,-11,0.0040360332753624,0.0220615479109917,19367,393
1,1,-10,0.00755403567055863,0.0251928040577882,19367,393
1,1,-9,0.0248682465639173,0.0224176248282223,19367,393
1,1,-8,0.0295102159458274,0.0178641781946657,19367,393
1,1,-7,0.0306704100312184,0.0129372636376035,19367,393
1,1,-6,0.016291108809536,0.0103825860986134,19367,393
1,1,-5,-0.00987237505691232,0.00897697776011222,19367,393
1,1,-4,-0.0402403729651631,0.0156928914679318,19367,393
1,1,-3,-0.00701354683295675,0.00799723608205886,19367,393
1,1,-2,0.000221915531944537,0.00509575942281985,19367,393
1,1,-1,0,0,19367,393
1,1,0,0.00600000838014776,0.00980027618373233,19367,393
1,1,1,-0.00148827838428062,0.0179217171629496,19367,393
1,1,2,0.00305246393721366,0.0245837125339425,19367,393
1,1,3,0.024511991728205,0.0221448076742575,19367,393
1,1,4,0.0240744887214268,0.0135538882771242,19367,393
1,1,5,0.029346578347534,0.0118934229826053,19367,393
1,1,6,0.0223862898128961,0.00973418738867154,19367,393
1,1,7,-0.00221989045648351,0.00964890889005102,19367,393
1,1,8,-0.040568836495111,0.017217047272742,19367,393
1,1,9,-0.00648380013555219,0.00693573973668876,19367,393
1,2,-40,-0.0453882324161921,0.0265401561961423,19367,393
1,2,-39,0.0159622038363354,0.0194351084378105,19367,393
1,2,-38,0.0352641500276302,0.0245730689745453,19367,393
1,2,-37,0.0400408506419426,0.0276141263844049,19367,393
1,2,-36,0.0448566250730905,0.0280939320093565,19367,393
1,2,-35,0.0435949406073967,0.0322614918130985,19367,393
1,2,-34,0.0127090654954887,0.0394457829803265,19367,393
1,2,-33,0.00511944223782396,0.0478505516865528,19367,393
1,2,-32,0.0336295701934989,0.0363092568154947,19367,393
1,2,-31,0.0278810617014127,0.0293246960759183,19367,393
1,2,-30,0.01926192276355,0.0242643919588147,19367,393
1,2,-29,0.0483253563400202,0.0216901422240043,19367,393
1,2,-28,-0.0490366083982533,0.0139427113724178,19367,393
1,2,-27,0.00599401778405337,0.0151003454800241,19367,393
1,2,-26,0.0150580415310687,0.0161112927253098,19367,393
1,2,-25,0.00586551182961928,0.0128166085291502,19367,393
1,2,-24,0.00963349646982922,0.0106419991781004,19367,393
