age_group,ai_q,k,coef,se_naive,se,n_obs,n_occ,n_boot
1,2,-22,-0.0617454858715205,0.084090600663771,0.0687296200936703,24366,393,200
1,2,-21,-0.0689540915773413,0.0937944963472475,0.0720991923881615,24366,393,200
1,2,-20,-0.074873213799945,0.0959023803217297,0.0776381123348734,24366,393,200
1,2,-19,-0.0771081059808133,0.100349032959765,0.0843584749899384,24366,393,200
1,2,-18,-0.0751908931942696,0.0938504465104969,0.0827210255656479,24366,393,200
1,2,-17,-0.0443490316016817,0.0554345296652917,0.0572590646652427,24366,393,200
1,2,-16,-0.0238188266025421,0.033257762178291,0.0370502873786967,24366,393,200
1,2,-15,-0.00705324592927855,0.0263672830669285,0.0250778399902055,24366,393,200
1,2,-14,-0.00508952198856377,0.0195307426345617,0.0237359570506491,24366,393,200
1,2,-13,0.00540147573053697,0.0182007572389369,0.0204226774024877,24366,393,200
1,2,-12,0.0174807539938306,0.0237489281072574,0.0211712897306597,24366,393,200
1,2,-11,0.00470755331496621,0.0252624723311483,0.0162394173670282,24366,393,200
1,2,-10,-0.0145085904704406,0.040783747691967,0.0249617461387974,24366,393,200
1,2,-9,-0.00862922097634178,0.0428917364061886,0.0192435433201466,24366,393,200
1,2,-8,-0.00066340045927157,0.0305643228063832,0.0093518041331081,24366,393,200
1,2,-7,0.0109298317150508,0.0229891627249194,0.0118510677842733,24366,393,200
1,2,-6,0.0112582265389801,0.0176568013508538,0.0137845101259825,24366,393,200
1,2,-5,0.0076285128121123,0.0215607152745475,0.00969033340078782,24366,393,200
1,2,-4,-0.00051085476141842,0.0293439732896925,0.00733206237107819,24366,393,200
1,2,-3,0.00373785913375022,0.0295036369131974,0.00731673338775498,24366,393,200
1,2,-2,0.0040382117463859,0.0130945265281984,0.00352824894557869,24366,393,200
1,2,-1,0,0,0,24366,393,200
1,2,0,0.00168403647239545,0.00764658373487047,0.00564444940386539,24366,393,200
1,2,1,0.0183094451435029,0.0244499178600819,0.009804194931226,24366,393,200
1,2,2,0.0229154139663936,0.0278884738989796,0.00971906387910406,24366,393,200
1,2,3,0.0320902165003602,0.0255997276327174,0.0145873248807315,24366,393,200
1,2,4,0.0319457802309875,0.0256470509553577,0.0136099338567793,24366,393,200
1,2,5,0.0262604645701917,0.0265215046086705,0.0135464780099679,24366,393,200
1,2,6,0.0277715473915415,0.0239757848777711,0.0163158946223452,24366,393,200
1,2,7,0.0223429026275457,0.0260979120202369,0.014570399653462,24366,393,200
1,2,8,0.0179438190727927,0.0339227389471009,0.0137630231081256,24366,393,200
1,2,9,0.0107834134783293,0.0299956225691962,0.0154726704923945,24366,393,200
1,2,10,0.0155022335999715,0.0214465356635678,0.0166625592320299,24366,393,200
1,2,11,0.0123658012491227,0.0183060696622941,0.0178252058233319,24366,393,200
1,2,12,0.00709533651160861,0.0214248532419211,0.0183867720391109,24366,393,200
1,2,13,0.0148763376968216,0.0295170806239025,0.0206357923697004,24366,393,200
1,2,14,0.0361636327455896,0.0402641956294068,0.0249513474845486,24366,393,200
1,2,15,0.0350253846905823,0.0375408139387112,0.0260613749323699,24366,393,200
1,2,16,0.0397160473669224,0.0405575736350091,0.0287820709011763,24366,393,200
1,2,17,0.0412306960933439,0.0396437994321231,0.0287223173177321,24366,393,200
1,2,18,0.0454684397023294,0.0392161127143729,0.0291895094339697,24366,393,200
1,2,19,0.035176779280359,0.0400696215934822,0.0287192772416527,24366,393,200
1,2,20,0.0360351861483669,0.0465747453302132,0.0301385782898731,24366,393,200
1,2,21,0.0297579925500423,0.0383210542806594,0.0298860830990197,24366,393,200
1,2,22,0.0297302523745085,0.0374008560214753,0.03338940272312,24366,393,200
1,2,23,0.0336860746479003,0.0348014888012032,0.0340437102109836,24366,393,200
1,2,24,0.0317816114434124,0.0381817724945284,0.0353885850611108,24366,393,200
1,2,25,0.0271422581555159,0.0424021004321951,0.0366525111891403,24366,393,200
