age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,-22,-0.145757710881342,0.0595682379937683,20436,393
1,1,-21,-0.0738918609005524,0.0479465905788166,20436,393
1,1,-20,-0.0588798545929337,0.0406431747986407,20436,393
1,1,-19,-0.0620702144735416,0.0388385655930879,20436,393
1,1,-18,-0.0546262390652608,0.0411128965510558,20436,393
1,1,-17,-0.0749789722217115,0.0489982417271719,20436,393
1,1,-16,-0.0713856057943129,0.0499503732563838,20436,393
1,1,-15,-0.0515527572524615,0.0444128585559134,20436,393
1,1,-14,-0.0248383939330776,0.0257598695598497,20436,393
1,1,-13,-0.0219552740972903,0.0219344406138547,20436,393
1,1,-12,-0.0304910237274172,0.0228699081242252,20436,393
1,1,-11,-0.0588073963684431,0.0268128243270541,20436,393
1,1,-10,-0.110042687762994,0.0483787679223696,20436,393
1,1,-9,-0.0513619437489728,0.0298438410502198,20436,393
1,1,-8,-0.040830769512688,0.0218184178770274,20436,393
1,1,-7,-0.0394198837025464,0.0227444570850372,20436,393
1,1,-6,-0.0310907512662957,0.022026486599188,20436,393
1,1,-5,-0.0328563074613773,0.0297883330582449,20436,393
1,1,-4,-0.0335493835259229,0.0302062929136,20436,393
1,1,-3,-0.0135386184416426,0.0259538686285424,20436,393
1,1,-2,-0.00378660977827974,0.00895481299069172,20436,393
1,1,-1,0,0,20436,393
1,1,0,-0.0197031688047348,0.00437366166126415,20436,393
1,1,1,-0.0360832605006399,0.00804152623064431,20436,393
1,1,2,-0.0888014175341655,0.0214230320515162,20436,393
1,1,3,-0.0413760201513801,0.0136803983886437,20436,393
1,1,4,-0.035366794569603,0.0138256254350484,20436,393
1,1,5,-0.0351211086944706,0.0131489806684044,20436,393
1,1,6,-0.0362644379744115,0.0122473055772532,20436,393
1,1,7,-0.0485716168220247,0.0154052757980261,20436,393
1,1,8,-0.0447297459238068,0.0178385270570464,20436,393
1,1,9,-0.013863276075215,0.0188991057232986,20436,393
1,1,10,-0.00456474433340214,0.0237828342562256,20436,393
1,1,11,-0.00248972877143395,0.0217783272700771,20436,393
1,1,12,-0.0146693412997977,0.0219765928383944,20436,393
1,1,13,-0.0429511011252158,0.0207635032055145,20436,393
1,1,14,-0.0842466386426468,0.0220189157675825,20436,393
1,1,15,-0.0387450898150237,0.0273542973553878,20436,393
1,1,16,-0.0425866576259529,0.0272618774815851,20436,393
1,1,17,-0.041195510985871,0.0243274710581649,20436,393
1,1,18,-0.0351839630678167,0.0228301864535795,20436,393
1,1,19,-0.0439063797184279,0.0186903209086928,20436,393
1,1,20,-0.0399865402141566,0.0226971128620986,20436,393
1,1,21,-0.0222605600863088,0.0250879549272324,20436,393
1,1,22,-0.0183480284652666,0.0339562540432375,20436,393
1,1,23,-0.0183727344522902,0.0324848110116565,20436,393
1,1,24,-0.0340879734507359,0.031600121007964,20436,393
1,1,25,-0.061873669659008,0.0285411404183877,20436,393
1,1,26,-0.0938131172222008,0.0292205322635221,20436,393
1,1,27,-0.0613626740001585,0.0354313282844466,20436,393
1,1,28,-0.0559701951031184,0.0347802565115627,20436,393
1,1,29,-0.0572234783208538,0.0338895806799294,20436,393
1,2,-22,-0.21447330941819,0.0986770907009785,20436,393
1,2,-21,-0.146769699938976,0.100169768109922,20436,393
1,2,-20,-0.130248512775686,0.0987782848226831,20436,393
1,2,-19,-0.136348547077564,0.102407951824827,20436,393
1,2,-18,-0.121930176583646,0.0977124794794592,20436,393
1,2,-17,-0.0983263018489977,0.0714016508939593,20436,393
1,2,-16,-0.0883482953995172,0.0569649200680592,20436,393
1,2,-15,-0.078301523849504,0.0484576992042178,20436,393
1,2,-14,-0.0270127544435047,0.0294236013921146,20436,393
1,2,-13,-0.0165537983667521,0.0262097726802386,20436,393
1,2,-12,-0.00222506814212847,0.0309462589990716,20436,393
1,2,-11,-0.0149100786055696,0.0351565527520812,20436,393
1,2,-10,-0.131521390898762,0.0607246900092676,20436,393
