age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,-22,-0.145757710881343,0.0595694252698926,24366,393
1,1,-21,-0.0738918609005519,0.0479475462235943,24366,393
1,1,-20,-0.0588798545929309,0.0406439848788931,24366,393
1,1,-19,-0.0620702144735406,0.0388393397056605,24366,393
1,1,-18,-0.0546262390652622,0.0411137159920222,24366,393
1,1,-17,-0.0749789722217117,0.0489992183271428,24366,393
1,1,-16,-0.0713856057943133,0.0499513688333384,24366,393
1,1,-15,-0.0515527572524602,0.0444137437632087,24366,393
1,1,-14,-0.0248383939330752,0.0257603829893508,24366,393
1,1,-13,-0.021955274097289,0.0219348777972353,24366,393
1,1,-12,-0.0304910237274169,0.0228703639526348,24366,393
1,1,-11,-0.0588073963684408,0.0268133587423427,24366,393
1,1,-10,-0.110042687762993,0.0483797321750101,24366,393
1,1,-9,-0.0513619437489717,0.0298444358802755,24366,393
1,1,-8,-0.0408307695126872,0.021818852749355,24366,393
1,1,-7,-0.0394198837025464,0.0227449104133047,24366,393
1,1,-6,-0.0310907512662951,0.0220269256168221,24366,393
1,1,-5,-0.0328563074613765,0.0297889267815595,24366,393
1,1,-4,-0.0335493835259225,0.0302068949698426,24366,393
1,1,-3,-0.0135386184416421,0.0259543859277373,24366,393
1,1,-2,-0.00378660977827922,0.00895499147617443,24366,393
1,1,-1,0,0,24366,393
1,1,0,-0.0197031688047341,0.00437374883655176,24366,393
1,1,1,-0.0360832605006386,0.00804168651182287,24366,393
1,1,2,-0.0888014175341633,0.0214234590471817,24366,393
1,1,3,-0.0413760201513793,0.0136806710648203,24366,393
1,1,4,-0.0353667945696033,0.0138259010048291,24366,393
1,1,5,-0.0351211086944698,0.0131492427518612,24366,393
1,1,6,-0.0362644379744108,0.0122475496887728,24366,393
1,1,7,-0.0485716168220243,0.0154055828509152,24366,393
1,1,8,-0.0447297459238059,0.0178388826105229,24366,393
1,1,9,-0.0138632760752148,0.0188994824148463,24366,393
1,1,10,-0.00456474433340128,0.0237833082816854,24366,393
1,1,11,-0.00248972877143304,0.0217787613432982,24366,393
1,1,12,-0.014669341299797,0.0219770308638489,24366,393
1,1,13,-0.0429511011252148,0.0207639170546348,24366,393
1,1,14,-0.0842466386426457,0.022019354646738,24366,393
1,1,15,-0.0387450898150231,0.0273548425707156,24366,393
1,1,16,-0.0425866576259523,0.0272624208555069,24366,393
1,1,17,-0.0411955109858699,0.0243279559459966,24366,393
1,1,18,-0.0351839630678154,0.0228306414982961,24366,393
1,1,19,-0.0439063797184263,0.0186906934414854,24366,393
1,1,20,-0.0399865402141564,0.0226975652559959,24366,393
1,1,21,-0.0222605600863079,0.0250884549719285,24366,393
1,1,22,-0.0183480284652662,0.0339569308399401,24366,393
1,1,23,-0.0183727344522894,0.0324854584812471,24366,393
1,1,24,-0.0340879734507353,0.0316007508460269,24366,393
1,1,25,-0.0618736696590074,0.028541709288763,24366,393
1,1,26,-0.0938131172221986,0.0292211146821334,24366,393
1,1,27,-0.0613626740001584,0.0354320344879447,24366,393
1,1,28,-0.0559701951031181,0.0347809497377454,24366,393
1,1,29,-0.0572234783208533,0.0338902561539015,24366,393
1,1,30,-0.0526400813993159,0.0287044023058548,24366,393
1,1,31,-0.0615619321427956,0.0261968890630928,24366,393
1,1,32,-0.0585057720281114,0.0292194879238013,24366,393
1,1,33,-0.0386719843324128,0.0299823751454505,24366,393
1,1,34,-0.0405347347047535,0.037716744623584,24366,393
1,1,35,-0.0371102037598196,0.0395510673467834,24366,393
1,1,36,-0.045610692381756,0.0376950274802728,24366,393
1,1,37,-0.0711562954795911,0.0344955600786373,24366,393
1,1,38,-0.110280595172935,0.0336989531146485,24366,393
1,1,39,-0.0775428892284948,0.0392782956768574,24366,393
1,2,-22,-0.214473309418192,0.098679057460759,24366,393
1,2,-21,-0.146769699938979,0.100171764620732,24366,393
1,2,-20,-0.130248512775685,0.0987802535994943,24366,393
1,2,-19,-0.136348547077564,0.102409992945527,24366,393
1,2,-18,-0.121930176583651,0.0977144270134082,24366,393
1,2,-17,-0.0983263018489997,0.0714030740195301,24366,393
1,2,-16,-0.0883482953995195,0.0569660554511717,24366,393
1,2,-15,-0.078301523849505,0.0484586650276136,24366,393
1,2,-14,-0.0270127544435049,0.0294241878418189,24366,393
1,2,-13,-0.0165537983667523,0.0262102950742669,24366,393
1,2,-12,-0.00222506814213068,0.0309468757973039,24366,393
1,2,-11,-0.0149100786055686,0.0351572534668024,24366,393
1,2,-10,-0.131521390898765,0.0607259003294012,24366,393
1,2,-9,-0.0639149121863979,0.0487868283091808,24366,393
1,2,-8,-0.0379896143547669,0.0347009398011574,24366,393
1,2,-7,-0.0256602786107048,0.0300318212514997,24366,393
1,2,-6,-0.0119455690514366,0.0262770277761482,24366,393
1,2,-5,-0.00422609267487048,0.0321489161602922,24366,393
1,2,-4,-0.0272041012900047,0.0354471926176152,24366,393
1,2,-3,-0.0294962799756565,0.0340151648465492,24366,393
1,2,-2,0.00316676344624075,0.0118919093815721,24366,393
1,2,-1,0,0,24366,393
1,2,0,-0.00723393074088397,0.00686318387855678,24366,393
1,2,1,0.021415949090769,0.0243230022122046,24366,393
1,2,2,-0.0728561162330994,0.0285897284803578,24366,393
1,2,3,-0.0132095511121033,0.0232093532597651,24366,393
1,2,4,8.35412785755215e-05,0.0240075071967014,24366,393
1,2,5,-0.00603087074748846,0.0247967832971674,24366,393
1,2,6,-0.000605934906989878,0.0222367370066504,24366,393
1,2,7,-0.00522701222008514,0.0258451822661895,24366,393
1,2,8,-0.0199297898536767,0.0323768186824817,24366,393
1,2,9,-0.0227753832646503,0.0290017883384703,24366,393
1,2,10,0.0138526507447055,0.0284953704840806,24366,393
1,2,11,0.00987607247768855,0.0246307291994426,24366,393
1,2,12,0.00321119680326675,0.0265686114533917,24366,393
1,2,13,0.0111150010195115,0.031089528023916,24366,393
1,2,14,-0.0550531185623856,0.0358569718953284,24366,393
1,2,15,-0.00764345258552538,0.0384350653044352,24366,393
1,2,16,0.000633945358162625,0.0407994452498864,24366,393
1,2,17,0.00286495848426348,0.0386749317937635,24366,393
1,2,18,0.0181714323103941,0.0381118328261865,24366,393
1,2,19,0.0122721015363256,0.0376454585766464,24366,393
1,2,20,0.0029047829315458,0.0446324924483529,24366,393
1,2,21,-0.0121980882040311,0.0380121180031907,24366,393
1,2,22,0.0142973853873765,0.0453970001104827,24366,393
1,2,23,0.0153133401956097,0.0417707099531409,24366,393
1,2,24,0.00847883958413228,0.0427567360975464,24366,393
1,2,25,0.0044583529444136,0.0438238015788105,24366,393
1,2,26,-0.0411238079575386,0.0475724296655084,24366,393
1,2,27,-0.00744593760720346,0.0499205305841672,24366,393
1,2,28,0.0030233931964356,0.0506292315391438,24366,393
1,2,29,0.00518896761278711,0.0513522454699275,24366,393
1,2,30,0.0018740966475975,0.0492169921758134,24366,393
1,2,31,0.0183930776434022,0.0508010407519417,24366,393
1,2,32,4.80826041102007e-05,0.0569560357869461,24366,393
1,2,33,-0.0223390370350731,0.0561826956027377,24366,393
1,2,34,0.0182784515320054,0.0581659133784237,24366,393
1,2,35,0.0168872153401375,0.0582192528751993,24366,393
1,2,36,0.0175543998489623,0.0567099961414708,24366,393
1,2,37,0.0256681600522222,0.0568347855535903,24366,393
1,2,38,-0.0470852119028686,0.0625453028310351,24366,393
1,2,39,0.00201133184604109,0.0611561128472188,24366,393
1,4,-22,-0.173968140477261,0.0787117867664083,24366,393
1,4,-21,-0.10927623196042,0.0652546401355431,24366,393
1,4,-20,-0.107420967043126,0.0596861504534033,24366,393
1,4,-19,-0.106303339902501,0.0600557363175761,24366,393
1,4,-18,-0.11963377222268,0.0595781724245391,24366,393
1,4,-17,-0.195498368183231,0.0572308219573768,24366,393
1,4,-16,-0.174401178676751,0.054343168772818,24366,393
1,4,-15,-0.130753692578901,0.0489704296965008,24366,393
1,4,-14,-0.0703967663257195,0.0302307457279582,24366,393
1,4,-13,-0.0671900018200737,0.0303917044028423,24366,393
1,4,-12,-0.0757038698972586,0.0312372460174632,24366,393
1,4,-11,-0.0924566297065685,0.033312540108999,24366,393
1,4,-10,-0.126414405227898,0.0616271231525155,24366,393
1,4,-9,-0.0704345588666717,0.0392450515694907,24366,393
1,4,-8,-0.068111836533998,0.0298415983386264,24366,393
1,4,-7,-0.0803355395302022,0.0282222327388581,24366,393
1,4,-6,-0.0792876456618998,0.0259908581203983,24366,393
1,4,-5,-0.120613739676204,0.034380338853506,24366,393
1,4,-4,-0.100402743968566,0.0371460169143284,24366,393
1,4,-3,-0.0380381250960396,0.0306591360582818,24366,393
1,4,-2,-0.00697963873580988,0.0107417876356425,24366,393
1,4,-1,0,0,24366,393
1,4,0,-0.00474447966095433,0.00602913362620228,24366,393
1,4,1,-0.020160807460477,0.00782189477921545,24366,393
1,4,2,-0.0533953383013027,0.0299467157126306,24366,393
1,4,3,0.00241141133846006,0.0110601654991445,24366,393
1,4,4,0.00379694731157512,0.010058706354357,24366,393
1,4,5,-0.0108413043013511,0.00953216856619087,24366,393
1,4,6,-0.0223203180705512,0.0103064381883686,24366,393
1,4,7,-0.0679887520760596,0.0236174169697747,24366,393
1,4,8,-0.056695307113614,0.0310503988266866,24366,393
1,4,9,-0.0113254426954043,0.0303714314561938,24366,393
1,4,10,0.0235842603242389,0.0281922097032022,24366,393
1,4,11,0.0239960521883673,0.0231954876725559,24366,393
1,4,12,0.0127618217724647,0.0222677746397376,24366,393
1,4,13,-0.0166098153609118,0.0203130013681679,24366,393
1,4,14,-0.0275271039187294,0.0182562080974492,24366,393
1,4,15,0.0101704091831309,0.0246437446773864,24366,393
