age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,-22,-0.103866408806662,0.0229272439501489,18209,373
1,1,-21,-0.0140264994336985,0.0114061114914571,18209,373
1,1,-20,0.0285961763616411,0.0156833213838411,18209,373
1,1,-19,-0.00428531093506713,0.0109733201340126,18209,373
1,1,-18,-0.110987113722943,0.0525616749048777,18209,373
1,1,-17,0.0310695725452526,0.0428974745522765,18209,373
1,1,-16,0.0088227273673515,0.0166552399898047,18209,373
1,1,-15,-0.126224379042859,0.0307348226588961,18209,373
1,1,-14,-0.018576137118599,0.00751255225982705,18209,373
1,1,-13,-0.00100597948042161,0.00387923380285283,18209,373
1,1,-12,-0.011136049328307,0.00477206304946148,18209,373
1,1,-11,0.0131733175989173,0.00903561937402746,18209,373
1,1,-10,-0.105764934216402,0.0214394511104916,18209,373
1,1,-9,-0.0254194886356025,0.00736997706672603,18209,373
1,1,-8,-0.00756634578687052,0.0100888487213672,18209,373
1,1,-7,-0.0106088081671227,0.00603079753685211,18209,373
1,1,-6,-0.116866464230517,0.0472611460152422,18209,373
1,1,-5,0.0357999294839837,0.0437177866750715,18209,373
1,1,-4,0.00880205296700351,0.0163558528248782,18209,373
1,1,-3,-0.119580215139132,0.0301252809208118,18209,373
1,1,-2,-0.00718313317685891,0.00604755472767896,18209,373
1,1,-1,0,0,18209,373
1,1,0,-0.00705140745395949,0.00678118930748089,18209,373
1,1,1,0.0108433226296835,0.00755839776300358,18209,373
1,1,2,-0.0845695024840756,0.0208201557657318,18209,373
1,1,3,-0.0123313046624947,0.00670109387308248,18209,373
1,1,4,-0.00463627661870307,0.0090034054876036,18209,373
1,1,5,-0.0109977407054966,0.00513401909053002,18209,373
1,1,6,-0.0968991108799862,0.0412309517242942,18209,373
1,1,7,0.0519990272781794,0.045039718078237,18209,373
1,1,8,-0.00578638729717107,0.015869188805337,18209,373
1,1,9,-0.108396471605958,0.031697765102324,18209,373
1,1,10,-0.0169093128241635,0.00678013204873028,18209,373
1,1,11,-0.0121214798003424,0.00495128790303448,18209,373
1,1,12,0.0048263898763019,0.00551811320689071,18209,373
1,1,13,0.0110409079977428,0.00729424208873924,18209,373
1,1,14,-0.068377793002059,0.0198608473805104,18209,373
1,1,15,0.00462852098518088,0.00821977628420244,18209,373
1,1,16,-0.000796253682868064,0.0103931488829799,18209,373
1,1,17,-0.0255066380609563,0.0141408207009475,18209,373
1,1,18,-0.0639036042824411,0.0412444789333668,18209,373
1,1,19,0.0469222148797547,0.0453298596079352,18209,373
1,1,20,-0.00186779952769682,0.0189797180194671,18209,373
1,1,21,-0.0984606407443068,0.0298444353356598,18209,373
1,1,22,-0.0191694546681012,0.0108671254066222,18209,373
1,1,23,0.00504743655117078,0.00672479464327287,18209,373
1,1,24,0.0107037027884726,0.00587060492965351,18209,373
1,1,25,0.0100610999314689,0.00771195835791855,18209,373
1,1,26,-0.0655911252465889,0.0204258895800815,18209,373
1,1,27,0.00187442708731892,0.00867352227718789,18209,373
1,1,28,-0.00838889439252158,0.0125665498790913,18209,373
1,1,29,-0.00123361080714382,0.00999871471760537,18209,373
1,2,-22,-0.0889796680518414,0.029857769785305,18209,373
1,2,-21,-0.0315002033758761,0.021555584240571,18209,373
1,2,-20,-0.00621446748132016,0.0232617755348091,18209,373
