age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,-22,-0.148944575773811,0.0527873133701263,17412,369
1,1,-21,0.000360374325580736,0.0321057507378272,17412,369
1,1,-20,0.0565877064787609,0.022368582094339,17412,369
1,1,-19,-0.0407776788254713,0.0180607435744967,17412,369
1,1,-18,-0.0368996741095964,0.0169843506575931,17412,369
1,1,-17,-0.0845748806961566,0.0219031153675014,17412,369
1,1,-16,-0.175145179154326,0.0351146656065876,17412,369
1,1,-15,-0.256336851046667,0.0622185844778039,17412,369
1,1,-14,-0.0215808672707354,0.038371922751945,17412,369
1,1,-13,-0.0203233771844262,0.016908441682943,17412,369
1,1,-12,-0.0240395230012128,0.022602230172638,17412,369
1,1,-11,-0.0354960219858431,0.0157993088632925,17412,369
1,1,-10,-0.159760278041058,0.039233820256523,17412,369
1,1,-9,-0.0269442003713157,0.0149885059046291,17412,369
1,1,-8,0.0217629446759961,0.013841414974018,17412,369
1,1,-7,-0.0366476664080802,0.0139113678066187,17412,369
1,1,-6,-0.0453678205692461,0.0174079351406834,17412,369
1,1,-5,-0.0392331548672927,0.013667776761435,17412,369
1,1,-4,-0.150977782431558,0.0308797229761042,17412,369
1,1,-3,-0.231101917850625,0.0544148389300392,17412,369
1,1,-2,-0.024226775052391,0.0129141415537658,17412,369
1,1,-1,0,0,17412,369
1,1,0,0.0128499552675394,0.0101190608747215,17412,369
1,1,1,-0.00847042249381543,0.0116902054507602,17412,369
1,1,2,-0.10715776563251,0.0326359002880386,17412,369
1,1,3,0.0104186291448572,0.0146674321950288,17412,369
1,1,4,0.034034033864348,0.0176232825401092,17412,369
1,1,5,-0.0154127318598681,0.0134601475771451,17412,369
1,1,6,-0.0258680417241198,0.0159207984739354,17412,369
1,1,7,-0.00182861794992639,0.0113126214053976,17412,369
1,1,8,-0.124946050613619,0.0295354324134452,17412,369
1,1,9,-0.182257564531586,0.0538947572804512,17412,369
1,1,10,-0.0206866095232214,0.0158371426083493,17412,369
1,1,11,0.00574247624308196,0.010698472824941,17412,369
1,1,12,0.0243305661383798,0.00946623533095688,17412,369
1,1,13,-0.0117158500010781,0.0122541768749832,17412,369
1,1,14,-0.0822418767827932,0.035792952336596,17412,369
1,1,15,0.0310153056943007,0.0144762624081069,17412,369
1,1,16,0.0374387761057525,0.0184198382904313,17412,369
1,1,17,0.00362827280620371,0.0173371306554205,17412,369
1,1,18,0.00419376021451938,0.0149378518052419,17412,369
1,1,19,-0.00790287034434978,0.0124497427050543,17412,369
1,1,20,-0.112190453921686,0.0305293910304346,17412,369
1,1,21,-0.165833227671776,0.0510721629695677,17412,369
1,1,22,-0.00421697879436305,0.0179705055595029,17412,369
1,1,23,0.0455668115986104,0.0131863300289477,17412,369
1,1,24,0.0426225337472918,0.0119505737983579,17412,369
1,1,25,0.0107385068400416,0.0127759616674839,17412,369
1,1,26,-0.0722660181495975,0.0289502884470743,17412,369
1,1,27,0.0243502451446979,0.0175619850712488,17412,369
1,1,28,0.0421018183897131,0.0188473330382645,17412,369
1,1,29,0.00864727204464942,0.0202150111472402,17412,369
1,2,-22,-0.148046999327205,0.052701656372841,17412,369
1,2,-21,-0.0406738324696867,0.0289846600577957,17412,369
1,2,-20,0.035983018200602,0.0273611913744941,17412,369
1,2,-19,-0.0339045172064779,0.0273773488235689,17412,369
1,2,-18,-0.0267824609288166,0.0316647988359518,17412,369
1,2,-17,-0.0447774161275149,0.0279572174065133,17412,369
1,2,-16,-0.0771117185071032,0.0416348951946211,17412,369
1,2,-15,-0.144018521001434,0.074301487395053,17412,369
1,2,-14,-0.0621731669497361,0.0321352334754625,17412,369
1,2,-13,-0.043182659566707,0.0187689655522849,17412,369
1,2,-12,-0.0607196838789932,0.0321204916492087,17412,369
1,2,-11,-0.0290995867909497,0.0200410353329943,17412,369
1,2,-10,-0.121028654128074,0.0407675536834731,17412,369
1,2,-9,0.00235444412894708,0.0221272022535679,17412,369
1,2,-8,0.0448756166371129,0.014845693108655,17412,369
1,2,-7,0.0212920112109494,0.0191417263398142,17412,369
1,2,-6,-0.00229090586902078,0.0184136231884602,17412,369
1,2,-5,0.0264361025153777,0.0193876181290037,17412,369
1,2,-4,-0.0534468098799888,0.0361841477045884,17412,369
1,2,-3,-0.137447968096997,0.0634142805484751,17412,369
1,2,-2,-0.0414915701008849,0.0190970927787045,17412,369
1,2,-1,0,0,17412,369
1,2,0,0.00127481014680918,0.00890535751479436,17412,369
1,2,1,-0.0391178300789483,0.0314153347795802,17412,369
1,2,2,-0.0813265160128177,0.0330072619495684,17412,369
1,2,3,0.020908082388243,0.0201378592967959,17412,369
1,2,4,0.0420614156690403,0.0170931203837072,17412,369
1,2,5,0.0134902338303894,0.0167833595756719,17412,369
1,2,6,0.0142633057536909,0.0217095435879099,17412,369
1,2,7,0.0229216871383301,0.0156106956966308,17412,369
1,2,8,-0.0455746845704645,0.0341875026562421,17412,369
1,2,9,-0.141295416307507,0.0654143945001487,17412,369
1,2,10,-0.0425473470925893,0.0227509488978131,17412,369
1,2,11,-0.0106026163497448,0.0139204007282694,17412,369
1,2,12,0.011768849822871,0.0147565337384224,17412,369
1,2,13,0.0131779181571032,0.0156593757527786,17412,369
1,2,14,-0.0477396507494714,0.0344548195167013,17412,369
1,2,15,0.040669121873137,0.0207452837585881,17412,369
1,2,16,0.0521290360604193,0.0185269728984724,17412,369
1,2,17,0.0310873589914995,0.0172749244979813,17412,369
1,2,18,0.0219102188166741,0.019273645559628,17412,369
1,2,19,0.0163872457352964,0.0197377324806782,17412,369
1,2,20,-0.0426129853313566,0.0368924101725716,17412,369
1,2,21,-0.158501264085404,0.0661811652312173,17412,369
1,2,22,-0.0259227535348591,0.0247179167270631,17412,369
1,2,23,0.021766201568019,0.0146761468198443,17412,369
1,2,24,0.00224392609284731,0.0179334158726699,17412,369
1,2,25,0.00923533222743188,0.0157494348812457,17412,369
1,2,26,-0.0503820724615601,0.0277166947628981,17412,369
1,2,27,0.0230647449664851,0.0171747029050454,17412,369
1,2,28,0.0429503874639598,0.0199469657662085,17412,369
1,2,29,0.0154656603440904,0.0226252588168686,17412,369
1,4,-22,-0.192099369679798,0.0508151100537694,17412,369
1,4,-21,-0.042924692485238,0.0386758490153764,17412,369
1,4,-20,0.00148171019325961,0.0354697855008072,17412,369
1,4,-19,-0.0755943490896683,0.0308881678220445,17412,369
1,4,-18,-0.0731176667399309,0.0371572472132093,17412,369
1,4,-17,-0.105811829913334,0.0289092046508634,17412,369
1,4,-16,-0.0784928430596789,0.046367374896541,17412,369
1,4,-15,-0.11727666138488,0.0641752331193738,17412,369
1,4,-14,-0.0485642715245019,0.0359437745513822,17412,369
1,4,-13,-0.0501868533809696,0.0232895597563448,17412,369
1,4,-12,-0.0718819157578139,0.0279718513348341,17412,369
1,4,-11,-0.040323593988547,0.0219142607110462,17412,369
1,4,-10,-0.125636825790191,0.0407279405612272,17412,369
1,4,-9,0.010528057568365,0.019618490406017,17412,369
1,4,-8,0.00723172393503458,0.0159674093481568,17412,369
1,4,-7,-0.0233585273193875,0.0208977910256134,17412,369
1,4,-6,-0.0548424321257561,0.0234627241558934,17412,369
1,4,-5,-0.0310429750865981,0.0195683610834938,17412,369
1,4,-4,-0.0168132759690973,0.0362424458372881,17412,369
1,4,-3,-0.0942981163145485,0.0527076027716834,17412,369
1,4,-2,0.0108811931784276,0.0213569174511841,17412,369
1,4,-1,0,0,17412,369
1,4,0,-0.00810742996863183,0.0192893181190464,17412,369
1,4,1,-0.0276910841096638,0.0214660561799691,17412,369
1,4,2,-0.0994163635417427,0.0422926213068457,17412,369
1,4,3,0.0343169889127872,0.0157345995331839,17412,369
1,4,4,0.0128380203754222,0.0190219302975709,17412,369
1,4,5,-0.016695304965528,0.0180918407874143,17412,369
1,4,6,-0.040165015112893,0.0229069787545107,17412,369
1,4,7,-0.0554022580853335,0.0287859075487572,17412,369
1,4,8,0.00218495935670682,0.0349305253558439,17412,369
1,4,9,-0.063792193131485,0.0577895363301608,17412,369
1,4,10,0.0268665032761981,0.0240518219343566,17412,369
1,4,11,-0.0157882408795361,0.0175953871476742,17412,369
1,4,12,-0.0294079073549078,0.016362582024429,17412,369
1,4,13,-0.0508041889325853,0.0223246676838098,17412,369
1,4,14,-0.091497157747209,0.0417342541370765,17412,369
1,4,15,0.0284634101394268,0.0226696555324506,17412,369
1,4,16,0.0182344590097534,0.0214591060981297,17412,369
1,4,17,-0.0348404921368365,0.0201579152403134,17412,369
1,4,18,-0.0116117590180666,0.0229850004438296,17412,369
1,4,19,-0.0293030242506958,0.0208620115232072,17412,369
1,4,20,0.0150177842825651,0.0368649719193677,17412,369
1,4,21,-0.0605056001843512,0.0497933021084665,17412,369
1,4,22,0.0340037646440162,0.0275356741075432,17412,369
1,4,23,0.00882463735118198,0.0203319892307281,17412,369
1,4,24,0.0156976930573982,0.01806672669173,17412,369
1,4,25,-0.00539748910495482,0.020644638220442,17412,369
1,4,26,-0.0754011229652828,0.0380100276006445,17412,369
1,4,27,0.0402791656831759,0.0186168400992402,17412,369
1,4,28,0.03691187137221,0.0226966941287697,17412,369
1,4,29,-0.0072221425209557,0.026498545922664,17412,369
1,5,-22,-0.117812787679905,0.0493496927549188,17412,369
1,5,-21,0.0215385246082808,0.0244280400806794,17412,369
1,5,-20,0.0368426126440661,0.0273710428572781,17412,369
1,5,-19,-0.000106254939815767,0.0231824916440479,17412,369
1,5,-18,-0.0212252418956936,0.0220024794696349,17412,369
1,5,-17,-0.0733691225133406,0.0250448859283493,17412,369
1,5,-16,0.015083940249422,0.0341934233040888,17412,369
1,5,-15,-0.0231193770909227,0.05408880931227,17412,369
1,5,-14,-0.0222809195590094,0.0246745168132416,17412,369
1,5,-13,-0.0406086910305747,0.0215599838442869,17412,369
1,5,-12,-0.0523785347089225,0.0274703035556477,17412,369
1,5,-11,-0.0438806752220202,0.0224049643390351,17412,369
1,5,-10,-0.0755583778438534,0.0407458997297232,17412,369
1,5,-9,0.0507819197898794,0.0208244190634337,17412,369
1,5,-8,0.0303590078644477,0.0159679044198072,17412,369
1,5,-7,-0.00390631702414997,0.0203042023590647,17412,369
1,5,-6,-0.0456545798885012,0.0195448225506697,17412,369
1,5,-5,-0.0325836530583816,0.018769253737572,17412,369
1,5,-4,0.0703954289261905,0.0328031596900636,17412,369
1,5,-3,0.0262653271763152,0.0485034400978461,17412,369
1,5,-2,0.0206762158738806,0.0184599762006317,17412,369
1,5,-1,0,0,17412,369
1,5,0,-0.0125296222105376,0.0125649430828635,17412,369
1,5,1,-0.0445144909738869,0.0158298007152813,17412,369
1,5,2,-0.0890668387633935,0.0345246581450438,17412,369
1,5,3,0.055385885676389,0.0174758976910998,17412,369
1,5,4,0.0290159503972616,0.0157531375955669,17412,369
1,5,5,0.0140554596617387,0.0144927741706695,17412,369
1,5,6,-0.0446471817108034,0.0215813070567679,17412,369
1,5,7,-0.0450598055161642,0.0176192991830348,17412,369
1,5,8,0.0517729638667829,0.0328844789678973,17412,369
1,5,9,0.00493412313879811,0.0574743583015738,17412,369
1,5,10,-0.00617785803575794,0.0273784440981709,17412,369
1,5,11,-0.0620216102279913,0.0178719586294577,17412,369
1,5,12,-0.042878883282431,0.017893622704328,17412,369
1,5,13,-0.105590694557564,0.0316304022598632,17412,369
1,5,14,-0.153602679232017,0.0347564696555176,17412,369
1,5,15,0.0186209414276399,0.0216201246857597,17412,369
1,5,16,0.00769790521377423,0.0190560354777523,17412,369
1,5,17,-0.0367825617490839,0.0184365051814505,17412,369
1,5,18,-0.0597786995623436,0.0205192852471639,17412,369
1,5,19,-0.0891784983594657,0.0242381149452012,17412,369
1,5,20,0.0315576119107615,0.0384379256368398,17412,369
1,5,21,0.0464360973931644,0.055297820864182,17412,369
1,5,22,-0.010965987313053,0.0275612639667852,17412,369
1,5,23,-0.00523482343623043,0.0205270925509771,17412,369
1,5,24,-0.00597383361572025,0.0208562570888607,17412,369
1,5,25,-0.0836045307717065,0.0256180406787066,17412,369
1,5,26,-0.122939512169273,0.0320522530050406,17412,369
1,5,27,0.0400373460953709,0.0274206364110848,17412,369
1,5,28,0.0243284221719233,0.0292229055241384,17412,369
1,5,29,-0.0339306186050035,0.0272736485494537,17412,369
2,1,-22,-0.0453616498324079,0.0473730785918863,17547,371
2,1,-21,0.00592508620961624,0.0231906280472864,17547,371
2,1,-20,0.063222689926519,0.0240165649731509,17547,371
2,1,-19,-0.0153647808654344,0.0160359082048086,17547,371
2,1,-18,-0.0122066699740782,0.019865881936059,17547,371
2,1,-17,-0.0180619436911259,0.0206719174375311,17547,371
2,1,-16,-0.030937219632132,0.020967597435374,17547,371
2,1,-15,-0.0739896978431518,0.0413898734015986,17547,371
2,1,-14,0.0213252937980737,0.0176676446980584,17547,371
2,1,-13,0.0325106506407692,0.0194678604908405,17547,371
2,1,-12,0.0286226879888935,0.0200773799268394,17547,371
2,1,-11,-0.0175783450349554,0.0177920325261987,17547,371
2,1,-10,-0.112914840983799,0.0325164085687269,17547,371
2,1,-9,-0.0285539371290852,0.0199499378530654,17547,371
2,1,-8,0.0015674867783044,0.0146006629142169,17547,371
2,1,-7,-0.0303184516430364,0.0110959796876881,17547,371
2,1,-6,-0.031313429781405,0.0188020698167355,17547,371
2,1,-5,0.00114107031882242,0.0131332970052729,17547,371
2,1,-4,-0.0572335937158055,0.0200099187364559,17547,371
2,1,-3,-0.10787427135621,0.035359040595805,17547,371
2,1,-2,-0.0121438823179483,0.0116819066138329,17547,371
2,1,-1,0,0,17547,371
2,1,0,0.0214534578657612,0.0116585244070682,17547,371
2,1,1,-0.00338121518713199,0.0111635673943971,17547,371
2,1,2,-0.0768922932337702,0.0278978484033524,17547,371
2,1,3,0.00695447926534204,0.0136496740313599,17547,371
2,1,4,0.0160243905152627,0.0164974782729612,17547,371
2,1,5,-0.016222134875915,0.0149034112483377,17547,371
2,1,6,-0.0323081810804629,0.0226274641994413,17547,371
2,1,7,0.00677601333223084,0.0116764884075435,17547,371
2,1,8,-0.0441912388472153,0.0207751682003603,17547,371
2,1,9,-0.102660013756657,0.0357272740822572,17547,371
2,1,10,0.00416103258218724,0.0214910186785158,17547,371
2,1,11,0.00181761419727959,0.0107241344202382,17547,371
2,1,12,0.0239688078459618,0.0162458596126697,17547,371
2,1,13,-0.0068556157754699,0.0125792444326323,17547,371
2,1,14,-0.0479770800018363,0.0305979389734402,17547,371
2,1,15,0.0183317632685859,0.0145020668847877,17547,371
2,1,16,0.00300539592668062,0.016194449619649,17547,371
2,1,17,-0.000278893571515761,0.017722226558165,17547,371
2,1,18,-0.0199166995081394,0.0157445463140505,17547,371
2,1,19,-0.00436985812223662,0.0170781088595454,17547,371
2,1,20,-0.0305413126176937,0.023528136180907,17547,371
2,1,21,-0.0958649331646916,0.0358564347131007,17547,371
2,1,22,-0.00379871037365537,0.0182164865851309,17547,371
2,1,23,0.0178406821044484,0.0157024440279966,17547,371
2,1,24,0.0146549822218979,0.0160469519814295,17547,371
2,1,25,-0.000342543343807393,0.0151334040445736,17547,371
2,1,26,-0.0506090797586091,0.0269652699811493,17547,371
2,1,27,-0.00296652086500705,0.0190083298349362,17547,371
2,1,28,-0.00442365363986477,0.0203292533028718,17547,371
2,1,29,-0.015730769438466,0.0177521504849045,17547,371
2,2,-22,-0.0766018005518827,0.0490300649301636,17547,371
2,2,-21,-0.0573736059009948,0.0359762940284517,17547,371
2,2,-20,0.00920678887826317,0.0351005804679651,17547,371
2,2,-19,-0.0337884965406098,0.0220045366249394,17547,371
2,2,-18,-0.0329164529229525,0.0284329283390962,17547,371
2,2,-17,-0.0295771714179422,0.026858181396498,17547,371
2,2,-16,-0.0130539190327944,0.0208140876507065,17547,371
2,2,-15,-0.0678688364179468,0.0499616239609122,17547,371
2,2,-14,-0.0444143779701468,0.0323635326595184,17547,371
2,2,-13,-0.022047683741731,0.0269433153043435,17547,371
2,2,-12,-0.042625865082281,0.0380066091066552,17547,371
2,2,-11,-0.0296621473856884,0.0262959268010311,17547,371
2,2,-10,-0.0771190466780235,0.0432462366272254,17547,371
2,2,-9,0.00622637038506637,0.0298501457801627,17547,371
2,2,-8,0.0286189990538797,0.0213390031982572,17547,371
2,2,-7,0.0105110114928504,0.0219373467457088,17547,371
2,2,-6,0.000810928147012856,0.0268702563635535,17547,371
2,2,-5,0.0343817207509134,0.0209210526989641,17547,371
2,2,-4,-0.0167341733387345,0.0227165397533802,17547,371
2,2,-3,-0.0479630377743534,0.0526851777230932,17547,371
2,2,-2,-0.0317206451902485,0.0207427912222304,17547,371
2,2,-1,0,0,17547,371
2,2,0,0.0120404998116451,0.0111318516636371,17547,371
2,2,1,-0.0458237150575571,0.0456414162102297,17547,371
2,2,2,-0.0405601700190073,0.0370563788931847,17547,371
2,2,3,0.0178464169163572,0.0177888702167961,17547,371
2,2,4,0.0137894009132927,0.0175674707852414,17547,371
2,2,5,0.00536608643158115,0.0197643526665838,17547,371
2,2,6,0.00244133448011784,0.0301168874959982,17547,371
2,2,7,0.0165443077226956,0.0165338408646151,17547,371
2,2,8,-0.0129214218938993,0.0226603551165185,17547,371
2,2,9,-0.091276446371744,0.0514497205807358,17547,371
2,2,10,-0.0545432869143953,0.0388594055498718,17547,371
2,2,11,-0.0269724755704845,0.0253291064985683,17547,371
2,2,12,0.024899593865556,0.0205263654285316,17547,371
2,2,13,0.00779850885217932,0.0180681416519575,17547,371
2,2,14,-0.0140266185909434,0.0383887260776562,17547,371
2,2,15,0.04148497784392,0.0232217573285468,17547,371
2,2,16,0.044877415616604,0.0220614638342516,17547,371
2,2,17,0.0323533521428388,0.0240525975418675,17547,371
2,2,18,0.0140208695676772,0.0232102791450406,17547,371
2,2,19,0.00749664486371116,0.0218459388580302,17547,371
2,2,20,-0.00720503141799611,0.0286782838183495,17547,371
2,2,21,-0.145967051869509,0.0628569180545558,17547,371
2,2,22,-0.0271337230047994,0.0257552334297207,17547,371
2,2,23,0.0141803087023697,0.0205717627808451,17547,371
2,2,24,-0.0256483959854678,0.0254213857988618,17547,371
2,2,25,-0.00767627029433884,0.0217058805326836,17547,371
2,2,26,-0.0395408545285761,0.0390932020922872,17547,371
2,2,27,0.0044662491548452,0.0230179194574173,17547,371
2,2,28,0.0217870483597992,0.0310467854824272,17547,371
2,2,29,0.00256917149275387,0.0237810466297914,17547,371
2,4,-22,-0.116944635695687,0.0528816616755007,17547,371
2,4,-21,-0.0498455203342716,0.0336099106012717,17547,371
2,4,-20,-0.0233819828302014,0.0388385083521658,17547,371
2,4,-19,-0.0984207577222426,0.0304819486495111,17547,371
2,4,-18,-0.108177206777286,0.0394715817827243,17547,371
2,4,-17,-0.100514259983774,0.0427894793404638,17547,371
2,4,-16,-0.0826865972001071,0.0309361693178896,17547,371
2,4,-15,-0.135053976858177,0.0457623072441089,17547,371
2,4,-14,-0.095929265606256,0.0345118741697395,17547,371
2,4,-13,-0.0943007004092494,0.0319707643485335,17547,371
2,4,-12,-0.0665995624392534,0.032582338227406,17547,371
2,4,-11,-0.0110228506907672,0.0259477575520389,17547,371
2,4,-10,-0.0998458026806589,0.0344294124998376,17547,371
