age_group,k,coef,se,n_obs,n_occ
1,-22,0.0145206285454874,0.0174997347886308,20436,393
1,-21,0.00487499341422526,0.0180777848943745,20436,393
1,-20,0.00246383871086277,0.0179541317838342,20436,393
1,-19,0.00751131309214799,0.0186076007233471,20436,393
1,-18,-0.00399900440192697,0.0175282661082563,20436,393
1,-17,-0.0311786863305913,0.0131946635490279,20436,393
1,-16,-0.0274423006154933,0.0112261482419525,20436,393
1,-15,-0.0285206209001754,0.00896346394078589,20436,393
1,-14,-0.0235553064530522,0.00725689317708844,20436,393
1,-13,-0.0216133121599752,0.00682003705109877,20436,393
1,-12,-0.021453613281672,0.00706058843974119,20436,393
1,-11,-0.0189931230160055,0.00802275280535122,20436,393
1,-10,0.0126213389620206,0.0102004182072569,20436,393
1,-9,0.00339332790425061,0.00942367480179142,20436,393
1,-8,-0.00149938192387341,0.00704383093755201,20436,393
1,-7,-0.00756807062520477,0.00634895572708161,20436,393
1,-6,-0.0153969247539214,0.00598701418316513,20436,393
1,-5,-0.033042169579867,0.00826658183919851,20436,393
1,-4,-0.01969559957883,0.00889867226120408,20436,393
1,-3,-0.0137093801126791,0.00640104029391569,20436,393
1,-2,-0.00345646986368641,0.00332322011150794,20436,393
1,-1,0,0,20436,393
1,0,0.00732595007806569,0.00227686959424695,20436,393
1,1,0.00221451080711014,0.00443333861254242,20436,393
1,2,0.0295791095822121,0.00666883447600355,20436,393
1,3,0.0217718085907249,0.00529767248460446,20436,393
1,4,0.0205517117507765,0.0049574129170544,20436,393
1,5,0.0151726882931874,0.00535203986406716,20436,393
1,6,0.0070590910978815,0.00521538433698199,20436,393
1,7,-0.00833947312681109,0.00680565573084944,20436,393
1,8,-0.000197374184701179,0.00832021142590048,20436,393
1,9,-0.00219689253177396,0.00744236093121149,20436,393
1,10,0.00739952030384282,0.00612786865996116,20436,393
1,11,0.0126034105492298,0.00597169495351089,20436,393
1,12,0.0142691458052172,0.00604714275918812,20436,393
1,13,0.0115711620384379,0.0072093516944439,20436,393
1,14,0.0320377253635306,0.00967233497911826,20436,393
1,15,0.0257606991712637,0.00868488204443424,20436,393
1,16,0.0231189182099063,0.00895632044790241,20436,393
1,17,0.0162460953161484,0.00898881038974175,20436,393
1,18,0.00727051516953632,0.00857697001057604,20436,393
1,19,-0.00700735558983955,0.0099989241191228,20436,393
1,20,-0.00611385276294148,0.0110669215912728,20436,393
1,21,-0.00589494032266013,0.0101496721574658,20436,393
