age_bin,ai_q,k,coef,se,n_obs,n_occ
1,2,-22,0.011468064684640546,0.060184114355839174,24366,393
1,2,-21,-0.006739429555115373,0.07527179429479834,24366,393
1,2,-20,-0.017370818958179438,0.07113191319895379,24366,393
1,2,-19,-0.015262739036463425,0.0789033144342514,24366,393
1,2,-18,-0.009433335966318235,0.07762173447468176,24366,393
1,2,-17,0.007503691855506947,0.05046826444714935,24366,393
1,2,-16,0.014368602897801156,0.056267392214204626,24366,393
1,2,-15,0.014172111664698428,0.06941565729892649,24366,393
1,2,-14,0.032219043465098074,0.048284427538854695,24366,393
1,2,-13,0.005730408372891414,0.015917695829629843,24366,393
1,2,-12,0.012676156730490051,0.016091914260467896,24366,393
1,2,-11,0.027885628496415592,0.019508055625903593,24366,393
1,2,-10,0.023528737482741924,0.041246825570426096,24366,393
1,2,-9,0.02520848656045413,0.03663571092316536,24366,393
1,2,-8,0.005991019620231263,0.024565374926282465,24366,393
1,2,-7,0.015892778717521518,0.020901571762151606,24366,393
1,2,-6,0.02406684078283171,0.017012748380699192,24366,393
1,2,-5,0.034749219142677534,0.018233523565611837,24366,393
1,2,-4,0.013823642928824266,0.0350677693769402,24366,393
1,2,-3,0.013956840734381155,0.05513701823091916,24366,393
1,2,-2,0.03322094802551607,0.03866306186432006,24366,393
1,2,-1,0.0,0.0,24366,393
1,2,0,0.00689089520604908,0.01315388694910027,24366,393
1,2,1,0.031351295190794985,0.02504866644550646,24366,393
1,2,2,0.03301952798626225,0.02267282744561852,24366,393
1,2,3,0.041290131947911694,0.025274962213437474,24366,393
1,2,4,0.03671143196186372,0.02833555172688628,24366,393
1,2,5,0.035293407797168275,0.028208392969767442,24366,393
1,2,6,0.048492156726370465,0.023304409561804604,24366,393
1,2,7,0.06058248208551538,0.022064076896190766,24366,393
1,2,8,0.048381882742461066,0.03391405799218826,24366,393
1,2,9,0.022441439856331083,0.049264118488289745,24366,393
1,2,10,0.030367654862967487,0.02369878990293666,24366,393
1,2,11,0.014551364083851112,0.015512386296793301,24366,393
1,2,12,0.028061167505956226,0.023595604236459327,24366,393
1,2,13,0.04971906110250221,0.03195439817327431,24366,393
1,2,14,0.05449434582450128,0.03065844541768642,24366,393
1,2,15,0.05500903198390124,0.034417659129833106,24366,393
1,2,16,0.05289567847661786,0.03786590702130102,24366,393
1,2,17,0.06084260314207855,0.035585857732344586,24366,393
1,2,18,0.06297934289532615,0.033707980711548464,24366,393
1,2,19,0.0667900067963472,0.03191523496147969,24366,393
1,2,20,0.06766414259597392,0.038392597702262096,24366,393
1,2,21,0.0433825784288589,0.04943610953254484,24366,393
1,2,22,0.04834804362805487,0.029613122592503358,24366,393
1,2,23,0.0293283564027836,0.025252362634049792,24366,393
1,2,24,0.03882148652905925,0.03211467722264331,24366,393
