basis,ai_q,mean_change,se,n_occ,n_emp
sa,1,0.0011540722811613753,0.014673130111250208,78,327742
sa,2,0.03485879641696398,0.05202406659761714,73,267751
sa,3,0.011556563521805428,0.02177668395266588,78,346670
sa,4,0.029412886593362317,0.015546656417895984,79,317716
sa,5,0.0006917898158192472,0.01946263291234719,76,320362
sa,Q5mQ1,-0.00046228246534212817,0.024374060538664002,384,1580241
raw,1,-0.04262224208592222,0.016281711225663204,78,327742
raw,2,-0.013873849984163113,0.04879513793879573,73,267751
raw,3,-0.005019818092583908,0.019430417835747706,78,346670
raw,4,0.015359048927806712,0.014946919790083238,79,317716
raw,5,-0.006728014584599347,0.01984988806372362,76,320362
raw,Q5mQ1,0.03589422750132287,0.025673180102555364,384,1580241
