vintage,cutoff,g1,g5,ki,se,ci_lo,ci_hi,n_post_months
1,2025-01,-0.5202273048744765,1.038694721922151,1.5670743755861194,1.78276970308518,-1.6911153895479838,5.333091303643857,27
2,2025-02,-0.10660009002573245,1.2396662484234877,1.3477029910509586,1.8539044302698438,-2.163126214110914,5.238705609796694,28
3,2025-03,0.317168930958589,1.3040809439435863,0.98379173126808,1.892003660186053,-2.4859679370160364,4.901721025383827,29
4,2025-04,0.01996805271211599,1.066817574485901,1.0466405280414426,1.9883732951567648,-2.5831564957328843,5.018590511344474,30
5,2025-05,0.17661903750041397,1.021640844293903,0.8435319687492671,2.025597313194422,-2.850130326036645,5.167670071326345,31
6,2025-06,0.5153625006384388,1.6191666105606295,1.0981446840180098,2.09466905023098,-2.8376795678265987,5.150153804222405,32
7,2025-07,1.0304527596123103,1.7608636380323617,0.7229611057548713,2.1208661359607834,-3.081336599674184,4.864219599333514,33
8,2025-08,0.9887924941200277,1.4312788771467577,0.43815394965980303,2.2187428264608715,-3.6859816280338182,5.199791804885593,34
9,2025-09,0.47395787553394797,0.4798516363940353,0.0058659586869236335,2.2271913024984635,-4.118333706415172,4.83482254525892,35
10,2025-10,-0.21592011811852885,0.07545766525203224,0.2920082880109476,2.252554029163048,-3.7856535839697556,5.014780162266125,36
11,2025-11,-0.4728978492344216,-0.10202950889919293,0.37263050196461034,2.320257734365017,-3.7667880028174108,5.1541033692360205,37
12,2025-12,-0.33274904275574224,-0.23426723129771343,0.09881060279295362,2.2534306728747073,-3.8966357272950445,4.658849258174884,38
13,2026-01,0.28663558214521156,-0.07806477650617039,-0.36365798546771355,2.464803578961366,-4.736331988956571,4.88316172998299,39
14,2026-02,0.4193234018629255,0.07178526825293297,-0.3460869102047237,2.3767940759399986,-4.644528226091819,4.664204050505582,40
15,2026-03,0.38015623860143677,0.2655772745395968,-0.11414503459178382,2.404759478125041,-4.274018070180604,4.727056649383946,41
16,2026-04,-0.49264732120852806,-0.09075161373885976,0.4038854382620194,2.474953947357671,-4.222134925206841,5.405058025700767,42
17,2026-05,-0.8704018473091435,-0.16511688022587956,0.7114776819703295,2.446721676402336,-3.809504460577678,5.760223357699937,43
18,2026-06,-1.119872977011871,0.473736582822859,1.611658083190215,2.565332658850652,-3.103033004597384,6.812213360534881,44
