vintage,cutoff,g1,g5,ki,se,ci_lo,ci_hi,n_post_months
1,2025-04,0.18986558767974948,-0.09289059409687273,-0.28222034246484506,0.5629036255796873,-1.3628005224313393,0.8713519099923426,3
2,2025-05,0.3467826654961259,-0.13754893631257037,-0.4826578281270866,0.6900082242036226,-1.7956682515417648,0.9430521434516889,4
3,2025-06,0.6861015305313245,0.45312042021743437,-0.23139351586002332,0.7566988118623346,-1.7067456566442052,1.33298883699142,5
4,2025-07,1.2020667404473828,0.5931915213548189,-0.6016430678773999,0.8513409972550458,-2.2472057134834835,1.1210911543593018,6
5,2025-08,1.1603357093214806,0.2673886361491906,-0.8827047349250772,0.8729055882837947,-2.5959309439403353,0.791211305774772,7
6,2025-09,0.6446265740332136,-0.673121292973522,-1.3093077214980875,0.8844080872921832,-3.053772031932061,0.4485239579613252,8
7,2025-10,-0.046423271328777105,-1.0728749775910762,-1.026928440038366,0.8824133061139918,-2.7107876845894703,0.6903597636236567,9
8,2025-11,-0.3038375141123706,-1.2483255453602848,-0.9473664860286002,0.9726081844691254,-2.724216793881677,1.101910114125627,10
9,2025-12,-0.1634506458025098,-1.3790458838088604,-1.2175853891881805,1.0114809101135358,-3.017924167647019,0.9212934513537939,11
10,2026-01,0.4569860882223997,-1.2246358003130786,-1.6739720690591486,1.104989342942545,-3.735519807157735,0.593372523236458,12
11,2026-02,0.5898992962693805,-1.0765052350541815,-1.6566320703985116,1.2134013872996026,-3.7688621317025057,0.7304869877347105,13
12,2026-03,0.5506656022478795,-0.8849369276836216,-1.4277404543599603,1.1271188952182332,-3.5772013940664893,0.8023280158602355,14
13,2026-04,-0.3236205332538211,-1.237177060301664,-0.916522582316126,1.2528769892335307,-3.201699026916408,1.6977688445441224,15
14,2026-05,-0.7020167268540045,-1.3106890100515578,-0.6129754735534121,1.188391552861231,-2.680031589040808,1.8147774208255787,16
15,2026-06,-0.9519116172397979,-0.6791661783356884,0.27536668638179496,1.2569245070830233,-2.1102901778863488,2.841340388531439,17
