vintage,cutoff,g1,g5,ki,se,ci_lo,ci_hi,n_post_months
1,2025-01,-1.262710792150512,1.0419794841004526,2.334164017202678,1.6992551127363187,-0.3373404921821904,6.389052638902461,27
2,2025-02,-0.4721895934686082,1.1676593874582863,1.6476289131939659,1.8240015763365225,-1.5299098342021558,5.588903908543046,28
3,2025-03,0.18107396001443288,1.2702954773177622,1.0872527856290226,1.9350988010301733,-2.513284702899643,5.346229344811765,29
4,2025-04,-0.25988131068775955,1.105020661281375,1.3684583394378835,1.8449642058674693,-2.061115529846277,5.25526251613884,30
5,2025-05,-0.2561842661570557,1.1589435090280764,1.4187624212826044,1.8744422992819714,-2.1056242964222633,5.1052045380408675,31
6,2025-06,0.048182171120525474,1.8566164893276227,1.807563394919054,2.0405056600808673,-1.9396473592916788,6.082059160922244,32
7,2025-07,0.42337683891553457,2.0396052048088587,1.6094144777523578,2.011547442912564,-1.891092573684172,6.034666987322581,33
8,2025-08,0.17044452531973509,1.7187322875400923,1.5456532808227674,1.9860044425096206,-2.108921386889409,5.547797412173887,34
9,2025-09,-0.4508811567488391,0.6964873112899284,1.1525651671969062,1.9908575079617226,-2.3846220418621638,5.071468789971767,35
10,2025-10,-1.1570547503620077,0.28216606256301624,1.4560683205970149,2.0703174789592818,-2.057871491214117,6.121181882595734,36
11,2025-11,-1.1884149583124337,0.08944686919820644,1.2932307754920824,2.20925851190363,-2.3716889564931107,6.097152606033937,37
12,2025-12,-0.8032985523162894,-0.046853325261531076,0.7625709484439858,2.27056706252116,-3.3765152766960678,5.536613395417454,38
13,2026-01,0.2758503326876882,0.046406316205027665,-0.22881283551465792,2.4223718557527487,-4.6108621549832,5.188166786538846,39
14,2026-02,0.7733562928600168,0.15624617755445325,-0.6123742802732091,2.3104104273642037,-4.755562735056488,4.218901109525207,40
15,2026-03,0.8058333778923066,0.35408832946290936,-0.44813383639806803,2.5019130540943118,-4.983457048258484,4.674666658322675,41
16,2026-04,-0.31804862036872716,0.09001208201921962,0.40936267472722054,2.363802596334605,-4.057001200857045,5.223903915065482,42
17,2026-05,-1.0567423391963482,0.05342994887422847,1.1220292461730619,2.4416601634039594,-3.244752407922018,6.24567208941552,43
18,2026-06,-1.4641800700477048,0.8152280537286671,2.3132786893099055,2.358098191814416,-2.1415001176494775,7.1064747471312275,44
