vintage,cutoff,g1,g5,ki,se,ci_lo,ci_hi,n_post_months
1,2025-04,0.974877979297295,-0.12220182186837292,-1.0864878701716263,0.6361720153896571,-2.4161976052898453,0.1280612582755252,3
2,2025-05,0.9786207923726975,-0.06893349484354827,-1.0374020550054652,0.6330959502711272,-2.3185485501125283,0.2526260827220611,4
3,2025-06,1.2867552147993289,0.6202710635941466,-0.6580170820871589,0.7119830317356232,-2.038401528277058,0.7545997132088426,5
4,2025-07,1.6665947046348828,0.8010386444142981,-0.8513672192279387,0.7770630676775139,-2.361350320225714,0.642270345236306,6
5,2025-08,1.410531148284866,0.48406051353429014,-0.9135842444172426,0.8050773773602717,-2.509901858107881,0.6686412314206583,7
6,2025-09,0.7815135999129197,-0.5257763546918093,-1.2971525311620824,0.8649710031565278,-2.9534817641938735,0.43040640476376124,8
7,2025-10,0.06659774274007102,-0.9350685321781627,-1.0009996317586478,0.8237153687137067,-2.549397124847465,0.7140966229936334,9
8,2025-11,0.034849302766137846,-1.1254484814037125,-1.1598935693481027,0.8701209905179327,-2.765628680765829,0.6732887037003525,10
9,2025-12,0.4247333595960523,-1.260094250969368,-1.6777018511291097,0.9563459296393958,-3.461905589771678,0.20526426718225,11
10,2026-01,1.5172418548405897,-1.167966604017312,-2.6450762548272166,1.0848872359691344,-4.609886411126977,-0.29755584660118506,12
11,2026-02,2.020906822182944,-1.0594599894889978,-3.019348590030535,1.2577547299326826,-5.467934193531308,-0.4537394123361538,13
12,2026-03,2.053785965915189,-0.864019264684257,-2.8590857291408645,1.2812740194484868,-5.15029569935517,-0.3073698802095882,14
13,2026-04,0.9159905719570816,-1.1248901291903812,-2.0223561098498433,1.2107378199989631,-4.369331643932268,0.4708903630924953,15
14,2026-05,0.16815199804243175,-1.1610282248782466,-1.326948931778893,1.0585585206367745,-3.3587629190703185,0.8578065746763668,16
15,2026-06,-0.24432971641222823,-0.4084768988265264,-0.16454922506926595,1.1760615427774654,-2.490794528677443,2.086555989348611,17
