vintage,cutoff,g1,g5,ki,se,ci_lo,ci_hi,n_post_months
1,2025-04,1.4331863278303825,-0.33656928178960044,-1.7447500898770563,0.5573359550461009,-2.7594610466205443,-0.6077942311766108,3
2,2025-05,1.2609686619906135,-0.34316528687835524,-1.5841582102809726,0.6418265413156199,-2.7693467154088265,-0.2279740424059708,4
3,2025-06,1.3366837259989994,-0.09345260424602486,-1.4112720859426608,0.9299653275886238,-3.1425751138841536,0.5588338210585934,5
4,2025-07,1.467513823442368,-0.1890639770844582,-1.6326188925938845,1.2144215879348514,-4.042594606714461,0.7161604349568551,6
5,2025-08,0.7681960667419219,-1.015875367578567,-1.7704707476740356,1.4147272056931404,-4.595703673936093,1.0514851002569914,7
6,2025-09,-0.03126217922144736,-2.1091788642675025,-2.0785664902274625,1.5252940194768274,-4.9556699318998465,0.8206442300466735,8
7,2025-10,-0.5460255629156641,-2.7721354849733926,-2.2383317857910145,1.5610919938848236,-5.214380594851226,0.8403872364247765,9
8,2025-11,-0.13092192996213559,-3.1741910190434153,-3.0472586188760475,1.4626361551522462,-5.840721565500797,-0.14513302371124928,10
9,2025-12,0.7277036295916472,-3.5153540201120936,-4.2124038341098675,1.396279823288307,-6.839277973365037,-1.3388999605291507,11
10,2026-01,2.5229862894778687,-3.72847930284661,-6.097623390205598,1.576579807180309,-9.07209696576043,-2.6842174802624426,12
11,2026-02,3.598011436093773,-3.872284928018166,-7.210849185768509,1.6103588164065854,-10.138634002392191,-3.936597144671651,13
12,2026-03,3.6758641375992163,-3.9038448082243993,-7.3109677058141305,1.6609848794627222,-10.223724282593222,-3.899522360524157,14
13,2026-04,2.0192638761829196,-4.350047039672688,-6.243243358024819,1.5411185041032893,-8.909407993988975,-2.9523777456429854,15
14,2026-05,0.5778967091857989,-4.512547409778445,-5.061195635938698,1.5871854719139065,-8.059091537593032,-1.8281972430775437,16
15,2026-06,-0.4528802610181071,-4.400231337834548,-3.9653091793781847,1.6845418656614035,-7.373946027064953,-0.8899496219479247,17
