vintage,cutoff,g1,g5,ki,se,ci_lo,ci_hi,n_post_months
1,2025-01,-4.49534433240093,-2.825108899869322,1.748852368354492,2.737563262247539,-3.447332841950948,7.446748330293982,27
2,2025-02,-3.4075993225588297,-2.7343143434519823,0.6970372145063575,2.9298273384192517,-4.740734717776446,6.56122794712207,28
3,2025-03,-2.4844619982494875,-2.811466448768851,-0.3353357395346479,3.082811010910836,-5.611285331566511,5.997951706101144,29
4,2025-04,-3.12658466493142,-3.1521697329248477,-0.026410824791234244,3.0708011626601532,-5.423651445760451,6.787789192948927,30
5,2025-05,-3.2910605536904614,-3.158579393686811,0.13698956969454557,3.016260917959284,-5.2687098717723755,6.236009211584963,31
6,2025-06,-3.2187491425207493,-2.915921366275631,0.31289921711288304,3.08237264270184,-5.044298254414529,6.558331144252051,32
7,2025-07,-3.0938003084478694,-3.0088316137107163,0.08768138159127581,3.208063901195221,-5.710270439035592,7.24964294200337,33
8,2025-08,-3.7616813240070046,-3.8122846820268452,-0.052581298921283715,3.1738834593433203,-5.378477501105426,7.056499758037351,34
9,2025-09,-4.525201169020566,-4.874701164328233,-0.36606518116513165,3.1233567813284635,-5.7253009159717,6.243110025981386,35
10,2025-10,-5.016824166120593,-5.51892853854029,-0.5286245358839703,3.3297667766363648,-6.465312163382712,6.867962462298616,36
11,2025-11,-4.620380870804642,-5.909625565934884,-1.351698305047655,3.3448124659169456,-7.4937464007696475,5.897158685666426,37
12,2025-12,-3.800353486678798,-6.24115034069731,-2.5372201899728664,3.3792507097960782,-8.524611382947509,4.4272999923345795,38
13,2026-01,-2.0857749640943557,-6.4482546021014215,-4.455409452924053,3.340349870874705,-10.33047995890307,2.5890234632956695,39
14,2026-02,-1.059075899478723,-6.587997561757741,-5.588103924177812,3.506785935057152,-11.565187876501188,1.556619390348284,40
15,2026-03,-0.9847229449780448,-6.618665840979487,-5.689973369332401,3.5276922548815093,-12.339636083837036,1.285953978595917,41
16,2026-04,-2.5668533204322164,-7.052262373475715,-4.603576098999285,3.6530777352422694,-11.309249874652288,2.7220032384100916,42
17,2026-05,-3.943426070178635,-7.2101719311632895,-3.4008561073303856,3.5834367990857157,-9.88316330463736,4.32267825298808,43
18,2026-06,-4.927866066272801,-7.101028910563856,-2.2858042145198043,3.644283862241071,-8.825156750148489,4.96819779866667,44
