vintage,cutoff,g1,g5,ki,se,ci_lo,ci_hi,n_post_months
1,2025-01,-4.1467187825768415,-2.0652879422179193,2.1714758367401332,2.8055303925009354,-2.8568535364427388,8.00879818876291,27
2,2025-02,-3.784839994001621,-1.6998689978291126,2.166988025631844,2.786135078653855,-2.8188561584829954,8.252740092053243,28
3,2025-03,-3.3514686052929066,-1.7763870906913004,1.6297004122794778,2.961012540015141,-3.6979996787217204,7.875853646422865,29
4,2025-04,-3.7615076417719884,-2.2646190328769245,1.5553949071887008,3.034468712025064,-3.757335980052857,7.865000820856198,30
5,2025-05,-3.5799222318751545,-2.5873335887509286,1.0294418611767275,3.1135409755339625,-4.480784557258612,7.84747598159226,31
6,2025-06,-3.4132151075424,-2.4609703922597426,0.98589544764629,3.1296921810447054,-4.447796173996289,7.551741643983826,32
7,2025-07,-3.1056744555186255,-2.6220369956764022,0.49913909521996924,3.383125890758176,-5.487444483148766,7.312591474905554,33
8,2025-08,-3.4407759580189268,-3.407545425023495,0.034414664497495195,3.3176676744270286,-5.703042799598784,6.9934703864670515,34
9,2025-09,-4.014813701027242,-4.453137992677714,-0.45665827045976437,3.2529615842589483,-6.214047207386138,6.363149778985747,35
10,2025-10,-4.465652071161841,-5.198855518063117,-0.7674762667008839,3.4470781270360593,-7.050007737747039,6.09117917203136,36
11,2025-11,-4.5005399601495295,-5.560258163201304,-1.109658842688288,3.4069642489267347,-7.360571574941559,6.21718489336576,37
12,2025-12,-4.199743079579676,-5.833779348262991,-1.7056700276291359,3.4227660017373847,-7.801362479007115,5.478168217193984,38
13,2026-01,-3.3667913870288557,-5.735120577977771,-2.450843995498886,3.4422552228917924,-9.067425868619816,4.296032684485549,39
14,2026-02,-3.1158318442514155,-5.704001833310512,-2.6714065242304796,3.5459955686858784,-9.165780261520666,5.106679183037176,40
15,2026-03,-3.1169935859397535,-5.706359224388002,-2.6726726742786755,3.608604467657124,-8.642668189745677,5.375458188440278,41
16,2026-04,-4.214778426639976,-6.409401856281005,-2.2911920999840407,3.6838155643427317,-8.714046888836936,6.113329279274282,42
17,2026-05,-4.916612027167854,-6.692624930806823,-1.8678477297700224,3.6137109030646273,-8.012828599145102,6.391886455384141,43
18,2026-06,-5.658960598450735,-6.568113854827873,-0.9636879794247877,3.802651054291712,-7.793927445022589,7.092257899549125,44
