date,forsk_antall,total_arbeidssokere,andel_av_arbeidsstyrken_nav,andel_av_alle_arbeidssokere
2023-01-01,679,87256,1.9,0.7781699825799945
2023-02-01,654,88700,1.8,0.7373167981961668
2023-03-01,635,87761,1.8,0.7235560214673944
2023-04-01,632,85598,1.8,0.7383350078272857
2023-05-01,610,81040,1.7,0.7527147087857848
2023-06-01,620,80924,1.7,0.7661509564529683
2023-07-01,673,79293,1.8,0.8487508355088091
2023-08-01,685,82877,1.8,0.8265260566864148
2023-09-01,687,84135,1.8,0.8165448386521662
2023-10-01,674,86430,1.8,0.7798218211269236
2023-11-01,685,89039,1.9,0.7693258010534709
2023-12-01,710,91785,1.9,0.773546875851174
2024-01-01,732,99211,2.0,0.7378214109322555
2024-02-01,711,102109,1.9,0.6963147225024239
2024-03-01,716,101193,1.9,0.7075588232387616
2024-04-01,732,98398,2.0,0.7439175592999858
2024-05-01,717,95010,2.0,0.7546574044837385
2024-06-01,722,93847,2.0,0.7693373256470638
2024-07-01,786,90945,2.1,0.8642586178459508
2024-08-01,785,93660,2.1,0.8381379457612641
2024-09-01,763,95117,2.0,0.8021699591029995
2024-10-01,770,96221,2.0,0.8002411116076532
2024-11-01,793,98326,2.1,0.8065008237902488
2024-12-01,792,100855,2.1,0.7852858063556591
2025-01-01,812,106364,2.2,0.7634161934489113
2025-02-01,801,107517,2.1,0.7449984653589665
2025-03-01,812,106848,2.2,0.759958071278826
2025-04-01,852,98764,2.3,0.8626625086063748
2025-05-01,857,98072,2.3,0.8738477853005955
2025-06-01,867,96959,2.3,0.8941923905980879
2025-07-01,1036,92047,2.5,1.1255119667126576
2025-08-01,1046,95216,2.5,1.098554864728617
2025-09-01,1042,95094,2.5,1.0957578816749742
2025-10-01,1097,94497,2.7,1.1608834142882842
2025-11-01,1065,96548,2.6,1.1030782615900898
2025-12-01,1057,97038,2.6,1.0892639996702322
2026-01-01,1040,102773,2.5,1.0119389333774436
2026-02-01,1035,103878,2.5,0.9963611159244499
2026-03-01,997,103139,2.4,0.9666566478247801
2026-04-01,1051,99891,2.6,1.0521468400556606
2026-05-01,1052,95014,2.6,1.1072052539625739
