date,sector,age_group,ai_q,employment,percap,emp_index
2021-01-16,1,1,1,23557.0,0.03287333641269385,0.9817824293043349
2021-02-16,1,1,1,23492.0,0.03278263017391875,0.9790734316431395
2021-03-16,1,1,1,23157.0,0.03231514417407783,0.9651116744662089
2021-04-16,1,1,1,23381.0,0.03264896325123964,0.9750813867098832
2021-05-16,1,1,1,23765.0,0.033185176496544636,0.9910957253821638
2021-06-16,1,1,1,23468.0,0.03277044906462906,0.9787096353153218
2021-07-16,1,1,1,26354.0,0.03682480063829282,1.09979534098493
2021-08-16,1,1,1,26238.0,0.03666271226939087,1.0949544720635422
2021-09-16,1,1,1,25929.0,0.03623094239016068,1.0820593988160525
2021-10-16,1,1,1,24424.0,0.034150747641859,1.0199331020576523
2021-11-16,1,1,1,24245.0,0.03390046170065802,1.0124581583437513
2021-12-16,1,1,1,24460.0,0.0342010844791955,1.0214364426928502
2022-01-16,1,1,1,24264.0,0.033930491715249006,1.013355023216457
2022-02-16,1,1,1,23895.0,0.033414486462902855,0.9979442086942482
2022-03-16,1,1,1,23440.0,0.03277821982383105,0.97894171382269
2022-04-16,1,1,1,23616.0,0.03300998015151939,0.9858633786843791
2022-05-16,1,1,1,23714.0,0.03314696262335411,0.9899544445342718
2022-06-16,1,1,1,23217.0,0.03245226580190657,0.9692068962955296
2022-07-16,1,1,1,25826.0,0.03608298555758454,1.0776405769266297
2022-08-16,1,1,1,25510.0,0.03564148383698527,1.064454856245579
2022-09-16,1,1,1,25302.0,0.03535087510950221,1.0557756476960267
2022-10-16,1,1,1,23976.0,0.03348332118347955,1.0
2022-11-16,1,1,1,23944.0,0.03343863206611755,0.9986653319986655
2022-12-16,1,1,1,24016.0,0.03353918258018205,1.0016683350016684
2023-01-16,1,1,1,23458.0,0.03275433550224804,0.978228393855052
2023-02-16,1,1,1,23500.0,0.032812979977100726,0.979979847198982
2023-03-16,1,1,1,23269.0,0.03249043536541093,0.9703468538073666
2023-04-16,1,1,1,23371.0,0.03263572851922242,0.974686123290681
2023-05-16,1,1,1,23674.0,0.03305884373642855,0.987322719728877
2023-06-16,1,1,1,22961.0,0.03206319637712832,0.9575870984073136
2023-07-16,1,1,1,25691.0,0.03587862909589094,1.0715373453931214
2023-08-16,1,1,1,24924.0,0.034807479334630256,1.0395467983565514
2023-09-16,1,1,1,24162.0,0.03374331229671547,1.0077647946513801
2023-10-16,1,1,1,23376.0,0.032648546276548944,0.9750689335040493
2023-11-16,1,1,1,23479.0,0.03279240323524523,0.9793653101361041
2023-12-16,1,1,1,23566.0,0.032913913481911035,0.9829942884563836
2024-01-16,1,1,1,23368.0,0.03265091687485678,0.9751397328818902
2024-02-16,1,1,1,23539.0,0.03288984647026933,0.982275512337676
2024-03-16,1,1,1,23273.0,0.0325181782107387,0.9711754109620092
2024-04-16,1,1,1,23524.0,0.032892970602711534,0.9823688164763271
2024-05-16,1,1,1,23400.0,0.032719584768893466,0.9771905418103236
2024-06-16,1,1,1,23109.0,0.032312687368562354,0.9650383004570414
2024-07-16,1,1,1,25948.0,0.03630949548999907,1.0844054355012411
