date,sector,age_group,ai_q,variable,value,value_diff_chatgpt12,value_ratio_chatgpt12,value_diff_agentic12,value_ratio_agentic12
2021-01-16,1,1,1,kontantlonn,26436.31625789551,-2070.9733738339164,0.9273528490225579,-5647.638487861084,0.8239731188809248
2021-02-16,1,1,1,kontantlonn,25941.91153178892,-2565.378099940506,0.9100097507310844,-6142.043213967674,0.8085633999100432
2021-03-16,1,1,1,kontantlonn,25584.72711390284,-2922.5625178265836,0.897480168911825,-6499.2276318537515,0.7974305947207666
2021-04-16,1,1,1,kontantlonn,25766.552737180424,-2740.7368945490016,0.9038583839447689,-6317.4020085761695,0.8030977771089237
2021-05-16,1,1,1,kontantlonn,29025.204816759786,517.9151850303606,1.0181678157313807,-3058.7499289968073,0.9046641864060927
2021-06-16,1,1,1,kontantlonn,34334.096882524274,5826.807250794849,1.2043970972361204,2250.142136767681,1.0701329419829482
2021-07-16,1,1,1,kontantlonn,25627.31138874144,-2879.978242987985,0.8989739719140999,-6456.643357015153,0.7987578710860417
2021-08-16,1,1,1,kontantlonn,26545.813287167297,-1961.4763445621284,0.9311938676071488,-5538.141458589296,0.8273859471977416
2021-09-16,1,1,1,kontantlonn,26017.01988331447,-2490.269748414954,0.9126444575901311,-6066.934862442122,0.8109043940961009
2021-10-16,1,1,1,kontantlonn,25779.41505101304,-2727.874580716387,0.9043095777972457,-6304.539694743555,0.8034986726323883
2021-11-16,1,1,1,kontantlonn,26117.44077860811,-2389.848853121315,0.9161670967673705,-5966.513967148483,0.8140343354044404
2021-12-16,1,1,1,kontantlonn,26735.530791938334,-1771.7588397910913,0.9378489199541764,-5348.423953818259,0.8332991055435385
2022-01-16,1,1,1,kontantlonn,27312.86697770146,-1194.422654027967,0.9581011499353996,-4771.087768055135,0.8512936511143111
2022-02-16,1,1,1,kontantlonn,27489.663917763777,-1017.6257139656482,0.9643029650622064,-4594.290827992816,0.8568040983600859
2022-03-16,1,1,1,kontantlonn,29148.658008913982,641.3683771845572,1.0224983990224976,-2935.2967368426107,0.9085120035823878
2022-04-16,1,1,1,kontantlonn,27897.78196384581,-609.5076678836158,0.9786192347375874,-4186.172781910784,0.8695244144593975
2022-05-16,1,1,1,kontantlonn,30709.605816870506,2202.3161851410805,1.077254492222573,-1374.3489288860874,0.9571639799464604
2022-06-16,1,1,1,kontantlonn,34883.48373440152,6376.194102672092,1.223668899605777,2799.5289886449245,1.0872563563572284
