date,occ_group,age_group,count,percap,emp_index
2021-01-16,Customer service agents,1,1474.0,0.002056938399300027,0.9176867266828527
2021-02-16,Customer service agents,1,1426.0,0.0019899553306661046,0.8878027627203173
2021-03-16,Customer service agents,1,1440.0,0.002009492059017665,0.8965189188760568
2021-04-16,Customer service agents,1,1420.0,0.0019828718967007525,0.8846425449269454
2021-05-16,Customer service agents,1,1446.0,0.0020191780018516113,0.9008402253270161
2021-06-16,Customer service agents,1,1508.0,0.002105754098749813,0.9394654632041081
2021-07-16,Customer service agents,1,1568.0,0.0021909876072263466,0.9774917159222948
2021-08-16,Customer service agents,1,1530.0,0.002137889693275708,0.9538025034190759
2021-09-16,Customer service agents,1,1472.0,0.0020568455088247335,0.9176452843352155
2021-10-16,Customer service agents,1,1497.0,0.0020931734859098803,0.9338527227250198
2021-11-16,Customer service agents,1,1502.0,0.002100164713317729,0.9369718032952438
2021-12-16,Customer service agents,1,1512.0,0.0021141471681334263,0.9432099644356915
2022-01-16,Customer service agents,1,1479.0,0.002068216174037804,0.9227182162923127
2022-02-16,Customer service agents,1,1513.0,0.002115761373440972,0.9439301293105268
2022-03-16,Customer service agents,1,1550.0,0.0021675017374973606,0.9670136817127009
2022-04-16,Customer service agents,1,1567.0,0.002190321769030779,0.9771946575007112
2022-05-16,Customer service agents,1,1648.0,0.002303541975343155,1.0277069531341239
2022-06-16,Customer service agents,1,1707.0,0.00238601101450896,1.0644998598300666
2022-07-16,Customer service agents,1,1705.0,0.0023821532709549153,1.0627787581890558
2022-08-16,Customer service agents,1,1672.0,0.0023360470786138524,1.0422088467402353
2022-09-16,Customer service agents,1,1626.0,0.002271777840805098,1.0135356368418795
2022-10-16,Customer service agents,1,1605.0,0.002241438542687883,1.0
2022-11-16,Customer service agents,1,1856.0,0.002591968806996081,1.1563862928348907
2022-12-16,Customer service agents,1,1828.0,0.00255286582930433,1.1389408099688472
2023-01-16,Customer service agents,1,1804.0,0.0025189198246250944,1.1237960696457294
2023-02-16,Customer service agents,1,1715.0,0.002394649389818202,1.0683538023516772
2023-03-16,Customer service agents,1,1691.0,0.0023611382613309504,1.0534030785869892
2023-04-16,Customer service agents,1,1675.0,0.00233900326343321,1.0435277251136805
