yrke4,alder_gr,age_label,eloundou_beta,mean_wage,ln_wage,n_obs,z_lnwage,exp_x_zwage
0310,1,21–30,0.268774,39450.41104165036,10.582799745526469,1062.0,-0.44527352010286136,-0.11967794509212647
1111,1,21–30,0.4,49205.45852394476,10.803759841935024,2168.0,0.5338777712250016,0.21355110849000064
1112,1,21–30,0.470256,46380.60204752063,10.744636591482507,276.0,0.27188201738063855,0.12785414996534958
1114,1,21–30,0.499534,38890.18718258508,10.568497240267163,3818.0,-0.5086529117735563,-0.2540894236298917
1120,1,21–30,0.494274,51001.49146087976,10.839610155609831,31001.0,0.6927430211038343,0.3424048640130766
1211,1,21–30,0.485055,65696.04092851352,11.092793942817028,3658.0,1.8146887308342858,0.8802238423348245
1212,1,21–30,0.497719,55856.335056354736,10.930538227900922,1091.0,1.0956770388241808,0.5453392800865324
1213,1,21–30,0.461583,58543.86160386266,10.977531523288285,211.0,1.3039207290206636,0.601867641863545
1219,1,21–30,0.491944,54345.41461645478,10.903115521307678,8517.0,0.9741574567416655,0.47923091589932193
1221,1,21–30,0.475,55260.43284971816,10.919812431413035,19679.0,1.048147291814046,0.4978699636116718
1222,1,21–30,0.516497,51180.201481364034,10.843108046426703,3120.0,0.7082433959042302,0.3658055892543472
1223,1,21–30,0.486654,57026.38985652757,10.951269419613624,3133.0,1.1875441834633875,0.5779231270591914
1311,1,21–30,0.367347,52493.95487714191,10.8684532967527,530.0,0.8205570443371158,0.30142916856610646
1312,1,21–30,0.367347,68083.32527319327,11.128487605667743,683.0,1.97285980624818,0.7247241312458501
1321,1,21–30,0.405719,60403.60359859201,11.00880404437153,7724.0,1.442500182503161,0.5852497315449999
1322,1,21–30,0.461583,66665.35965776329,11.10744075153633,832.0,1.8795938512810997,0.8675885686558839
1323,1,21–30,0.444444,55936.11885566091,10.931965583863867,17050.0,1.1020021511726057,0.4897782440757576
1324,1,21–30,0.486526,51784.72613605302,10.854850522528798,6499.0,0.7602784050558069,0.36989521129818154
1330,1,21–30,0.530303,59340.39512762861,10.99104555252889,3851.0,1.3638061083133783,0.7232304706569095
1341,1,21–30,0.46875,51489.00411331304,10.849123551491964,1086.0,0.7349001979620471,0.3444844677947096
1342,1,21–30,0.428571,51266.770073566615,10.844798064423198,1224.0,0.7157324553793657,0.30674217413439014
1343,1,21–30,0.45467,52495.25431281432,10.868478050452296,116.0,0.8206667366178455,0.37313254513803584
1344,1,21–30,0.392857,50344.428554759776,10.826643237699534,1425.0,0.6352820830304988,0.24957501329311269
1345,1,21–30,0.428603,50570.01980401632,10.831114185689858,1155.0,0.655094413715271,0.2807754310016063
1346,1,21–30,0.482912,64888.245964506736,11.080421776343828,3098.0,1.759863343917553,0.8498591271379135
1349,1,21–30,0.461583,54357.84794911176,10.903344278612982,2659.0,0.9751711601864518,0.450122429632343
1411,1,21–30,0.456522,44252.57771468147,10.69766890217854,1727.0,0.0637517966749389,0.029104097721636454
1412,1,21–30,0.416667,42417.09232651712,10.655306680897068,13223.0,-0.12396998814260228,-0.05165420304941366
1420,1,21–30,0.480769,43821.40198231506,10.687877606757125,96839.0,0.02036314998497446,0.009789971255126186
1431,1,21–30,0.517556,44020.65285496238,10.692414185841953,3956.0,0.04046631495149861,0.020943584101037815
1439,1,21–30,0.461583,44176.38399898387,10.69594562661187,1695.0,0.05611536130111083,0.02590189681545064
2111,1,21–30,0.59375,54158.19809111097,10.899664636927652,889.0,0.9588653838658554,0.5693263216703517
2112,1,21–30,0.565217,48057.98264705883,10.780163532692828,17.0,0.4293142910283438,0.24265573563216739
2113,1,21–30,0.431379,52163.217828315006,10.862132886191462,2732.0,0.7925490996296933,0.3418890380491575
2114,1,21–30,0.483333,57749.63317450632,10.963872276407264,6931.0,1.2433918396894947,0.6009723080526426
2120,1,21–30,0.695754,51021.13337145897,10.83999520570738,3052.0,0.6944493124495069,0.4831658869339942
2131,1,21–30,0.464838,51834.80233432789,10.855817062386922,3972.0,0.7645614804417469,0.3553972294455807
2132,1,21–30,0.409049,45872.91843205087,10.733630209549222,570.0,0.22310889835150308,0.09126247176178398
2133,1,21–30,0.480579,49893.23400901879,10.817640681544692,1559.0,0.5953886152617015,0.28613126533385325
2141,1,21–30,0.554355,50803.76852492864,10.835725814376696,1449.0,0.6755301496569008,0.3744835161130513
2142,1,21–30,0.482143,56443.18059799052,10.940989757993234,64923.0,1.1419914157301276,0.550603167154371
2143,1,21–30,0.555556,52222.434197432005,10.863267455441546,1381.0,0.7975767718853501,0.4430985610815376
2144,1,21–30,0.487425,56146.90732894393,10.935726879913172,9404.0,1.1186697664733056,0.545267610923251
2145,1,21–30,0.461538,50359.78696421108,10.826948257891416,1332.0,0.6366337339376876,0.29383066029413246
2146,1,21–30,0.494956,59747.70581241036,10.99788607261158,6730.0,1.39411883980285,0.6900274844734594
2149,1,21–30,0.530886,51741.045482327485,10.854006661997555,8191.0,0.7565389645762968,0.40163594474805187
2151,1,21–30,0.5625,55719.17887794621,10.928079691208456,5067.0,1.084782404832198,0.6101901027181114
2152,1,21–30,0.673685,54228.80869524137,10.900967571960429,10518.0,0.9646391436559549,0.6498629214938619
2153,1,21–30,0.620098,53058.697734458976,10.879154084127425,757.0,0.8679759672398917,0.5382301613335224
2161,1,21–30,0.488372,48387.0705178848,10.786987918956765,19421.0,0.4595555279370124,0.2244340522896546
2162,1,21–30,0.421053,50737.99802713751,10.834430376859263,3572.0,0.669789613973555,0.28201692633240727
2163,1,21–30,0.428071,44988.28648466269,10.714157434527614,3760.0,0.1368182371956985,0.058567919614599846
2164,1,21–30,0.477273,49941.87980022904,10.818615204299345,3692.0,0.5997070656477961,0.28622399034292056
2165,1,21–30,0.515035,49119.67900837472,10.80201502795388,993.0,0.5261458916207975,0.27098354929091745
2166,1,21–30,0.5125,44089.81299630893,10.693984036934708,25727.0,0.04742287294385974,0.024304222383728112
2211,1,21–30,0.45161,65211.09515279188,11.085384904492384,4456.0,1.7818566966299787,0.8047043027650647
2212,1,21–30,0.379361,76178.64151648952,11.240836407325542,720.0,2.47071655056716,0.9372935013397085
2221,1,21–30,0.342779,55355.14751212216,10.921524933128282,2048.0,1.0557359844926757,0.3618841250284149
2222,1,21–30,0.390244,73551.06758869367,11.205735241066234,52.0,2.3151710343017884,0.903481605110067
2223,1,21–30,0.342779,52644.31657911473,10.871313564520106,46828.0,0.8332318889064322,0.28561439364745794
2224,1,21–30,0.342779,46311.78426571099,10.743151727467437,15201.0,0.26530206678578355,0.0909399771507641
2250,1,21–30,0.27027,47554.37701281087,10.769629114479732,6499.0,0.3826326079353539,0.1034141149466881
2261,1,21–30,0.158864,59029.09062521436,10.985785662817316,1829.0,1.3404977015601185,0.21295682686064668
2262,1,21–30,0.428571,50685.37560186068,10.833392698302225,6937.0,0.6651912981888415,0.28508169985608994
2263,1,21–30,0.432796,52818.79021068605,10.87462228158818,133.0,0.8478939688136281,0.366965118126663
2264,1,21–30,0.225745,39227.7518576459,10.577139730848426,6593.0,-0.47035502020635894,-0.1061802940364845
2265,1,21–30,0.54878,46296.38466464307,10.742819152028623,1741.0,0.26382830896402815,0.14478369939327937
2266,1,21–30,0.452882,42546.77139867407,10.658359253300656,1623.0,-0.11044297462556267,-0.050017635234374073
2267,1,21–30,0.3,38578.74980588841,10.560456880695892,1462.0,-0.5442825507215513,-0.16328476521646537
2269,1,21–30,0.363513,43391.33753200894,10.678015104129896,652.0,-0.023341040681741632,-0.008484771721341945
2310,1,21–30,0.485747,37867.7145433091,10.54185416901685,24911.0,-0.6267176575973871,-0.30442622202495795
2320,1,21–30,0.381031,43991.60136193795,10.691754016543074,2005.0,0.037540874421743496,0.014304236921791346
2330,1,21–30,0.333333,45391.64093898737,10.723083246790598,10809.0,0.17637162599985037,0.05879048320940812
2341,1,21–30,0.329318,41609.68622421998,10.636088261074244,24166.0,-0.20913351265521427,-0.06887143012058985
2342,1,21–30,0.230075,39061.61742308975,10.572895612254609,82619.0,-0.48916219068297334,-0.1125439910213851
2351,1,21–30,0.4875,43470.43245939107,10.679836272389554,2704.0,-0.015270808625576244,-0.007444519204968419
2352,1,21–30,0.312962,40653.242366813545,10.6128338748163,1546.0,-0.3121818127944494,-0.09770104449577648
2353,1,21–30,0.405465,40447.23960619226,10.60775367803671,1161.0,-0.3346939374621416,-0.13570667735308725
2354,1,21–30,0.36,31846.33977498138,10.368677733673698,2111.0,-1.3941228726108494,-0.5018842341399058
2355,1,21–30,0.405992,32095.361004566945,10.376466781682836,1527.0,-1.359606882889967,-0.5519895175982635
2356,1,21–30,0.552632,38322.25189572354,10.55378599590419,221.0,-0.5738435690423258,-0.3171243192469986
2359,1,21–30,0.370729,40982.09653704378,10.620890580490212,8329.0,-0.2764797385616739,-0.1024990569972308
2411,1,21–30,0.568333,55164.85085834007,10.918081269634875,39411.0,1.0404759098852079,0.5913367952927898
2412,1,21–30,0.498718,53293.17041280538,10.883563467099789,24829.0,0.8875154818469375,0.44261994607574096
2413,1,21–30,0.517664,53139.80839862711,10.880681613711277,45326.0,0.8747449838581882,0.45282398732396517
2421,1,21–30,0.466311,57222.87879611642,10.954709076350715,50935.0,1.202786502735463,0.5608725768770765
2422,1,21–30,0.56642,46764.338891038526,10.752876201936449,22151.0,0.3083946065184426,0.17468087302417626
2423,1,21–30,0.488693,48116.619750047634,10.78138292136287,26796.0,0.43471782773161105,0.2124435593876442
2424,1,21–30,0.552632,48035.31555422094,10.779691760078448,1467.0,0.4272237019487221,0.2360974888553262
2431,1,21–30,0.700863,44606.6124946249,10.70563738922972,48219.0,0.09906294340645323,0.06942955170467703
2432,1,21–30,0.590909,44054.676131231965,10.69318678080932,14855.0,0.043889952849322574,0.025934968148240353
2433,1,21–30,0.517675,53408.298907457225,10.885721423125371,4823.0,0.8970781380161814,0.4643949250975267
2434,1,21–30,0.515571,52642.20052805052,10.871273368469888,2354.0,0.833053766181483,0.42949836328395335
2511,1,21–30,0.62602,53581.12361036051,10.888952113583468,83625.0,0.9113944547871363,0.5705511565858431
2512,1,21–30,0.872807,52571.18065177358,10.869923352221631,40421.0,0.8270713730965804,0.7218736839383071
2513,1,21–30,0.841346,44697.96100664789,10.707683164497457,4890.0,0.1081284874921486,0.09097347043756926
2514,1,21–30,0.95,50354.1282572376,10.82683588599192,1408.0,0.6361357748387886,0.6043289860968492
2519,1,21–30,0.764845,52480.41059042488,10.86819524733784,100054.0,0.8194135373333912,0.6267243469617576
2521,1,21–30,0.923365,44598.7576043053,10.705461281214449,1662.0,0.09828254733780256,0.09075066432257006
2522,1,21–30,0.72973,50220.28937570324,10.824174394855532,3615.0,0.6243417788847241,0.4556009263055497
2523,1,21–30,0.635223,51138.87308510639,10.842300212722572,47.0,0.7046636028672286,0.44761852780412953
2529,1,21–30,0.70851,53043.80229544708,10.878873309610222,2924.0,0.8667317573777527,0.6140881174197115
2611,1,21–30,0.425,57483.0637218507,10.959245639431034,41592.0,1.2228895967804199,0.5197280786316785
2612,1,21–30,0.458333,64835.75160653148,11.07961245252058,10.0,1.7562769476427702,0.8049596822439538
2619,1,21–30,0.5,41524.73535122593,10.634044561221597,3444.0,-0.21818985985243058,-0.10909492992621529
2621,1,21–30,0.5,36843.122235358176,10.514424238009282,1759.0,-0.7482692535807336,-0.3741346267903668
2622,1,21–30,0.535088,44479.72276434478,10.70278869608905,327.0,0.08643939004717698,0.04625268034156384
2631,1,21–30,0.552632,53220.07410997539,10.882190937051856,2247.0,0.881433322259468,0.48710825974689437
2632,1,21–30,0.492706,46985.62558619951,10.757596995322537,1110.0,0.329314089335528,0.16225502770015066
2633,1,21–30,0.492036,38563.93464900153,10.56007278317132,346.0,-0.5459846208839622,-0.2686440889212612
2634,1,21–30,0.441462,47585.98915712778,10.770293651452898,4617.0,0.3855774031539736,0.1702177715511595
2635,1,21–30,0.271629,45548.89960146754,10.726541744360455,19352.0,0.1916974355764302,0.052070582728190165
2636,1,21–30,0.386364,38705.28110376079,10.563731332337174,1333.0,-0.5297723128774132,-0.20468494989256888
2641,1,21–30,0.741399,44823.21405505085,10.71048145507058,4512.0,0.1205286894866209,0.08935984985669125
2642,1,21–30,0.648529,50313.71184081415,10.8260329201479,35204.0,0.6325775529885832,0.41024488786213287
2643,1,21–30,0.701628,26734.41435961705,10.193706941761086,11332.0,-2.1694795077252573,-1.522167568046257
2651,1,21–30,0.34181,38031.43849602531,10.546168425503431,1236.0,-0.6075996816432776,-0.20768364718248872
2652,1,21–30,0.559345,43662.86995191166,10.684253362068866,2474.0,0.00430285708921241,0.0024067815985655155
2653,1,21–30,0.146131,31612.385405305293,10.361304265991192,1566.0,-1.4267972808874467,-0.2084993134533635
2654,1,21–30,0.499121,43756.37185608476,10.686392523605727,5311.0,0.013782228320587396,0.006878999581599901
2655,1,21–30,0.1875,40873.35645341334,10.618233698300342,3544.0,-0.2882533106654199,-0.054047495749766236
2656,1,21–30,0.65,41095.78905330597,10.623660939111396,1563.0,-0.2642033127931124,-0.17173215331552305
2659,1,21–30,0.526316,46453.10943878897,10.746198683633118,749.0,0.2788041927928692,0.14673910753397176
3112,1,21–30,0.425714,52258.447327626935,10.863956828101797,47236.0,0.800631622699872,0.3408400906260533
3113,1,21–30,0.396508,54401.97674088284,10.904155769332435,9857.0,0.9787671587344612,0.3880890085754838
3114,1,21–30,0.40566,52418.16195100895,10.867008412374986,38055.0,0.8141542574663058,0.3302698160837816
3115,1,21–30,0.356357,54339.24048393062,10.903001905774278,22429.0,0.9736539866669738,0.34696841372668275
3116,1,21–30,0.334387,49475.907037543024,10.8092411035527,7497.0,0.5581671541420429,0.1866438401720953
3117,1,21–30,0.389754,64374.98238315112,11.07248036430621,29337.0,1.7246721760189752,0.6721978792920996
3118,1,21–30,0.509867,47815.90081469629,10.775113516189917,6810.0,0.4069359056980342,0.20748318943053956
3119,1,21–30,0.363616,53207.45042783196,10.8819537111602,52927.0,0.8803820915534415,0.3201210146022962
3121,1,21–30,0.416667,71067.02620298047,11.171378741734296,139.0,2.162925397043505,0.9012196364099262
