month,ours_private_21_60,ssb_total_all,ssb_total_sa,ours_share_of_ssb
2021M01,1456614,2576025,2618327,0.5655
2021M02,1452615,2569737,2604005,0.5653
2021M03,1458183,2576980,2607715,0.5658
2021M04,1449619,2578461,2601891,0.5622
2021M05,1463062,2592831,2604782,0.5643
2021M06,1512205,2648438,2622903,0.5710
2021M07,1525119,2699322,2654801,0.5650
2021M08,1530796,2700987,2667095,0.5668
2021M09,1545062,2701112,2685513,0.5720
2021M10,1552987,2701845,2697675,0.5748
2021M11,1565349,2713136,2709057,0.5770
2021M12,1584663,2735238,2716469,0.5794
2022M01,1523684,2673016,2716844,0.5700
2022M02,1534089,2682970,2719582,0.5718
2022M03,1553291,2701360,2734594,0.5750
2022M04,1568536,2718750,2744310,0.5769
2022M05,1584890,2737731,2750363,0.5789
2022M06,1621165,2782224,2753793,0.5827
2022M07,1610089,2807340,2759398,0.5735
2022M08,1600960,2798385,2763459,0.5721
2022M09,1604721,2791179,2775465,0.5749
2022M10,1600710,2781113,2777185,0.5756
2022M11,1605862,2784508,2780738,0.5767
2022M12,1622434,2803903,2785638,0.5786
2023M01,1565815,2739766,2783808,0.5715
2023M02,1572792,2752462,2789743,0.5714
2023M03,1579096,2758035,2791155,0.5725
2023M04,1584701,2763888,2789228,0.5734
2023M05,1593825,2777890,2790390,0.5738
2023M06,1629685,2823042,2794375,0.5773
2023M07,1618528,2843079,2794867,0.5693
2023M08,1611605,2827488,2793940,0.5700
2023M09,1610300,2812134,2797520,0.5726
2023M10,1604182,2802850,2799132,0.5723
2023M11,1607181,2807315,2803992,0.5725
2023M12,1619287,2823610,2806526,0.5735
2024M01,1570246,2766852,2809225,0.5675
2024M02,1571646,2770892,2807601,0.5672
2024M03,1575346,2776930,2809052,0.5673
2024M04,1585777,2786457,2810960,0.5691
2024M05,1593664,2798432,2810369,0.5695
2024M06,1624515,2839597,2811299,0.5721
2024M07,1623446,2861794,2813224,0.5673
2024M08,1611968,2849968,2817181,0.5656
2024M09,1607213,2827555,2814046,0.5684
2024M10,1607502,2823841,2820258,0.5693
2024M11,1605093,2824370,2821666,0.5683
2024M12,1614654,2832588,2817160,0.5700
2025M01,1575220,2784069,2825190,0.5658
2025M02,1577052,2791555,2828174,0.5649
2025M03,1582870,2796340,2827864,0.5661
2025M04,1591897,2806502,2830605,0.5672
2025M05,1603873,2821629,2833059,0.5684
2025M06,1635890,2860050,2831849,0.5720
2025M07,1631937,2882095,2832715,0.5662
2025M08,1617405,2863018,2830361,0.5649
2025M09,1616271,2845100,2832155,0.5681
2025M10,1615008,2840470,2836916,0.5686
2025M11,1616308,2839036,2836921,0.5693
2025M12,1627116,2850479,2836302,0.5708
2026M01,1586756,2803267,2843601,0.5660
2026M02,1583007,2804307,2841287,0.5645
