inst,inst_short,field,level,graduates,programmes,share_of_institution,exposure_w,exposure2_w,share_top5_v1,share_top5_v2,share_q1_v1,share_q2_v1,share_q3_v1,share_q4_v1,share_q5_v1,share_q1_v2,share_q2_v2,share_q3_v2,share_q4_v2,share_q5_v2,top_occupations,top_codes
1150,NTNU,"Helse-, sosial- og idrettsfag",Bachelor-nivå,1212.000000,12,0.125557,0.365126,0.312410,0.082609,0.093619,0.030006,0.090346,0.727031,0.070008,0.082609,0.032165,0.048346,0.764376,0.061495,0.093619,Sykepleiere (33%); Vernepleiere (7%); Bioingeniører (5%); Rådgivere innen sosiale fagfelt (5%); Ergoterapeuter (4%),2223;2224;3212;2635;2267
1150,NTNU,"Helse-, sosial- og idrettsfag",Master-nivå,595.000000,21,0.061639,0.412384,0.342741,0.085912,0.102396,0.008967,0.021286,0.482162,0.401672,0.085912,0.002890,0.017152,0.718626,0.158936,0.102396,Spesialsykepleiere (26%); Legespesialister (15%); Allmennpraktiserende leger (7%); Universitets- og høyskolelektorer/-lærere (7%); Høyere saksbehandlere i offentlig og privat virksomhet (6%),2221;2212;2211;2310;2422
1150,NTNU,Humanistiske og estetiske fag,Bachelor-nivå,279.000000,19,0.028903,0.417818,0.431040,0.360029,0.358375,0.058126,0.125507,0.334934,0.121404,0.360029,0.082435,0.100822,0.330128,0.128241,0.358375,Butikkmedarbeidere (13%); Høyere saksbehandlere i offentlig og privat virksomhet (9%); Barnehage- og skolefritidsassistenter mv. (5%); Kontormedarbeidere (5%); Grafiske- og multimediadesignere (5%),5223;2422;5311;4110;2166
1150,NTNU,Humanistiske og estetiske fag,Master-nivå,195.000000,18,0.020201,0.474057,0.506633,0.387795,0.406764,0.009061,0.020325,0.388669,0.194150,0.387795,0.007914,0.026108,0.383313,0.175902,0.406764,Høyere saksbehandlere i offentlig og privat virksomhet (19%); Grunnskolelærere (16%); Lektorer mv. (videregående skole) (12%); Universitets- og høyskolelektorer/-lærere (7%); Andre musikklærere (5%),2422;2341;2330;2310;2354
1150,NTNU,Lærerutdanninger og pedagogikk,Bachelor-nivå,257.000000,6,0.026624,0.359517,0.343356,0.116751,0.136976,0.046842,0.096410,0.637393,0.102604,0.116751,0.024675,0.092307,0.662001,0.084041,0.136976,Lektorer mv. (videregående skole) (23%); Grunnskolelærere (21%); Barnehage- og skolefritidsassistenter mv. (6%); Høyere saksbehandlere i offentlig og privat virksomhet (5%); Vernepleiere (3%),2330;2341;5311;2422;2224
1150,NTNU,Lærerutdanninger og pedagogikk,Master-nivå,692.000000,17,0.071688,0.364958,0.334068,0.058076,0.067363,0.005316,0.016810,0.825145,0.094653,0.058076,0.003324,0.016041,0.828716,0.084555,0.067363,Grunnskolelærere (62%); Lektorer mv. (videregående skole) (15%); Høyere saksbehandlere i offentlig og privat virksomhet (4%); Universitets- og høyskolelektorer/-lærere (4%); Psykologer (2%),2341;2330;2422;2310;2634
1150,NTNU,"Naturvitenskap, håndverk og teknikk",Bachelor-nivå,1431.000000,30,0.148244,0.490844,0.522729,0.392767,0.397051,0.029918,0.039769,0.218598,0.318948,0.392767,0.033639,0.049237,0.200530,0.319544,0.397051,"Systemanalytikere/-arkitekter (8%); Andre programvare- og applikasjonsutviklere (7%); Bygningsingeniører (7%); Andre ingeniører (6%); Driftsteknikere, IKT (6%)",2511;2519;3112;3119;3511
1150,NTNU,"Naturvitenskap, håndverk og teknikk",Master-nivå,2641.000000,85,0.273594,0.537165,0.592690,0.394216,0.454745,0.004204,0.003529,0.126667,0.471384,0.394216,0.004563,0.002634,0.110960,0.427098,0.454745,"Systemanalytikere/-arkitekter (9%); Sivilingeniører (bygg og anlegg) (9%); Andre programvare- og applikasjonsutviklere (7%); Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.) (5%); Andre ingeniører (5%)",2511;2142;2519;2146;3119
1150,NTNU,Ph.d.,Ph.d.,500.000000,37,0.051797,0.490066,0.498640,0.228317,0.168433,0.012807,0.013090,0.066585,0.679200,0.228317,0.010145,0.016379,0.163927,0.641116,0.168433,"Universitets- og høyskolelektorer/-lærere (35%); Legespesialister (9%); Andre sivilingeniører (unntatt elektroteknologi) (8%); Høyere saksbehandlere i offentlig og privat virksomhet (5%); Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.) (3%)",2310;2212;2149;2422;2146
1150,NTNU,Primærnæringsfag,Bachelor-nivå,21.000000,1,0.002175,0.326365,0.304427,0.109272,0.157285,0.051325,0.423841,0.215232,0.200331,0.109272,0.043046,0.448675,0.192053,0.158940,0.157285,Havbruksarbeidere (38%); Ledere av industriproduksjon mv. (11%); Butikkmedarbeidere (5%); Selgere (engros) (4%); Kontormedarbeidere (4%),6221;1321;5223;3322;4110
1150,NTNU,"Samferdsel, sikkerhet og service",Bachelor-nivå,84.000000,4,0.008702,0.453427,0.496644,0.406712,0.517990,0.016257,0.017581,0.345708,0.213741,0.406712,0.015075,0.017826,0.330627,0.118482,0.517990,Dekksoffiserer og loser (22%); Speditører og befraktere (8%); Logistikkmedarbeidere (7%); Innkjøpere (6%); Kontormedarbeidere (4%),3152;3331;4322;3323;4110
1150,NTNU,"Samferdsel, sikkerhet og service",Master-nivå,102.000000,7,0.010567,0.553570,0.631820,0.530411,0.616365,0.000000,0.009953,0.163623,0.296012,0.530411,0.000000,0.007252,0.140595,0.235787,0.616365,"Systemanalytikere/-arkitekter (12%); Høyere saksbehandlere i offentlig og privat virksomhet (8%); Andre programvare- og applikasjonsutviklere (8%); Andre ingeniører (8%); Driftsteknikere, IKT (8%)",2511;2422;2519;3119;3511
1150,NTNU,Samfunnsfag og juridiske fag,Bachelor-nivå,639.000000,11,0.066197,0.465532,0.508991,0.444501,0.506658,0.062293,0.065253,0.255011,0.172941,0.444501,0.055483,0.093770,0.235469,0.108620,0.506658,Høyere saksbehandlere i offentlig og privat virksomhet (11%); Butikkmedarbeidere (9%); Kontormedarbeidere (5%); Andre pleiemedarbeidere (4%); Kundebehandlere lån og kreditt (4%),2422;5223;4110;5329;3312
1150,NTNU,Samfunnsfag og juridiske fag,Master-nivå,355.000000,16,0.036776,0.526932,0.608033,0.434687,0.547703,0.005012,0.007634,0.089527,0.463141,0.434687,0.003305,0.011710,0.086001,0.351281,0.547703,Høyere saksbehandlere i offentlig og privat virksomhet (23%); Psykologer (18%); Universitets- og høyskolelektorer/-lærere (4%); Finansanalytikere (4%); Personal- og karriererådgivere (3%),2422;2634;2310;2413;2423
1150,NTNU,Økonomiske og administrative fag,Bachelor-nivå,287.000000,5,0.029732,0.577189,0.637514,0.619351,0.751989,0.020792,0.018962,0.084992,0.255902,0.619351,0.018229,0.029106,0.080126,0.120550,0.751989,"Regnskapsførere (10%); Kundebehandlere lån og kreditt (7%); Regnskapsmedarbeidere (7%); Høyere saksbehandlere i offentlig og privat virksomhet (6%); Revisorer, regnskapsrådgivere (5%)",3313;3312;4311;2422;2411
